Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
View-Only Configuration-View-Only Organization Management,View-Only Configuration,View-Only Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-View-Only Organization Management,View-Only Recipients,View-Only Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
My Custom Apps-Organization Management-Delegating,My Custom Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Marketplace Apps-Organization Management-Delegating,My Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My ReadWriteMailbox Apps-Organization Management-Delegating,My ReadWriteMailbox Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyBaseOptions-Organization Management-Delegating,MyBaseOptions,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyContactInformation-Organization Management-Delegating,MyContactInformation,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyDiagnostics-Organization Management-Delegating,MyDiagnostics,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyDistributionGroupMembership-Organization Management-Delegating,MyDistributionGroupMembership,Organization Management,All Group Members,RoleGroup,,,MyGAL,None,MyGAL,None,Direct
MyDistributionGroups-Organization Management-Delegating,MyDistributionGroups,Organization Management,All Group Members,RoleGroup,,,MyGAL,OrganizationConfig,MyDistributionGroups,None,Direct
MyMailboxDelegation-Organization Management-Delegating,MyMailboxDelegation,Organization Management,All Group Members,RoleGroup,,,MyGAL,OrganizationConfig,MailboxICanDelegate,None,Direct
MyProfileInformation-Organization Management-Delegating,MyProfileInformation,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyRetentionPolicies-Organization Management-Delegating,MyRetentionPolicies,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyTeamMailboxes-Organization Management-Delegating,MyTeamMailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MyTextMessaging-Organization Management-Delegating,MyTextMessaging,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyVoiceMail-Organization Management-Delegating,MyVoiceMail,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
UserApplication-Exchange Online-ApplicationAccount,UserApplication,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
ArchiveApplication-Exchange Online-ApplicationAccount,ArchiveApplication,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
LegalHoldApplication-Exchange Online-ApplicationAccount,LegalHoldApplication,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Search-Exchange Online-ApplicationAccount,Mailbox Search,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Organization,None,Organization,None,Direct
TeamMailboxLifecycleApplication-Exchange Online-ApplicationAccou,TeamMailboxLifecycleApplication,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MailboxSearchApplication-Exchange Online-ApplicationAccount,MailboxSearchApplication,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MeetingGraphApplication-Exchange Online-ApplicationAccount,MeetingGraphApplication,Exchange Online-ApplicationAccount,Exchange Online-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MyTeamMailboxes-Default Role Assignment Policy,MyTeamMailboxes,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MyDistributionGroupMembership-Default Role Assignment Policy,MyDistributionGroupMembership,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,MyGAL,None,MyGAL,None,Direct
My Custom Apps-Default Role Assignment Policy,My Custom Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Marketplace Apps-Default Role Assignment Policy,My Marketplace Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My ReadWriteMailbox Apps-Default Role Assignment Policy,My ReadWriteMailbox Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyBaseOptions-Default Role Assignment Policy,MyBaseOptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyContactInformation-Default Role Assignment Policy,MyContactInformation,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyTextMessaging-Default Role Assignment Policy,MyTextMessaging,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyVoiceMail-Default Role Assignment Policy,MyVoiceMail,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
ApplicationImpersonation-B13SvcAcc1,ApplicationImpersonation,B13SvcAcc1,B13SvcAcc1,User,,,Organization,None,Organization,None,Direct
UserApplication-Teams-ApplicationAccount,UserApplication,Teams-ApplicationAccount,Teams-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
ArchiveApplication-Teams-ApplicationAccount,ArchiveApplication,Teams-ApplicationAccount,Teams-ApplicationAccount,User,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
