Role,Name,Parameters,OrgM,Priority
Disaster Recovery,Restore-DatabaseAvailabilityGroup,ActiveDirectorySite;AlternateWitnessDirectory;AlternateWitnessServer;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UsePrimaryWitnessServer;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Disaster Recovery,Remove-MailboxRestoreRequest,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Disaster Recovery,New-MailboxRestoreRequest,AcceptLargeDataLoss;AllowLegacyDNMismatch;AssociatedMessagesCopyOption;BadItemLimit;BatchName;CompletedRequestAgeLimit;Confirm;ConflictResolutionOption;Debug;DomainController;ErrorAction;ErrorVariable;ExcludeDumpster;ExcludeFolders;IncludeFolders;InternalFlags;LargeItemLimit;Name;OutBuffer;OutVariable;Priority;RequestExpiryInterval;SkipMerging;SourceDatabase;SourceIsArchive;SourceMailbox;SourceRootFolder;SourceStoreMailbox;Suspend;SuspendComment;TargetIsArchive;TargetMailbox;TargetRootFolder;TargetType;Verbose;WarningAction;WarningVariable;WhatIf;WorkloadType,0,40
Disaster Recovery,New-MailboxDatabase,AutoDagExcludeFromMonitoring;Confirm;Debug;DomainController;EdbFilePath;ErrorAction;ErrorVariable;IsExcludedFromInitialProvisioning;IsExcludedFromProvisioning;IsSuspendedFromProvisioning;LogFolderPath;Name;OfflineAddressBook;OutBuffer;OutVariable;PublicFolderDatabase;Recovery;Server;SkipDatabaseLogFolderCreation;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Disaster Recovery,Get-MailboxRestoreRequestStatistics,Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;IncludeReport;OutBuffer;OutVariable;ReportOnly;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable,0,40
Disaster Recovery,Get-MailboxRestoreRequest,BatchName;Debug;DomainController;ErrorAction;ErrorVariable;HighPriority;Identity;Name;OutBuffer;OutVariable;RequestQueue;ResultSize;SourceDatabase;Status;Suspend;TargetMailbox;Verbose;WarningAction;WarningVariable,0,40
Disaster Recovery,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Disaster Recovery,Enable-MetaCacheDatabase,Server,0,40
Distribution Groups,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Update-DistributionGroupMember,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Members;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Start-AuditAssistant,Identity,0,40
Distribution Groups,Set-UnifiedAuditSetting,Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Set-OrganizationConfig,DistributionGroupDefaultOU;DistributionGroupNameBlockedWordsList;DistributionGroupNamingPolicy;HierarchicalAddressBookRoot,0,40
Distribution Groups,Set-Group,Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;IsHierarchicalGroup;ManagedBy;Name;Notes;OutBuffer;OutVariable;PhoneticDisplayName;SeniorityIndex;SimpleDisplayName;Universal;Verbose;WarningAction;WarningVariable;WhatIf;WindowsEmailAddress,0,40
Distribution Groups,Set-DynamicDistributionGroup,AcceptMessagesOnlyFrom;AcceptMessagesOnlyFromDLMembers;AcceptMessagesOnlyFromSendersOrMembers;Alias;BypassModerationFromSendersOrMembers;ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;CustomAttribute1;CustomAttribute10;CustomAttribute11;CustomAttribute12;CustomAttribute13;CustomAttribute14;CustomAttribute15;CustomAttribute2;CustomAttribute3;CustomAttribute4;CustomAttribute5;CustomAttribute6;CustomAttribute7;CustomAttribute8;CustomAttribute9;Debug;DisplayName;DomainController;EmailAddresses;EmailAddressPolicyEnabled;ErrorAction;ErrorVariable;ExpansionServer;ExtensionCustomAttribute1;ExtensionCustomAttribute2;ExtensionCustomAttribute3;ExtensionCustomAttribute4;ExtensionCustomAttribute5;ForceUpgrade;GrantSendOnBehalfTo;HiddenFromAddressListsEnabled;Identity;IgnoreDefaultScope;IncludedRecipients;MailTip;MailTipTranslations;ManagedBy;MaxReceiveSize;MaxSendSize;ModeratedBy;ModerationEnabled;Name;Notes;OutBuffer;OutVariable;PhoneticDisplayName;PrimarySmtpAddress;RecipientContainer;RecipientFilter;RejectMessagesFrom;RejectMessagesFromDLMembers;RejectMessagesFromSendersOrMembers;ReportToManagerEnabled;ReportToOriginatorEnabled;RequireSenderAuthenticationEnabled;SendModerationNotifications;SendOofMessageToOriginatorEnabled;SimpleDisplayName;Verbose;WarningAction;WarningVariable;WhatIf;WindowsEmailAddress,0,40
Distribution Groups,Set-DistributionGroup,AcceptMessagesOnlyFrom;AcceptMessagesOnlyFromDLMembers;AcceptMessagesOnlyFromSendersOrMembers;Alias;BypassModerationFromSendersOrMembers;BypassNestedModerationEnabled;Confirm;CustomAttribute1;CustomAttribute10;CustomAttribute11;CustomAttribute12;CustomAttribute13;CustomAttribute14;CustomAttribute15;CustomAttribute2;CustomAttribute3;CustomAttribute4;CustomAttribute5;CustomAttribute6;CustomAttribute7;CustomAttribute8;CustomAttribute9;Debug;DisplayName;DomainController;EmailAddresses;EmailAddressPolicyEnabled;ErrorAction;ErrorVariable;ExpansionServer;ExtensionCustomAttribute1;ExtensionCustomAttribute2;ExtensionCustomAttribute3;ExtensionCustomAttribute4;ExtensionCustomAttribute5;ForceUpgrade;GrantSendOnBehalfTo;HiddenFromAddressListsEnabled;Identity;IgnoreDefaultScope;IgnoreNamingPolicy;MailTip;MailTipTranslations;ManagedBy;MaxReceiveSize;MaxSendSize;MemberDepartRestriction;MemberJoinRestriction;ModeratedBy;ModerationEnabled;Name;OutBuffer;OutVariable;PrimarySmtpAddress;RejectMessagesFrom;RejectMessagesFromDLMembers;RejectMessagesFromSendersOrMembers;ReportToManagerEnabled;ReportToOriginatorEnabled;RequireSenderAuthenticationEnabled;RoomList;SamAccountName;SendModerationNotifications;SendOofMessageToOriginatorEnabled;SimpleDisplayName;Verbose;WarningAction;WarningVariable;WhatIf;WindowsEmailAddress,0,40
Distribution Groups,Set-ADServerSettings,ConfigurationDomainController;Confirm;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PreferredGlobalCatalog;PreferredServer;RecipientViewRoot;RunspaceServerSettings;SetPreferredDomainControllers;Verbose;ViewEntireForest;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Remove-DynamicDistributionGroup,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Remove-DistributionGroupMember,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Member;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Remove-DistributionGroup,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,New-DynamicDistributionGroup,Alias;ArbitrationMailbox;ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;IncludedRecipients;ModeratedBy;ModerationEnabled;Name;OrganizationalUnit;OutBuffer;OutVariable;PrimarySmtpAddress;RecipientContainer;RecipientFilter;SendModerationNotifications;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,New-DistributionGroup,Alias;ArbitrationMailbox;BypassNestedModerationEnabled;Confirm;CopyOwnerToMember;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;IgnoreNamingPolicy;ManagedBy;MemberDepartRestriction;MemberJoinRestriction;Members;ModeratedBy;ModerationEnabled;Name;Notes;OrganizationalUnit;OutBuffer;OutVariable;PrimarySmtpAddress;RequireSenderAuthenticationEnabled;RoomList;SamAccountName;SendModerationNotifications;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Get-User,Anr;Arbitration;AuditLog;AuxAuditLog;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-UnifiedAuditSetting,Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable,0,40
Distribution Groups,Get-ResourceConfig,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-Recipient,Anr;BookmarkDisplayName;ErrorAction;ErrorVariable;Filter;Identity;IncludeBookmarkObject;IncludeSoftDeletedRecipients;OrganizationalUnit;OutBuffer;OutVariable;Properties;PropertySet;RecipientType;RecipientTypeDetails;ResultSize;SortBy;WarningAction;WarningVariable,0,40
Distribution Groups,Get-OrganizationalUnit,Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeContainers;OutBuffer;OutVariable;ResultSize;SearchText;SingleNodeOnly;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-MailboxPreferredLocation,Identity,0,40
Distribution Groups,Get-Mailbox,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-MailUser,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-Group,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-EligibleDistributionGroupForMigration,Debug;ErrorAction;ErrorVariable;Identity;ManagedBy;OrganizationalUnit;OutBuffer;OutVariable;ResultSize;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-DynamicDistributionGroup,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;IncludeSystemObjects;ManagedBy;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-DistributionGroupMember,Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-DistributionGroup,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;ManagedBy;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-AcceptedDomain,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Get-ADServerSettings,Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Distribution Groups,Enable-DistributionGroup,Alias;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;PrimarySmtpAddress;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Disable-DistributionGroup,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Distribution Groups,Add-DistributionGroupMember,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Member;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Edge Subscriptions,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,50
Edge Subscriptions,Start-EdgeSynchronization,Confirm;Debug;ErrorAction;ErrorVariable;ForceFullSync;ForceUpdateCookie;OutBuffer;OutVariable;Server;TargetServer;Verbose;WarningAction;WarningVariable;WhatIf,1,50
Edge Subscriptions,Set-EdgeSyncServiceConfig,ConfigurationSyncInterval;Confirm;CookieValidDuration;Debug;DomainController;ErrorAction;ErrorVariable;FailoverDCInterval;Identity;LockDuration;LockRenewalDuration;LogEnabled;LogLevel;LogMaxAge;LogMaxDirectorySize;LogMaxFileSize;LogPath;Name;OptionDuration;OutBuffer;OutVariable;RecipientSyncInterval;Verbose;WarningAction;WarningVariable;WhatIf,1,50
Edge Subscriptions,Remove-EdgeSubscription,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,50
Edge Subscriptions,New-EdgeSyncServiceConfig,ConfigurationSyncInterval;Confirm;CookieValidDuration;Debug;DomainController;ErrorAction;ErrorVariable;FailoverDCInterval;LockDuration;LockRenewalDuration;LogEnabled;LogLevel;LogMaxAge;LogMaxDirectorySize;LogMaxFileSize;LogPath;OptionDuration;OutBuffer;OutVariable;RecipientSyncInterval;Site;Verbose;WarningAction;WarningVariable;WhatIf,1,50
Edge Subscriptions,New-EdgeSubscription,AccountExpiryDuration;Confirm;CreateInboundSendConnector;CreateInternetSendConnector;Debug;DomainController;ErrorAction;ErrorVariable;FileData;FileName;Force;OutBuffer;OutVariable;Site;Verbose;WarningAction;WarningVariable;WhatIf,1,50
Edge Subscriptions,Get-EdgeSubscription,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,50
Edge Subscriptions,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,50
Edge Subscriptions,Get-ADSite,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,50
E-Mail Address Policies,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
E-Mail Address Policies,Update-EmailAddressPolicy,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FixMissingAlias;Identity;OutBuffer;OutVariable;UpdateSecondaryAddressesOnly;Verbose;WarningAction;WarningVariable;WhatIf,0,50
E-Mail Address Policies,Set-EmailAddressPolicy,ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisabledEmailAddressTemplates;DomainController;EnabledEmailAddressTemplates;EnabledPrimarySMTPAddressTemplate;ErrorAction;ErrorVariable;ForceUpgrade;Identity;IncludedRecipients;Name;OutBuffer;OutVariable;Priority;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf,0,50
E-Mail Address Policies,Remove-EmailAddressPolicy,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
E-Mail Address Policies,New-EmailAddressPolicy,ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisabledEmailAddressTemplates;DomainController;EnabledEmailAddressTemplates;EnabledPrimarySMTPAddressTemplate;ErrorAction;ErrorVariable;IncludedRecipients;Name;OutBuffer;OutVariable;Priority;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf,0,50
E-Mail Address Policies,Get-OrganizationalUnit,Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeContainers;OutBuffer;OutVariable;ResultSize;SearchText;SingleNodeOnly;Verbose;WarningAction;WarningVariable,0,50
E-Mail Address Policies,Get-EmailAddressPolicy,Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeMailboxSettingOnlyPolicy;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,50
E-Mail Address Policies,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,50
Exchange Connectors,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Exchange Connectors,Set-DeliveryAgentConnector,AddressSpaces;Comment;Confirm;Debug;DeliveryProtocol;DomainController;Enabled;ErrorAction;ErrorVariable;Force;Identity;IsScopedConnector;MaxConcurrentConnections;MaxMessageSize;MaxMessagesPerConnection;Name;OutBuffer;OutVariable;SourceTransportServers;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Exchange Connectors,Remove-DeliveryAgentConnector,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Exchange Connectors,New-DeliveryAgentConnector,AddressSpaces;Comment;Confirm;Debug;DeliveryProtocol;DomainController;Enabled;ErrorAction;ErrorVariable;IsScopedConnector;MaxConcurrentConnections;MaxMessageSize;MaxMessagesPerConnection;Name;OutBuffer;OutVariable;SourceTransportServers;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Exchange Connectors,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Exchange Connectors,Get-DeliveryAgentConnector,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Exchange Server Certificates,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Server Certificates,Set-Notification,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;NotificationEmails;OutBuffer;OutVariable;ProcessType;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Server Certificates,Remove-ExchangeCertificate,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Thumbprint;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Server Certificates,New-ExchangeCertificate,BinaryEncoded;Confirm;Debug;DomainController;DomainName;ErrorAction;ErrorVariable;Force;FriendlyName;GenerateRequest;IncludeAcceptedDomains;IncludeAutoDiscover;IncludeServerFQDN;IncludeServerNetBIOSName;Instance;KeySize;OutBuffer;OutVariable;PrivateKeyExportable;RequestFile;Server;Services;SubjectKeyIdentifier;SubjectName;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Server Certificates,Import-ExchangeCertificate,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FileData;FileName;FriendlyName;Instance;OutBuffer;OutVariable;Password;PrivateKeyExportable;Server;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Server Certificates,Get-Notification,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ProcessType;ResultSize;Settings;StartDate;Verbose;WarningAction;WarningVariable,1,30
Exchange Server Certificates,Get-ExchangeServerAccessLicenseUser,Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable,1,30
Exchange Server Certificates,Get-ExchangeServerAccessLicense,Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable,1,30
Exchange Server Certificates,Get-ExchangeServer,Debug;Domain;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable,1,30
Exchange Server Certificates,Get-ExchangeCertificate,Debug;DomainController;DomainName;ErrorAction;ErrorVariable;Identity;Instance;OutBuffer;OutVariable;Server;Thumbprint;Verbose;WarningAction;WarningVariable,1,30
Exchange Server Certificates,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,30
Exchange Server Certificates,Export-ExchangeCertificate,BinaryEncoded;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FileName;Identity;OutBuffer;OutVariable;Password;Server;Thumbprint;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Server Certificates,Enable-ExchangeCertificate,Confirm;Debug;DomainController;DoNotRequireSsl;ErrorAction;ErrorVariable;Force;Identity;NetworkServiceAllowed;OutBuffer;OutVariable;Server;Services;Thumbprint;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Servers,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Servers,Update-OfflineAddressBook,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Servers,Update-ExchangeHelp,Force;Verbose,1,30
Exchange Servers,Start-MailboxAssistant,AssistantName;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Parameters;SoftDeletedMailbox;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Servers,Set-UMService,Confirm;Debug;DialPlans;DomainController;ErrorAction;ErrorVariable;GrammarGenerationSchedule;Identity;IPAddressFamily;IPAddressFamilyConfigurable;IrmLogEnabled;IrmLogMaxAge;IrmLogMaxDirectorySize;IrmLogMaxFileSize;IrmLogPath;MaxCallsAllowed;OutBuffer;OutVariable;SIPAccessService;Status;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Exchange Servers,Set-UMCallRouterSettings,Confirm;Debug;DialPlans;DomainController;ErrorAction;ErrorVariable;IPAddressFamily;IPAddressFamilyConfigurable;MaxCallsAllowed;OutBuffer;OutVariable;Server;SipTcpListeningPort;SipTlsListeningPort;Verbose;WarningAction;WarningVariable;WhatIf,1,30
