Alert,Description,Tactic,Severity,Provider,Detection Service,DetectionURL,connectorId,dataTypes
Detected suspicious network activity,"Analysis of network traffic from %{Compromised Host} detected suspicious network activity. Such traffic, while possibly benign, is typically used by an attacker to communicate with malicious servers for downloading of tools, command-and-control and exfiltration of data. Typical related attacker activity includes copying remote administration tools to a compromised host and exfiltrating user data from it.",-,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected suspicious use of the useradd command [seen multiple times],Analysis of host data has detected suspicious use of the useradd command on %{Compromised Host}. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected suspicious use of the useradd command(VM_SuspectUserAddition),Analysis of host data has detected suspicious use of the useradd command on %{Compromised Host}.,Persistence,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Digital currency mining related behavior detected,Analysis of host data on %{Compromised Host} detected the execution of a process or command normally associated with digital currency mining.,-,High,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Disabling of auditd logging [seen multiple times],The Linux Audit system provides a way to track security-relevant information on the system. It records as much information about the events that are happening on your system as possible. Disabling auditd logging could hamper discovering violations of security policies used on the system. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Docker build operation detected on a Kubernetes node(VM_ImageBuildOnNode),"Machine logs indicate a build operation of a container image on a Kubernetes node. While this behavior might be legitimate, attackers might build their malicious images locally to avoid detection.",Defense Evasion,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Executable found running from a suspicious location(VM_SuspectExecutablePath),"Analysis of host data detected an executable file on %{Compromised Host} that is running from a location in common with known suspicious files. This executable could either be legitimate activity, or an indication of a compromised host.",Execution,High,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Exploitation of Xorg vulnerability [seen multiple times],Analysis of host data on %{Compromised Host} detected the user of Xorg with suspicious arguments. Attackers may use this technique in privilege escalation attempts. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Exposed Docker daemon on TCP socket(VM_ExposedDocker),"Machine logs indicate that your Docker daemon (dockerd) exposes a TCP socket. By default, Docker configuration, does not use encryption or authentication when a TCP socket is enabled. This enables full access to the Docker daemon, by anyone with access to the relevant port.","Execution, Exploitation",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Failed SSH brute force attack(VM_SshBruteForceFailed),Failed brute force attacks were detected from the following attackers: %{Attackers}. Attackers were trying to access the host with the following user names: %{Accounts used on failed sign in to host attempts}.,Probing,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Fileless Attack Behavior Detected(VM_FilelessAttackBehavior.Linux),The memory of the process specified below contains behaviors commonly used by fileless attacks.Specific behaviors include: {list of observed behaviors},Execution,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Fileless Attack Technique Detected(VM_FilelessAttackTechnique.Linux),The memory of the process specified below contains evidence of a fileless attack technique. Fileless attacks are used by attackers to execute code while evading detection by security software.Specific behaviors include: {list of observed behaviors},Execution,High,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Fileless Attack Toolkit Detected(VM_FilelessAttackToolkit.Linux),"The memory of the process specified below contains a fileless attack toolkit: {ToolKitName}. Fileless attack toolkits typically do not have a presence on the filesystem, making detection by traditional anti-virus software difficult.Specific behaviors include: {list of observed behaviors}","Defense Evasion, Execution",High,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Hidden file execution detected,"Analysis of host data indicates that a hidden file was executed by %{user name}. This activity could either be legitimate activity, or an indication of a compromised host.",-,Informational,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Indicators associated with DDOS toolkit detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected file names that are part of a toolkit associated with malware capable of launching DDoS attacks, opening ports and services and taking full control over the infected system. This could also possibly be legitimate activity. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Indicators associated with DDOS toolkit detected(VM_KnownLinuxDDoSToolkit),"Analysis of host data on %{Compromised Host} detected file names that are part of a toolkit associated with malware capable of launching DDoS attacks, opening ports and services and taking full control over the infected system. This could also possibly be legitimate activity.","Persistence, Lateral Movement, Execution, Exploitation",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Local host reconnaissance detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of a command normally associated with common Linux bot reconnaissance. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Local host reconnaissance detected(VM_LinuxReconnaissance),Analysis of host data on %{Compromised Host} detected the execution of a command normally associated with common Linux bot reconnaissance.,Discovery,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Manipulation of host firewall detected [seen multiple times](VM_FirewallDisabled),Analysis of host data on %{Compromised Host} detected possible manipulation of the on-host firewall. Attackers will often disable this to exfiltrate data. This behavior was seen [x] times today on the following machines: [Machine names],"Defense Evasion, Exfiltration",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Manipulation of host firewall detected,Analysis of host data on %{Compromised Host} detected possible manipulation of the on-host firewall. Attackers will often disable this to exfiltrate data.,-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
MITRE Caldera agent detected(VM_MitreCalderaTools),Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on %{Compromised Host}. This is often associated with the MITRE 54ndc47 agent which could be used maliciously to attack other machines in some way.,All,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
New SSH key added [seen multiple times](VM_SshKeyAddition),A new SSH key was added to the authorized keys file. This behavior was seen [x] times today on the following machines: [Machine names],Persistence,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
New SSH key added,A new SSH key was added to the authorized keys file,-,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible attack tool detected [seen multiple times],Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on %{Compromised Host}. This tool is often associated with malicious users attacking other machines in some way. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible attack tool detected(VM_KnownLinuxAttackTool),Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on %{Compromised Host}. This tool is often associated with malicious users attacking other machines in some way.,"Execution, Collection, Command and Control, Probing",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible backdoor detected [seen multiple times],Analysis of host data has detected a suspicious file being downloaded then run on %{Compromised Host} in your subscription. This activity has previously been associated with installation of a backdoor. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible credential access tool detected [seen multiple times],Machine logs indicate a possible known credential access tool was running on %{Compromised Host} launched by process: '%{Suspicious Process}'. This tool is often associated with attacker attempts to access credentials. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible credential access tool detected(VM_KnownLinuxCredentialAccessTool),Machine logs indicate a possible known credential access tool was running on %{Compromised Host} launched by process: '%{Suspicious Process}'. This tool is often associated with attacker attempts to access credentials.,Credential Access,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible data exfiltration [seen multiple times],Analysis of host data on %{Compromised Host} detected a possible data egress condition. Attackers will often egress data from machines they have compromised. This behavior was seen [x]] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible data exfiltration(VM_DataEgressArtifacts),Analysis of host data on %{Compromised Host} detected a possible data egress condition. Attackers will often egress data from machines they have compromised.,"Collection, Exfiltration",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible exploitation of Hadoop Yarn(VM_HadoopYarnExploit),Analysis of host data on %{Compromised Host} detected the possible exploitation of the Hadoop Yarn service.,Exploitation,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible exploitation of the mailserver detected(VM_MailserverExploitation ),Analysis of host data on %{Compromised Host} detected an unusual execution under the mail server account,Exploitation,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible Log Tampering Activity Detected [seen multiple times],Analysis of host data on %{Compromised Host} detected possible removal of files that tracks user's activity during the course of its operation. Attackers often try to evade detection and leave no trace of malicious activities by deleting such log files. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible Log Tampering Activity Detected(VM_SystemLogRemoval),Analysis of host data on %{Compromised Host} detected possible removal of files that tracks user's activity during the course of its operation. Attackers often try to evade detection and leave no trace of malicious activities by deleting such log files.,Defense Evasion,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible malicious web shell detected [seen multiple times](VM_Webshell),Analysis of host data on %{Compromised Host} detected a possible web shell. Attackers will often upload a web shell to a machine they have compromised to gain persistence or for further exploitation. This behavior was seen [x] times today on the following machines: [Machine names],"Persistence, Exploitation",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible malicious web shell detected,Analysis of host data on %{Compromised Host} detected a possible web shell. Attackers will often upload a web shell to a machine they have compromised to gain persistence or for further exploitation.,-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Possible password change using crypt-method detected [seen multiple times],Analysis of host data on %{Compromised Host} detected password change using crypt method. Attackers can make this change to continue access and gaining persistence after compromise. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Potential overriding of common files [seen multiple times],Analysis of host data has detected common executables being overwritten on %{Compromised Host}. Attackers will overwrite common files as a way to obfuscate their actions or for persistence. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Potential overriding of common files(VM_OverridingCommonFiles),Analysis of host data has detected common executables being overwritten on %{Compromised Host}. Attackers will overwrite common files as a way to obfuscate their actions or for persistence.,Persistence,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Potential port forwarding to external IP address [seen multiple times],Analysis of host data on %{Compromised Host} detected the initiation of port forwarding to an external IP address. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Potential port forwarding to external IP address(VM_SuspectPortForwarding),Host data analysis detected the initiation of port forwarding to an external IP address.,"Exfiltration, Command and Control",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Potential reverse shell detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a potential reverse shell. These are used to get a compromised machine to call back into a machine an attacker owns. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Potential reverse shell detected(VM_ReverseShell),Analysis of host data on %{Compromised Host} detected a potential reverse shell. These are used to get a compromised machine to call back into a machine an attacker owns.,"Exfiltration, Exploitation",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Privileged command run in container(VM_PrivilegedExecutionInContainer),Machine logs indicate that a privileged command was run in a Docker container. A privileged command has extended privileges on the host machine.,Privilege Escalation,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Privileged Container Detected(VM_PrivilegedContainerArtifacts),"Machine logs indicate that a privileged Docker container is running. A privileged container has a full access to the host's resources. If compromised, an attacker can use the privileged container to gain access to the host machine.","Privilege Escalation, Execution",Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Process associated with digital currency mining detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of a process normally associated with digital currency mining. This behavior was seen over 100 times today on the following machines: [Machine name],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Process associated with digital currency mining detected,Host data analysis detected the execution of a process that is normally associated with digital currency mining.,"Exploitation, Execution",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Process seen accessing the SSH authorized keys file in an unusual way(VM_SshKeyAccess),An SSH authorized keys file has been accessed in a method similar to known malware campaigns. This access can indicate that an attacker is attempting to gain persistent access to a machine.,-,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Python encoded downloader detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of encoded Python that downloads and runs code from a remote location. This may be an indication of malicious activity. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Screenshot taken on host [seen multiple times],Analysis of host data on %{Compromised Host} detected the user of a screen capture tool. Attackers may use these tools to access private data. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Script extension mismatch detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a mismatch between the script interpreter and the extension of the script file provided as input. This has frequently been associated with attacker script executions. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Script extension mismatch detected(VM_MismatchedScriptFeatures),Analysis of host data on %{Compromised Host} detected a mismatch between the script interpreter and the extension of the script file provided as input. This has frequently been associated with attacker script executions.,Defense Evasion,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Shellcode detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected shellcode being generated from the command line. This process could be legitimate activity, or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
SSH server is running inside a container(VM_ContainerSSH),"Machine logs indicate that an SSH server is running inside a Docker container. While this behavior can be intentional, it frequently indicates that a container is misconfigured or breached.",Execution,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Successful SSH brute force attack(VM_SshBruteForceSuccess),Analysis of host data has detected a successful brute force attack. The IP %{Attacker source IP} was seen making multiple login attempts. Successful logins were made from that IP with the following user(s): %{Accounts used to successfully sign in to host}. This means that the host may be compromised and controlled by a malicious actor.,Exploitation,High,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspect Password File Access (VM_SuspectPasswordFileAccess),Analysis of host data has detected suspicious access to encrypted user passwords.,Persistence,Informational,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious Account Creation Detected,"Analysis of host data on %{Compromised Host} detected creation or use of a local account %{Suspicious account name} : this account name closely resembles a standard Windows account or group name '%{Similar To Account Name}'. This is potentially a rogue account created by an attacker, so named in order to avoid being noticed by a human administrator.",-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious compilation detected [seen multiple times],Analysis of host data on %{Compromised Host} detected suspicious compilation. Attackers will often compile exploits on a machine they have compromised to escalate privileges. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious compilation detected(VM_SuspectCompilation),Analysis of host data on %{Compromised Host} detected suspicious compilation. Attackers will often compile exploits on a machine they have compromised to escalate privileges.,"Privilege Escalation, Exploitation",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious DNS Over Https (VM_SuspiciousDNSOverHttps),Analysis of host data indicates the use of a DNS call over HTTPS in an uncommon fashion. This technique is used by attackers to hide calls out to suspect or malicious sites.,"DefenseEvasion, Exfiltration",Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious failed execution of custom script extension in your virtual machine(VM_CustomScriptExtensionSuspiciousFailure),Suspicious failure of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Such failures may be associated with malicious scripts run by this extension.,Execution,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious kernel module detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected a shared object file being loaded as a kernel module. This could be legitimate activity, or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious password access [seen multiple times],Analysis of host data has detected suspicious access to encrypted user passwords on %{Compromised Host}. This behavior was seen [x] times today on the following machines: [Machine names],-,Informational,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious password access,Analysis of host data has detected suspicious access to encrypted user passwords on %{Compromised Host}.,-,Informational,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious PHP execution detected(VM_SuspectPhp),"Machine logs indicate that a suspicious PHP process is running. The action included an attempt to run OS commands or PHP code from the command line using the PHP process. While this behavior can be legitimate, in web applications this behavior is also observed in malicious activities such as attempts to infect websites with web shells.",Execution,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious request to Kubernetes API(VM_KubernetesAPI),"Machine logs indicate that a suspicious request was made to the Kubernetes API. The request was sent from a Kubernetes node, possibly from one of the containers running in the node. Although this behavior can be intentional, it might indicate that the node is running a compromised container.",LateralMovement,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Suspicious request to the Kubernetes Dashboard(VM_KubernetesDashboard),"Machine logs indicate that a suspicious request was made to the Kubernetes Dashboard. The request was sent from a Kubernetes node, possibly from one of the containers running in the node. Although this behavior can be intentional, it might indicate that the node is running a compromised container.",LateralMovement,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Threat Intel Command Line Suspect Domain (VM_ThreatIntelCommandLineSuspectDomain),The process 'PROCESSNAME' on 'HOST' connected to a location that has been reported to be malicious or unusual. This is an indicator that a compromise may have occurred.,Initial Access,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Unusual config reset in your virtual machine(VM_VMAccessUnusualConfigReset),"An unusual config reset was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.While this action may be legitimate, attackers can try utilizing VM Access extension to reset the configuration in your virtual machine and compromise it.",Credential Access,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Unusual deletion of custom script extension in your virtual machine(VM_CustomScriptExtensionUnusualDeletion),Unusual deletion of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers may use custom script extensions to execute malicious code on your virtual machines via the Azure Resource Manager.,Execution,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Unusual execution of custom script extension in your virtual machine(VM_CustomScriptExtensionUnusualExecution),Unusual execution of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers may use custom script extensions to execute malicious code on your virtual machines via the Azure Resource Manager.,Execution,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Unusual user password reset in your virtual machine(VM_VMAccessUnusualPasswordReset),"An unusual user password reset was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.While this action may be legitimate, attackers can try utilizing the VM Access extension to reset the credentials of a local user in your virtual machine and compromise it.",Credential Access,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Unusual user SSH key reset in your virtual machine(VM_VMAccessUnusualSSHReset),"An unusual user SSH key reset was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.While this action may be legitimate, attackers can try utilizing VM Access extension to reset SSH key of a user account in your virtual machine and compromise it.",Credential Access,Medium,Linux,Microsoft Defender for Linux,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
An attempt to run Linux commands on a Windows App Service(AppServices_LinuxCommandOnWindows),Analysis of App Service processes detected an attempt to run a Linux command on a Windows App Service. This action was running by the web application. This behavior is often seen during campaigns that exploit a vulnerability in a common web application.(Applies to: App Service on Windows),-,Medium,Azure App Service,Microsoft Defender for Azure App Service,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
An IP that connected to your Azure App Service FTP Interface was found in Threat Intelligence(AppServices_IncomingTiClientIpFtp),"Azure App Service FTP log indicates a connection from a source address that was found in the threat intelligence feed. During this connection, a user accessed the pages listed.(Applies to: App Service on Windows and App Service on Linux)",Initial Access,Medium,Azure App Service,Microsoft Defender for Azure App Service,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Attempt to run high privilege command detected(AppServices_HighPrivilegeCommand),"Analysis of App Service processes detected an attempt to run a command that requires high privileges.The command ran in the web application context. While this behavior can be legitimate, in web applications this behavior is also observed in malicious activities.(Applies to: App Service on Windows)",-,Medium,Azure App Service,Microsoft Defender for Azure App Service,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Communication with suspicious domain identified by threat intelligence(AzureDNS_ThreatIntelSuspectDomain),Communication with suspicious domain was detected by analyzing DNS transactions from your resource and comparing against known malicious domains identified by threat intelligence feeds. Communication to malicious domains is frequently performed by attackers and could imply that your resource is compromised.,"Initial Access, Persistence, Execution, Command And Control, Exploitation",Medium,Azure App Service,Microsoft Defender for Azure App Service,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Connection to web page from anomalous IP address detected(AppServices_AnomalousPageAccess),"Azure App Service activity log indicates an anomalous connection to a sensitive web page from the listed source IP address. This might indicate that someone is attempting a brute force attack into your web app administration pages. It might also be the result of a new IP address being used by a legitimate user. If the source IP address is trusted, you can safely suppress this alert for this resource. To learn how to suppress security alerts, see Suppress alerts from Microsoft Defender for Cloud. (Applies to: App Service on Windows and App Service on Linux)",Initial Access,Medium,Azure App Service,Microsoft Defender for Azure App Service,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Dangling DNS record for an App Service resource detected(AppServices_DanglingDomain),"A DNS record that points to a recently deleted App Service resource (also known as ""dangling DNS"" entry) has been detected. This leaves you susceptible to a subdomain takeover. Subdomain takeovers enable malicious actors to redirect traffic intended for an organization’s domain to a site performing malicious activity.(Applies to: App Service on Windows and App Service on Linux)",-,High,Azure App Service,Microsoft Defender for Azure App Service,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
