Defense,DefenseDescription,DefenseName,Technique,TechniqueName,TechniqueDescription
DTE0006,"A defender can store good copies of registry startup keys and restore them on a frequent basis. This can prevent an adversary from using them to launch malware on system startup.","DTE0006 - Baseline",T1547,"T1547 - Boot or Logon Autostart Execution","There is an opportunity to use tools and controls to stop an adversary's activity."
DTE0028,"Collecting full packet capture of all network traffic allows you to review what happened over the connection and identify command and control traffic and/or exfiltration activity.","DTE0028 - PCAP Collection",T1030,"T1030 - Data Transfer Size Limits","There is an opportunity to collect network data and analyze the adversary activity it contains."
DTE0018,"A defender can detonate malicious code leveraging a signed binary on a decoy system or within a decoy network to see how it behaves or for adversary engagement purposes.","DTE0018 - Detonate Malware",T1218,"T1218 - Signed Binary Proxy Execution","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0034,"A defender could monitor for directory service changes using Windows event logs. This can alert to the presence of an adversary in the network.","DTE0034 - System Activity Monitoring",T1484,"T1484 - Group Policy Modification","There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique."
DTE0026,"Network Manipulation","DTE0026 - Network Manipulation","T1584.006","T1584.006 - Compromise Infrastructure: Web ServicesCompromise Infrastructure","Adversaries may compromise access to third-party web services that can be used during targeting. "
DTE0030,"A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc.","DTE0030 - Pocket Litter",T1025,"T1025 - Data from Removable Media","In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary."
DTE0036,"A defender can change the output of a recon commands to hide simulation elements you don’t want attacked and present simulation elements you want the adversary to engage with.","DTE0036 - Software Manipulation",T1018,"T1018 - Remote System Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0007,"A defender could monitor for anomalous behavior from client applications, such as atypical module loads, file reads/writes, or network connections.","DTE0007 - Behavioral Analytics",T1554,"T1554 - Compromise Client Software Binary","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0013,"A defender can make a variety of decoy network shares available to an adversary and see if the adversary seems to be drawn to shares with specific names, permissions, etc.","DTE0013 - Decoy Diversity",T1135,"T1135 - Network Share Discovery","There is an opportunity to supply a variety of different decoy network shares to an adversary to see what they are drawn to look at and use."
DTE0011,"A defender can use decoy content to give the false impression about the nature of the system in order to entice an adversary to continue engagement.","DTE0011 - Decoy Content",T1217,"T1217 - Browser Bookmark Discovery","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0012,"A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them.","DTE0012 - Decoy Credentials",T1482,"T1482 - Domain Trust Discovery","In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use."
DTE0016,"A defender can run decoy processes on a system to entice an adversary.","DTE0016 - Decoy Process",T1057,"T1057 - Process Discovery","There is an opportunity to present decoy processes to an adversary to influence their behaviors, test their interest, or add legitimacy to a system or environment."
DTE0010,"A defender can create decoy user accounts which are used to make a decoy system or network look more realistic.","DTE0010 - Decoy Account",T1589,"T1589 - Gather Victim Identity Information","There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions."
DTE0034,"A defender can monitor systems for the use of removeable media.","DTE0034 - System Activity Monitoring",T1091,"T1091 - Replication Through Removable Media","There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique."
DTE0004,"A defender can install decoy services that have extensible capabilities.","DTE0004 - Application Diversity",T1505,"T1505 - Server Software Component","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0008,"A defender can authenticate to a collection of decoy sites (as a decoy user) to give the adversary a set of session cookies to harvest and potentially use during adversary engagement.","DTE0008 - Burn-In",T1539,"T1539 - Steal Web Session Cookie","There is an opportunity to seed systems with decoy cookies that will lead adversaries to decoy targets."
DTE0016,"The defender can run processes on legitimate systems that create network artifacts for an adversary to collect. These artifacts may contain data such as credentials, hostnames, etc., that would lead an adversary to target decoy systems and networks.","DTE0016 - Decoy Process",T1040,"T1040 - Network Sniffing","There is an opportunity to present decoy processes to an adversary to influence their behaviors, test their interest, or add legitimacy to a system or environment."
DTE0011,"A defender can plant files, registry entries, software, processes, etc. to make a system look like a VM when it is not.","DTE0011 - Decoy Content",T1497,"T1497 - Virtualization/Sandbox Evasion","There is an opportunity to seed decoy content to make non-virtual systems look like virtual systems to see how an adversary reacts."
DTE0015,"A defender can seed information about the decoy persona's personal accounts on systems to see if the adversary collects and uses that information in future activity.","DTE0015 - Decoy Persona",T1589,"T1589 - Gather Victim Identity Information","There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions."
DTE0030,"A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc.","DTE0030 - Pocket Litter",T1213,"T1213 - Data from Information Repositories","In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary."
DTE0030,"A defender can seed content interesting files to an adversary, but lock the permissions down. The goal would be to force the adversary to expose their TTPs for circumventing the restrictions.","DTE0030 - Pocket Litter",T1222,"T1222 - File and Directory Permissions Modification","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0015,"A defender can seed information about the decoy persona's personal accounts on systems to see if the adversary collects and uses that information in future activity.","DTE0015 - Decoy Persona",T1594,"T1594 - Search Victim-Owned Websites","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0035,"A program to train and exercise the anti-phishing skills of users can create ""Human Sensors"" that help detect phishing attacks.","DTE0035 - User Training",T1566,"T1566 - Phishing","Users trained and encouraged to report phishing can detect attacks that other defenses do not."
DTE0026,"A defender can prevent or enable use of alternate protocols for exfiltration by blocking/unblocking unnecessary ports and protocols.","DTE0026 - Network Manipulation",T1048,"T1048 - Exfiltration Over Alternative Protocol","There is an opportunity to disrupt or enable and adversary's exfiltration activities by blocking/unblocking the traffic to their Command and Control (C2) location."
DTE0015,"A defender can use a decoy persona to engage with online communities or to purchase/download information about their organization and review for exposure.","DTE0015 - Decoy Persona",T1597,"T1597 - Search Closed Sources","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0036,"A defender could feed or redirect requests for credentials with false data that can be used to direct an adversary into a decoy network or system.","DTE0036 - Software Manipulation",T1134,"T1134 - Access Token Manipulation","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0034,"A defender can capture system activity logs and generate alerts if the adversary creates new scheduled tasks or alters existing tasks.","DTE0034 - System Activity Monitoring",T1053,"T1053 - Scheduled Task/Job","There is an opportunity to create a detection with a moderately high probability of success."
DTE0010,"During an adversary engagement operation, a defender can utilize decoy accounts to provide content to an adversary and encourage additional activity.","DTE0010 - Decoy Account",T1087,"T1087 - Account Discovery","In an adversary engagement operation, there is an opportunity to present decoy accounts to the adversary during the enumeration process."
DTE0025,"The defender can add unique endpoints, servers, routers, and other devices to give the adversary a broader attack surface. This can cause the adversary to expose additional capabilities.","DTE0025 - Network Diversity",T1040,"T1040 - Network Sniffing","There is an opportunity to entice the adversary to expose additional TTPs."
DTE0032,"A defender could implement security controls to have an effect on process injection techniques such as AppLocker or an Antivirus/EDR tool designed to watch for CreateRemoteThread events.","DTE0032 - Security Controls",T1055,"T1055 - Process Injection","In an adversary engagement scenario, there is an opportunity to implement security controls to support your defensive objectives over a prolonged engagement."
DTE0036,"A defender could manipulate the command to display services an adversary would expect to see on a system, or to shown them unexpected services.","DTE0036 - Software Manipulation",T1007,"T1007 - System Service Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0026,"A defender can prevent or enable use of alternate protocols for exfiltration by blocking/unblocking unnecessary ports and protocols.","DTE0026 - Network Manipulation",T1041,"T1041 - Exfiltration Over C2 Channel","There is an opportunity to disrupt or enable and adversary's exfiltration activities by blocking/unblocking the traffic to their Command and Control (C2) location."
DTE0006,"A defender can revert a system to a verified baseline a frequent, recurring basis in order to remove adversary persistence mechanisms.","DTE0006 - Baseline",T1546,"T1546 - Event Triggered Execution","There is an opportunity to use tools and controls to stop an adversary's activity."
DTE0023,"A defender can connect a suspect removeable media device to a decoy system and see what happens when autorun is enabled.","DTE0023 - Migrate Attack Vector",T1091,"T1091 - Replication Through Removable Media","There is an opportunity to study removable media to see if it's infected and what happens when it is plugged into a decoy system or network."
DTE0012,"A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them.","DTE0012 - Decoy Credentials",T1602,"T1602 - Data from Configuration Repository","In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use."
DTE0017,"A defender can deploy a decoy system to see if an adversary attempts to shutdown or reboot the device.","DTE0017 - Decoy System",T1529,"T1529 - System Shutdown/Reboot","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0027,"A defender can monitor network traffic for anomalies associated with known MiTM behavior.","DTE0027 - Network Monitoring",T1557,"T1557 - Man-in-the-Middle","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0015,"A defender can seed information about the decoy persona's personal accounts on systems to see if the adversary collects and uses that information in future activity.","DTE0015 - Decoy Persona",T1591,"T1591 - Gather Victim Org Information","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0027,"A defender can monitor network traffic for anomalies associated with known MiTM behavior.","DTE0027 - Network Monitoring",T1600,"T1600 - Weaken Encryption","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0036,"A defender can change the output of a recon commands to hide simulation elements you don’t want attacked and present simulation elements you want the adversary to engage with.","DTE0036 - Software Manipulation",T1046,"T1046 - Network Service Scanning","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0012,"A defender can use adversary attempts at forced authentication exploits to seed adversary servers with decoy credentials.","DTE0012 - Decoy Credentials",T1187,"T1187 - Forced Authentication","In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use."
DTE0035,"A program to train users on how to recognize and report third-party applications requesting authorization can create ""Human Sensors"" that help detect application token theft.","DTE0035 - User Training",T1528,"T1528 - Steal Application Access Token","Users trained and encouraged to report unsolicited application authorization requests can detect attacks that other defenses do not."
DTE0003,"A defender can monitor and analyze operating system functions calls for detection and alerting.","DTE0003 - API Monitoring",T1140,"T1140 - Deobfuscate/Decode Files or Information","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0018,"A defender can execute adversary malware on a decoy system and examine its behaviors or potentially engage with the adversary to obtain further intelligence.","DTE0018 - Detonate Malware",T1204,"T1204 - User Execution","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0030,"A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc.","DTE0030 - Pocket Litter",T1530,"T1530 - Data from Cloud Storage Object","In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary."
DTE0004,"A defender can install one or more applications on a decoy system with a variety of patch levels to see how an adversary might exploit those applications.","DTE0004 - Application Diversity",T1203,"T1203 - Exploitation for Client Execution","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0036,"A defender can modify system calls to break communications, route things to decoy systems, prevent full execution, etc.","DTE0036 - Software Manipulation",T1129,"T1129 - Shared Modules","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0004,"During an adversary engagement operation, a defender can open and use any particular subset of applications installed on a system to control what is presented to the adversary at any point in time.","DTE0004 - Application Diversity",T1010,"T1010 - Application Window Discovery","There is an opportunity to provide a variety of applications to an adversary so they see a full set of information when performing discovery tasks."
DTE0017,"A defender can have decoy systems that are easy to gain access to and have Office installed. The decoy system can be monitored to see if an adversary attempts to inject anything malicious into Office templates.","DTE0017 - Decoy System",T1221,"T1221 - Template Injection","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0014,"A defender can use a decoy network and seed it with cloud services to see how an adversary might exploit those resources.","DTE0014 - Decoy Network",T1526,"T1526 - Cloud Service Discovery","There is an opportunity to introduce services in a decoy network to determine if an adversary notices and tries to learn more about them."
DTE0022,"A defender can setup protections so removeable media cannot be mounted until an isolated review process has cleared the drive.","DTE0022 - Isolation",T1091,"T1091 - Replication Through Removable Media","There is an opportunity to prevent an adversary from using removable media to compromise disconnected or air-gapped systems."
DTE0029,"A defender who intercepts removable media being used by an adversary for relaying commands can plug the removal media into a decoy system or network to watch what commands are being relayed and what the adversary continues to do.","DTE0029 - Peripheral Management",T1092,"T1092 - Communication Through Removable Media","There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment."
DTE0006,"A defender can enable Registry Auditing on specific keys to produce an alerts whenever a value is changed and revert those keys to baseline.","DTE0006 - Baseline",T1112,"T1112 - Modify Registry","There is an opportunity to utilize known good copies of registry information and restore it if an adversary makes any changes."
DTE0032,"In an adversary engagement scenario, a defender can implement weak security controls that an adversary could subvert in order to further their attack.","DTE0032 - Security Controls",T1553,"T1553 - Subvert Trust Controls","There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1570,"T1570 - Lateral Tool Transfer","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0031,"Defenders can develop protocol decoders that can decrypt network capture data and expose an adversary's command and control traffic as well as their exfiltration activity.","DTE0031 - Protocol Decoder",T1001,"T1001 - Data Obfuscation","There is an opportunity to reveal data that the adversary has tried to protect from defenders"
DTE0003,"A defender can monitor and analyze operating system functions calls for detection and alerting.","DTE0003 - API Monitoring",T1218,"T1218 - Signed Binary Proxy Execution","There is an opportunity to create a detection with a moderately high probability of success."
DTE0012,"A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them.","DTE0012 - Decoy Credentials",T1552,"T1552 - Unsecured Credentials","In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use."
DTE0030,"A defender can stage a variety of pocket litter files to see if the adversary collect any of those files in an automated manner.","DTE0030 - Pocket Litter",T1119,"T1119 - Automated Collection","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0034,"A defender can use process monitoring to look for the execution of utilities commonly used for ransomware and other data encryption.","DTE0034 - System Activity Monitoring",T1486,"T1486 - Data Encrypted for Impact","There is an opportunity to create a detection with a moderately high probability of success."
DTE0007,"Defenders can look for anomalies in where an account is authenticating and what it is authenticating to in order to detect potentially malicious intent.","DTE0007 - Behavioral Analytics",T1550,"T1550 - Use Alternate Authentication Material","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0011,"A defender can utilize decoy files and directories to provide content that could be used by the adversary.","DTE0011 - Decoy Content",T1594,"T1594 - Search Victim-Owned Websites","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0013,"A defender can use a diverse set of decoy systems to study an adversary and determine which types of public-facing applications they choose to exploit.","DTE0013 - Decoy Diversity",T1190,"T1190 - Exploit Public-Facing Application","There is an opportunity to present several public-facing application options to see what application(s) the adversary targets."
DTE0034,"A defender can monitor processes and command-line arguments which could be used by an adversary to change or delete information in the Windows registry.","DTE0034 - System Activity Monitoring",T1112,"T1112 - Modify Registry","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0035,"A program to train and exercise the anti-phishing skills of users can create ""Human Sensors"" that help detect phishing attacks.","DTE0035 - User Training",T1598,"T1598 - Phishing for Information","Users trained and encouraged to report phishing can detect attacks that other defenses do not."
DTE0017,"A defender can use a decoy system to see if an adversary exploits vulnerable software in order to compromise the system.","DTE0017 - Decoy System",T1601,"T1601 - Modify System Image","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0036,"A defender can use API calls associated with direct volume access to either see what activity and data is being passed through, or to influence how that API call functions.","DTE0036 - Software Manipulation",T1006,"T1006 - Direct Volume Access","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0004,"A defender can use a variety of applications on a decoy system or in a decoy network to see what an adversary tries to exploit in order to acquire credentials.","DTE0004 - Application Diversity",T1212,"T1212 - Exploitation for Credential Access","In an adversary engagement scenario, there is an opportunity to use a variety of applications on a system to see what an adversary tries to exploit in order to acquire credentials."
DTE0011,"A defender can use decoy content to give the false impression about the system when an adversary performs system information discovery.","DTE0011 - Decoy Content",T1592,"T1592 - Gather Victim Host Information","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0036,"A defender can manipulate the output of commands commonly used to enumerate a system's network connections. They could seed this output with decoy systems and/or networks or remove legitimate systems from the output in order to direct an adversary away from legitimate systems.","DTE0036 - Software Manipulation",T1049,"T1049 - System Network Connections Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0001,"A defender can allow Admin access on a decoy system or network to allow an adversary to use event triggered execution.","DTE0001 - Admin Access",T1546,"T1546 - Event Triggered Execution","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0026,"A defender can block certain adversary used protocols used between systems in order to prevent lateral tool transfer.","DTE0026 - Network Manipulation",T1570,"T1570 - Lateral Tool Transfer","There is an opportunity to manipulate the network to allow/deny certain types of traffic, to degrade network traffic, or otherwise impact an adversary's activity."
DTE0034,"A defender can use process monitoring to look for command execution and command line parameters commonly used to inhibit system recovery.","DTE0034 - System Activity Monitoring",T1490,"T1490 - Inhibit System Recovery","There is an opportunity to create a detection with a moderately high probability of success."
DTE0010,"A defender can create decoy user accounts which are used to make a decoy system or network look more realistic.","DTE0010 - Decoy Account",T1078,"T1078 - Valid Accounts","There is an opportunity to introduce user accounts that are used to make a system look more realistic."
DTE0005,"A defender can ensure data is backed up on a regular basis and backups are stored offline from the system. If an adversary is detected destroying or altering data, the defender could selectively restore data from backup to see how the adversary reacts.","DTE0005 - Backup and Recovery",T1485,"T1485 - Data Destruction","There is an opportunity to test what an adversary might do if destroyed data is selectively replaced by the defender."
DTE0019,"A defender can intercept emails that are detected as suspicious or malicious by email detection tools and prevent deliver to the intended target.","DTE0019 - Email Manipulation",T1566,"T1566 - Phishing","A phishing email can be detected and blocked from arriving at the intended recipient."
DTE0015,"A defender can seed information about the decoy persona's personal accounts on systems to see if the adversary collects and uses that information in future activity.","DTE0015 - Decoy Persona",T1566,"T1566 - Phishing","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0035,"A program to train users to report emails that they did not send but appear in their sent folder.","DTE0035 - User Training",T1534,"T1534 - Internal Spearphishing","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0011,"A defender can create breadcrumbs or honeytokens to lure the attackers toward the decoy systems or network services.","DTE0011 - Decoy Content",T1016,"T1016 - System Network Configuration Discovery","There is an opportunity to influence an adversary to move toward systems you want them to engage with."
DTE0026,"A defender can restrict network traffic making adversary exfiltration slow or unreliable.","DTE0026 - Network Manipulation",T1041,"T1041 - Exfiltration Over C2 Channel","There is an opportunity to disrupt or enable and adversary's exfiltration activities by blocking/unblocking the traffic to their Command and Control (C2) location."
DTE0026,"A defender could implement a protocol aware IPS to limit systems communicating to unknown locations on the internet.","DTE0026 - Network Manipulation",T1104,"T1104 - Multi-Stage Channels","There is an opportunity to manipulate the network to allow/deny certain types of traffic, to degrade network traffic, or otherwise impact an adversary's activity."
DTE0029,"A defender can plug in a USB drive and see how quickly the adversary notices and inspects it.","DTE0029 - Peripheral Management",T1120,"T1120 - Peripheral Device Discovery","There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment."
DTE0007,"By looking for anomalies in system service states and alerting on suspect situations, the defender can detect potential malicious activity and triage the system to re-enable the services that have been stopped.","DTE0007 - Behavioral Analytics",T1489,"T1489 - Service Stop","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0033,"A defender can define operating procedures for modifying GPOs and alert when they are not followed.","DTE0033 - Standard Operating Procedure",T1562,"T1562 - Impair Defenses","There is an opportunity to create a detection with a moderately high probability of success."
DTE0034,"A defender could monitor for known commands used to hide artifacts on a system and for activity associated with those hidden artifacts.","DTE0034 - System Activity Monitoring",T1564,"T1564 - Hide Artifacts","There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique."
DTE0026,"A defender can identify and block specific adversary Command and Control (C2) traffic to see how an adversary responds, possibly exposing additional C2 information.","DTE0026 - Network Manipulation",T1008,"T1008 - Fallback Channels","There is an opportunity to manipulate the network to allow/deny certain types of traffic, to degrade network traffic, or otherwise impact an adversary's activity."
DTE0004,"A defender can stand up decoy systems or processes using a wide array of applications. These applications can be hardened to test an adversary's capabilities, or easily exploited to entice an adversary to move in that direction.","DTE0004 - Application Diversity",T1210,"T1210 - Exploitation of Remote Services","There is an opportunity to provide a variety of applications to an adversary to see what things an adversary prefers or to influence their operations."
DTE0026,"A defender can configure network devices to analyze network traffic, detect a potential DoS attack, and make appropriate adjustments to mitigate the situation.","DTE0026 - Network Manipulation",T1498,"T1498 - Network Denial of Service","There is an opportunity to alter the network configuration in order to disrupt an adversary who is trying to saturate the network or a system via denial of service."
DTE0028,"A defender can capture network traffic for a compromised system and look for abnormal network traffic that may signal data obfuscation.","DTE0028 - PCAP Collection",T1001,"T1001 - Data Obfuscation","There is an opportunity to detect adversary activity that uses obfuscated communication."
DTE0026,"A defender could block traffic to known anonymity networks and C2 infrastructure through the use of network allow and block lists.","DTE0026 - Network Manipulation",T1090,"T1090 - Proxy","There is an opportunity to block an adversary that is seeking to use a proxied connection."
DTE0032,"In an adversary engagement operation, a defender can intentionally increase the time window that a token is valid to see if the adversary is able to acquire and leverage the token.","DTE0032 - Security Controls",T1111,"T1111 - Two-Factor Authentication Interception","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0007,"A defender can look for anomalies in how commands are being executed on a system. This can expose potentially malicious activity.","DTE0007 - Behavioral Analytics",T1070,"T1070 - Indicator Removal on Host","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0010,"A defender can use decoy accounts and monitor them for any activity that might reveal adversary manipulation.","DTE0010 - Decoy Account",T1598,"T1598 - Phishing for Information","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0030,"A defender can stage a variety of pocket litter files on an attached storage space. This data may include topics that align to a persona, topics an adversary is interested in, etc.","DTE0030 - Pocket Litter",T1025,"T1025 - Data from Removable Media","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0017,"A defender can use a decoy system to access a compromised website to see how it works (study the exploit sequence, collect relevant artifacts, etc.).","DTE0017 - Decoy System",T1189,"T1189 - Drive-by Compromise","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0011,"A defender can expose decoy information about their organization to try and influence an adversary's future activity.","DTE0011 - Decoy Content",T1591,"T1591 - Gather Victim Org Information","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0007,"By looking for anomalies in host resource consumption and alerting on suspect activity, the defender can detect the use of system resources at odd times or at odd levels.","DTE0007 - Behavioral Analytics",T1496,"T1496 - Resource Hijacking","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0004,"A defender can install an array of various software packages on a system to make it look used and populated. This will give an adversary a collection of software to interact with and possibly expose additional techniques.","DTE0004 - Application Diversity",T1518,"T1518 - Software Discovery","There is an opportunity to provide a variety of applications to an adversary to see what things an adversary prefers or to influence their operations."
DTE0034,"A defender can implement monitoring to alert if a user account is altered outside normal business hours, from remote locations, etc.","DTE0034 - System Activity Monitoring",T1531,"T1531 - Account Access Removal","There is an opportunity to create a detection with a moderately high probability of success."
DTE0012,"A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them.","DTE0012 - Decoy Credentials",T1538,"T1538 - Cloud Service Dashboard","In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use."
DTE0026,"A defender can block primary C2 domains and IPs to determine if the malware or adversary has the ability to reach out to additional infrastructure.","DTE0026 - Network Manipulation",T1568,"T1568 - Dynamic Resolution","An adversary may attempt to dynamically determine the C2 address to communicate with. This gives a defender an opportunity to discover additional infrastructure."
DTE0007,"A defender can look for known files in non-standard locations or files that are creating anomalous processes or connections.","DTE0007 - Behavioral Analytics",T1036,"T1036 - Masquerading","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0034,"By collecting system logs, a defender can implement detections that identify abnormal BITS usage.","DTE0034 - System Activity Monitoring",T1197,"T1197 - BITS Jobs","There is an opportunity to monitor logs on a system for common ways adversaries behave and detect on that activity."
DTE0004,"A defender can plant AV or monitoring tools which are easy for an adversary to remove. If an adversary removes these, they may be enticed to act more openly believing they have removed monitoring from the system.","DTE0004 - Application Diversity",T1562,"T1562 - Impair Defenses","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0021,"A defender could use information about an adversary's TTPs in order to monitor for new adversary infrastructure and files.","DTE0021 - Hunting",T1583,"T1583 - Acquire Infrastructure","There is an opportunity to gain visibility into newly created or previously unknown adversary infrastructure"
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1590,"T1590 - Gather Victim Network Information","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0015,"A defender can use a decoy persona to engage with online communities or to purchase/download information about their organization and review for exposure.","DTE0015 - Decoy Persona",T1596,"T1596 - Search Open Technical Databases","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0001,"A defender can remove admin access from the local user to prevent an adversary from being able to utilize WMI.","DTE0001 - Admin Access",T1047,"T1047 - Windows Management Instrumentation","In an adversary engagement scenario, there is an opportunity to allow or restrict admin access to support your defensive objectives."
DTE0036,"A defender can monitor operating system functions calls to look for adversary use and/or abuse.","DTE0036 - Software Manipulation",T1218,"T1218 - Signed Binary Proxy Execution","There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs."
DTE0033,"A defender can implement a standard operating procedure which restricts users from using 2FA or MFA more than once without another process being invoked.","DTE0033 - Standard Operating Procedure",T1111,"T1111 - Two-Factor Authentication Interception","There is an opportunity to detect an adversary's activity if they are unable to follow a company's documented standard operating procedures."
DTE0021,"A defender can use information about how an identified dynamic resolution works to hunt for previously undetected adversary resolutions that work in the same manner.","DTE0021 - Hunting",T1568,"T1568 - Dynamic Resolution","If you can determine how an adversary is dynamically resolving command and control (C2) addresses, there is an opportunity to use that information to identify additional adversary infrastructure or tools."
DTE0032,"A defender can disable Autorun to prevent malware from automatically executing when removeable media is plugged into a system.","DTE0032 - Security Controls",T1091,"T1091 - Replication Through Removable Media","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0030,"A defender can stage a variety of pocket litter files on an attached storage space. This data may include topics that align to a persona, topics an adversary is interested in, etc.","DTE0030 - Pocket Litter",T1530,"T1530 - Data from Cloud Storage Object","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0007,"A defender can look for anomalies in accounts being active with other services/systems during hours they are normally not active. This can indicate malicious activity.","DTE0007 - Behavioral Analytics",T1563,"T1563 - Remote Service Session Hijacking","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
