DOS,DOSDescription,DPR,DPRDescription,DTE,DTEDescription,DUC,DUCDescription
,,,,DTE0013,,DUC0191,"A defender can make a variety of decoy network shares available to an adversary and see if the adversary seems to be drawn to shares with specific names, permissions, etc."
DOS0028,"There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access.",,,DTE0003,"DTE0003 - API Monitoring",,
DOS0118,"There is an opportunity to test what an adversary might do if destroyed data is selectively replaced by the defender.",,,DTE0005,,,
,,,,DTE0011,,DUC0207,"A defender can use decoy content to give the false impression about the system when an adversary performs system information discovery."
,,,,DTE0018,,DUC0040,"A defender can execute adversary malware on a decoy system and examine its behaviors or potentially engage with the adversary to obtain further intelligence."
DOS0091,"Users trained and encouraged to report unsolicited application authorization requests can detect attacks that other defenses do not.",,,DTE0035,,,
,,,,DTE0007,,DUC0212,"A defender can detect the use of non-standard protocols. By implementing behavior analytics specific to a rise in protocol traffic to a system or set of systems, one might be able to detect malicious communications from an adversary."
,,,,DTE0013,,DUC0078,"A defender can add decoy systems to the network so an adversary can have a variety of network services available to them. The defender can observe which network services the adversary attempts to use."
DOS0146,"In an adversary engagement scenario, there is an opportunity to implement security controls to support your defensive objectives over a prolonged engagement.",,,DTE0032,,,
,,DPR0018,"Alter the output of an adversary's profiling commands to make newly-built systems look like the operating system was installed months earlier.",DTE0036,,,
DOS0028,"There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access.",,,DTE0034,,,
,,,,DTE0035,,DUC0018,"A program to train and exercise the anti-phishing skills of users can create ""Human Sensors"" that help detect phishing attacks."
,,,,DTE0005,,DUC0118,"A defender can ensure data is backed up on a regular basis and backups are stored offline from the system. If an adversary is detected destroying or altering data, the defender could selectively restore data from backup to see how the adversary reacts."
DOS0131,"There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors.",,,DTE0007,"DTE0007 - Behavioral Analytics",,
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0018,"DTE0018 - Detonate Malware",,
,,,,DTE0011,,DUC0103,"A defender can insert into a system's clipboard decoy content for the adversary to find."
,,,,DTE0012,,DUC0084,"A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them."
DOS0004,"There is an opportunity to introduce user accounts that are used to make a system look more realistic.",,,DTE0010,,,
,,,,DTE0026,,DUC0174,"A defender can prevent or enable use of alternate protocols for exfiltration by blocking/unblocking unnecessary ports and protocols."
,,,,DTE0007,,DUC0240,"Defenders can detect adversaries attempting to open a port by analyzing incoming network connections. By looking for anomalies in what network traffic comes in, as well as patterns that might indicate intentional sequences, one can potentially identify malicious traffic. One can also look at anomalies in services suddenly listening on ports that were not being used before."
,,DPR0021,"Create a user that has a valid email account. Use this account in such a way that the email address could be harvested by the adversary. This can be monitored to see if it is used in future attacks.",DTE0010,,,
,,,,DTE0011,,DUC0208,"A defender could seed decoy network shares within an adversary engagement network to see if an adversary uses them for payload delivery or lateral movement."
,,,,DTE0017,,DUC0200,"A defender could implement a decoy system to study how and when an adversary obfuscate files and hides information."
,,,,DTE0017,,DUC0078,"A defender can add decoy systems to the network so an adversary can have a variety of network services available to them. The defender can observe which network services the adversary attempts to use."
DOS0137,"There is an opportunity to implement security controls which will prevent an adversary from using Windows Management Instrumentation (WMI), in order to entice them to reveal new TTPs.",,,DTE0032,,,
,,,,DTE0036,,DUC0125,"A defender can modify the functionality of commands that are used to delete files or format drives so they fail when used in a specific manner."
DOS0005,"There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique.",,,DTE0012,"DTE0012 - Decoy Credentials",,
,,,,DTE0013,,DUC0002,"A defender could use a decoy or set of decoys with different network addresses, operating systems, web browsers, language settings, and etc. to determine if every system that visits a compromised website receives its malicious payload or only specific systems receive it."
,,DPR0030,"Create a persona that represents an employee's projects and job scope. This persona information can be leveraged in conjunction with Burn-In and Pocket Litter.",DTE0015,,,
DOS0019,"A phishing email can be detected and moved from the intended recipient to a decoy account for reading and execution.",,,DTE0023,,,
,,,,DTE0026,,DUC0153,"A defender can identify and block specific adversary Command and Control (C2) traffic to see how an adversary responds, possibly exposing additional C2 information."
,,,,DTE0032,,DUC0066,"In an adversary engagement scenario, a defender can implement weak security controls that an adversary could subvert in order to further their attack."
DOS0029,"There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs.",,,DTE0036,,,
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0035,"A defender can install one or more applications on a decoy system with a variety of patch levels to see how an adversary might exploit those applications."
DOS0003,"There is an opportunity to use a compromised drive-by site to start long term engagement with the adversary and observe the adversary's post-exploit TTPs.",,,DTE0014,"DTE0014 - Decoy Network",,
DOS0124,"There is an opportunity to disrupt an adversary's defacement activity by quickly restoring altered content.",,,DTE0005,,,
DOS0082,"There is an opportunity to introduce data to an adversary to influence their future behaviors.",,,DTE0015,,,
,,,,DTE0015,,DUC0259,"A defender can use a decoy persona to engage with online communities or to purchase/download information about their organization and review for exposure."
,,,,DTE0001,"DTE0001 - Admin Access",DUC0025,"A defender can enable Admin Access on a system to see if the adversary utilizes that access to create scheduled tasks to launch their malware or tools."
DOS0084,"In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use.",,,DTE0012,,,
DOS0169,"There is an opportunity to deploy virtual decoy systems and see if an adversary discovers or reacts to the virtualization.",,,DTE0017,,,
,,,,DTE0034,,DUC0043,"A defender can implement monitoring to alert if a user account is altered outside normal business hours, from remote locations, etc."
,,DPR0005,"Trace activity through WinSock TCP API functions to view potentially malicious network events. Log it such that it can be pushed to a centralized location and analyzed further.",DTE0003,"DTE0003 - API Monitoring",,
,,,,DTE0015,,DUC0019,"A defender can seed information about the decoy persona's personal accounts on systems to see if the adversary collects and uses that information in future activity."
,,DPR0037,"Remove the microphone from a laptop to prevent an adversary from capturing audio from the device.",DTE0020,,,
DOS0081,"There is an opportunity to entice the adversary to expose additional TTPs.",,,DTE0025,,,
,,,,DTE0030,,DUC0098,"A defender can stage a variety of pocket litter files on an attached storage space. This data may include topics that align to a persona, topics an adversary is interested in, etc."
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0010,"DTE0010 - Decoy Account",,
DOS0082,"There is an opportunity to introduce data to an adversary to influence their future behaviors.",,,DTE0011,,,
,,,,DTE0014,,DUC0020,"A defender can install any suspect hardware or software on an isolated system or network and monitor for non-standard behaviors."
DOS0016,"There is an opportunity to use security controls to stop or allow an adversary's activity.",,,DTE0032,,,
,,,,DTE0008,,DUC0006,"A defender can prepare a Decoy System by logging in to the Decoy Account and using it in ways consistent with the deception story, creating artifacts in the system that make it look legitimate."
,,DPR0043,"Deploy a mix of network devices (systems, servers, printers, phones, etc.) to make a decoy network look realistic.",DTE0025,,,
,,,,DTE0034,,DUC0052,"A defender can collect system process information and look for abnormal activity tied to Office processes."
,,,,DTE0034,,DUC0120,"A defender can use process monitoring to look for the execution of utilities commonly used for data destruction, such as SDelete."
,,,,DTE0008,,DUC0112,"A defender can perform web browsing tasks on a decoy system over time to give the adversary a robust set of browser data that looks realistic and could potentially be used during adversary engagement."
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0001,"DTE0001 - Admin Access",,
,,DPR0050,"Introduce external devices (e.g. a USB drive) to a machine in an adversary engagement scenario to see how quickly an adversary gains awareness to its presence and if they attempt to leverage the device.",DTE0029,,,
,,,,DTE0032,,DUC0049,"A defender can choose to harden or weaken security controls on a system to affect an adversaries ability to modify or create system processes."
,,,,DTE0007,,DUC0131,"The defender can use behavioral analytics detect an XSL process doing something abnormal."
DOS0199,"In an adversary engagement scenario, there is an opportunity to introduce decoy systems that can influence an adversary's behavior or allow you to observe how they perform a specific task.",,,DTE0017,,,
,,,,DTE0013,,DUC0008,"A defender can use a diverse set of decoy systems to study an adversary and determine which types of public-facing applications they choose to exploit."
,,,,DTE0022,,DUC0160,"A defender can isolate unknown processes that are being used for command and control and prevent them from being able to access the internet."
,,DPR0028,"Use a segregated network to visit a compromised site. If the machine becomes infected, allow the machine to remain on with internet access to see if an adversary engages and takes action on the system.",DTE0014,,,
,,,,DTE0031,,DUC0248,"Defenders can reverse engineer malware and develop protocol decoders that can decrypt and expose adversary communications"
,,,,DTE0007,,DUC0221,"A defender can look for anomalies in how commands are being executed on a system. This can expose potentially malicious activity."
,,DPR0014,"Use behavioral analytics to identify a system running development tools, but is not used by someone who does development.",DTE0007,,,
,,DPR0027,"Create an isolated network populated with decoy systems that can be used to study an adversary's tactics, techniques, and procedures (TTPs).",DTE0014,,,
DOS0253,"There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions.",,,DTE0017,,,
DOS0024,"There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.",,,DTE0023,,,
,,DPR0001,,DTE0001,"DTE0001 - Admin Access",,
,,,,DTE0030,,DUC0226,"A defender can seed content interesting files to an adversary, but lock the permissions down. The goal would be to force the adversary to expose their TTPs for circumventing the restrictions."
DOS0015,"There is an opportunity to use tools and controls to stop an adversary's activity.",,,DTE0031,"DTE0031 - Protocol Decoder",,
,,,,DTE0036,,DUC0038,"A defender can manipulate the output of commands commonly used to enumerate a system's network connections. They could seed this output with decoy systems and/or networks or remove legitimate systems from the output in order to direct an adversary away from legitimate systems."
,,,,DTE0026,,DUC0175,"A defender can restrict network traffic making adversary exfiltration slow or unreliable."
DOS0170,"There is an opportunity to collect network data and analyze the adversary activity it contains.",,,DTE0028,,,
,,,,DTE0032,,DUC0140,"A defender could use host-based tool to detect common persistence mechanisms and prevent the process from executing successfully."
,,DPR0002,,DTE0001,"DTE0001 - Admin Access",,
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0056,"A defender can install decoy services that have extensible capabilities."
DOS0017,"A phishing email can be detected and blocked from arriving at the intended recipient.",,,DTE0019,"DTE0019 - Email Manipulation",,
DOS0123,"There is an opportunity to detect an adversary who modifies website content (internally or externally) by monitoring for unauthorized changes to websites.",,,DTE0034,,,
,,DPR0011,"Maintain a verified baseline firewall configuration and use that copy as a fallback if an adversary alters that information.",DTE0006,,,
,,,,DTE0013,,DUC0188,"A defender can make a variety of decoy accounts and see if the adversary seems to be drawn to accounts of a specific type, with specific permissions, group access, etc."
DOS0005,"There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique.",,,DTE0017,,,
,,,,DTE0032,,DUC0012,"A defender can disable Autorun to prevent malware from automatically executing when removeable media is plugged into a system."
DOS0018,"Users trained and encouraged to report phishing can detect attacks that other defenses do not.",,,DTE0035,"DTE0035 - User Training",,
,,DPR0056,"Implement policies on a system to prevent the insecure storage of passwords in the registry. This may force an adversary to revert these changes or find another way to access cached credentials.",DTE0032,,,
DOS0253,"There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions.",,,DTE0010,,,
,,,,DTE0034,,DUC0039,"A defender can use process monitoring to look for command execution and command line parameters commonly used to inhibit system recovery."
,,,,DTE0010,,DUC0044,"A defender can use decoy accounts and monitor them for any activity that might reveal adversary manipulation."
DOS0251,"There is an opportunity to introduce services in a decoy network to determine if an adversary notices and tries to learn more about them.",,,DTE0016,,,
DOS0029,"There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs.",,,DTE0032,,,
,,,,DTE0007,,DUC0149,"A defender could use implement behavioral analytics that detects common access token manipulation techniques and allow or deny these actions."
,,,,DTE0007,,DUC0168,"A defender can monitor user interactions with images and containers to identify ones that are added or altered anomalously."
DOS0191,"There is an opportunity to supply a variety of different decoy network shares to an adversary to see what they are drawn to look at and use.",,,DTE0013,,,
,,,,DTE0017,,DUC0255,"A defender can deploy a diverse set of decoy systems to impact an adversary's level of effort during recon activity."
,,,,DTE0007,,DUC0166,"A defender could monitor for anomalous behavior from client applications, such as atypical module loads, file reads/writes, or network connections."
DOS0076,"In an adversary engagement situation, there is an opportunity to add legitimacy by ensuring decoy systems are fully populated with information an adversary would expect to see during this recon process.",,,DTE0011,,,
,,,,DTE0029,,DUC0205,"A defender could use decoy peripherals, such as external Wi-Fi adapters, USB devices, etc. to determine if adversaries attempt to use them for exfiltration purposes."
DOS0021,"When authorized behavior is defined and limited for trusted partners, adversaries exploiting trust relationships are easier to detect.",,,DTE0034,,,
DOS0180,"There is an opportunity to provide a variety of applications to an adversary so they see a full set of information when performing discovery tasks.",,,DTE0004,"DTE0004 - Application Diversity",,
,,,,DTE0006,,DUC0069,"A defender can enable Registry Auditing on specific keys to produce an alerts whenever a value is changed and revert those keys to baseline."
,,,,DTE0011,,DUC0105,"A defender can introduce decoy audio content designed to make the adversary believe that their audio capture efforts are working."
,,,,DTE0025,,DUC0087,"A defender can setup networks that use Kerberos authentication and systems that authenticate using it. This gives you a chance to see if an adversary has the capacity to steal or forge Kerberos tickets for lateral movement."
,,,,DTE0025,,DUC0081,"The defender can add unique endpoints, servers, routers, and other devices to give the adversary a broader attack surface. This can cause the adversary to expose additional capabilities."
,,,,DTE0027,,DUC0089,"A defender can monitor network traffic for anomalies associated with known MiTM behavior."
,,,,DTE0034,,DUC0141,"By collecting system logs, a defender can implement detections that identify abnormal BITS usage."
,,DPR0017,"Configure a system to generate internet browser traffic for a decoy user profile, creating artifacts such as cookies, history, temp files, etc.",DTE0008,,,
DOS0190,"In an adversary engagement scenario, there is an opportunity to introduce decoy content to entice additional engagement activity.",,,DTE0011,,,
DOS0020,"Hardware and/or software additions can be tested and verified in controlled environments prior to deployment.",,,DTE0014,,,
,,,,DTE0019,,DUC0015,"A defender can intercept emails that are detected as suspicious or malicious by email detection tools and prevent deliver to the intended target."
,,DPR0047,"Capture network logs for internet-facing devices and send those logs to a central collection location.",DTE0027,,,
,,,,DTE0030,,DUC0104,"A defender can stage a variety of pocket litter files to see if the adversary collect any of those files in an automated manner."
,,DPR0020,"Create a user account with a specified job function. Populate the user account's groups, description, logon hours, etc., with decoy data that looks normal in the environment.",DTE0010,,,
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0017,"DTE0017 - Decoy System",,
,,,,DTE0032,,DUC0197,"In an adversary engagement scenario, a defender could ensure security controls allow untrusted code to execute on a system."
,,,,DTE0034,,DUC0070,"A defender can monitor processes and command-line arguments which could be used by an adversary to change or delete information in the Windows registry."
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0059,"A defender can plant AV or monitoring tools which are easy for an adversary to remove. If an adversary removes these, they may be enticed to act more openly believing they have removed monitoring from the system."
DOS0009,"There is an opportunity to determine if an adversary already has valid account credentials for your network and if they are trying to use them access your network via remote services.",,,DTE0017,,,
DOS0099,"In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary.",,,DTE0030,,,
,,,,DTE0017,,DUC0001,"A defender can use a decoy system to access a compromised website to see how it works (study the exploit sequence, collect relevant artifacts, etc.)."
,,,,DTE0032,,DUC0092,"A defender can harden authentication mechanisms to ensure having just a session cookie is not enough to authenticate with another system."
DOS0147,"In an adversary engagement scenario, there is an opportunity to allow or restrict admin access to support your defensive objectives.",,,DTE0001,"DTE0001 - Admin Access",,
,,DPR0055,"Weaken security controls on a system to allow for leaking of credentials via network connection poisoning.",DTE0032,,,
,,,,DTE0036,,DUC0148,"A defender could feed or redirect requests for credentials with false data that can be used to direct an adversary into a decoy network or system."
,,,,DTE0020,,DUC0106,"A defender can physically remove or disable a system's microphone and web camera so that audio capture is not possible."
DOS0023,"There is an opportunity to gauge an adversary's interest in connected peripheral devices.",,,DTE0029,"DTE0029 - Peripheral Management",,
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0032,"DTE0032 - Security Controls",,
,,,,DTE0003,"DTE0003 - API Monitoring",DUC0032,"A defender can monitor operating system functions calls to look for adversary use and/or abuse."
DOS0210,"There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment.",,,DTE0011,,,
DOS0106,"There is an opportunity to alter the system to prevent an adversary from capturing audio content.",,,DTE0020,"DTE0020 - Hardware Manipulation",,
DOS0174,"There is an opportunity to disrupt or enable and adversary's exfiltration activities by blocking/unblocking the traffic to their Command and Control (C2) location.",,,DTE0026,,,
,,,,DTE0027,,DUC0198,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary."
,,,,DTE0036,,DUC0206,"A defender could manipulate a system's software to alter the results of an adversary enumerating permission group information."
,,,,DTE0011,,DUC0102,"A defender can plant decoy emails containing deceptive content and breadcrumbs to lure the attacker toward deception systems."
,,,,DTE0032,,DUC0146,"A defender could implement security controls to force an adversary to modify the authentication process if they want to collect or utilize credentials on a system."
,,,,DTE0007,,DUC0136,"A defender could develop behavioral analytics to detect the examination of commonly used guardrails such as inspection of VM artifacts, enumeration of connected storage and/or devices, domain information, etc."
DOS0234,"There is an opportunity to seed decoy content to make non-virtual systems look like virtual systems to see how an adversary reacts.",,,DTE0011,,,
,,,,DTE0023,,DUC0016,"A defender can move suspicious emails to a decoy system prior to opening and examining the email."
,,,,DTE0036,,DUC0057,"A defender can manipulate commands on systems so an adversary is unable delete data in ways they normally would."
,,,,DTE0036,,DUC0079,"By changing the output of network sniffing utilities normally found on a system, you can prevent adversaries from seeing particular content or making use of the results at all."
,,DPR0033,"Setup a server which appears to be something that is commonly expected within a network, such as web server.",DTE0017,,,
,,,,DTE0012,,DUC0005,"A defender can seed systems with decoy credentials in a variety of locations and establish alerting that will trigger if an adversary harvests the credentials and attempts to use them."
,,DPR0039,"Pivot on Command and Control information to identify other infrastructure used by the same adversary.",DTE0021,,,
,,,,DTE0036,,DUC0032,"A defender can monitor operating system functions calls to look for adversary use and/or abuse."
DOS0027,"There is an opportunity to create a detection with a moderately high probability of success.",,,DTE0003,"DTE0003 - API Monitoring",,
,,DPR0010,"Backup data on an end-user system and store offline. If an adversary alters or deletes data on the system, restore the data using the backup copy.",DTE0005,,,
DOS0253,"There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions.",,,DTE0015,,,
,,,,DTE0029,,DUC0024,"A defender can plug in a USB drive and see how quickly the adversary notices and inspects it."
,,,,DTE0034,,DUC0121,"A defender can use process monitoring to look for the execution of utilities commonly used for ransomware and other data encryption."
