Role,RoleDescription,ID
Azure Arc Kubernetes Cluster Admin,Lets you manage all resources in the cluster.,8393591c-06b9-48a2-a542-1bd6b377f6a2
Azure Arc Kubernetes Viewer,"Lets you view all resources in cluster/namespace, except secrets.",63f0a09d-1495-4db4-a681-037d84835eb4
Azure Arc Kubernetes Writer,"Lets you update everything in cluster/namespace, except (cluster)roles and (cluster)role bindings.",5b999177-9696-4545-85c7-50de3797e5a1
Azure Connected Machine Onboarding,Can onboard Azure Connected Machines.,b64e21ea-ac4e-4cdf-9dc9-5b892992bee7
Azure Connected Machine Resource Administrator,"Can read, write, delete and re-onboard Azure Connected Machines.",cd570a14-e51a-42ad-bac8-bafd67325302
Billing Reader,Allows read access to billing data,fa23ad8b-c56e-40d8-ac0c-ce449e1d2c64
Blueprint Contributor,"Can manage blueprint definitions, but not assign them.",41077137-e803-4205-871c-5a86e6a753b4
Blueprint Operator,"Can assign existing published blueprints, but cannot create new blueprints. Note that this only works if the assignment is done with a user-assigned managed identity.",437d2ced-4a38-4302-8479-ed2bcb43d090
Cost Management Contributor,"Can view costs and manage cost configuration (e.g. budgets, exports)",434105ed-43f6-45c7-a02f-909b2ba83430
Cost Management Reader,"Can view cost data and configuration (e.g. budgets, exports)",72fafb9e-0641-4937-9268-a91bfd8191a3
Hierarchy Settings Administrator,Allows users to edit and delete Hierarchy Settings,350f8d15-c687-4448-8ae1-157740a3936d
Kubernetes Cluster - Azure Arc Onboarding,Role definition to authorize any user/service to create connectedClusters resource,34e09817-6cbe-4d01-b1a2-e0eac5743d41
Kubernetes Extension Contributor,"Can create, update, get, list and delete Kubernetes Extensions, and get extension async operations",85cb6faf-e071-4c9b-8136-154b5a04f717
Managed Application Contributor Role,Allows for creating managed application resources.,641177b8-a67a-45b9-a033-47bc880bb21e
Managed Application Operator Role,Lets you read and perform actions on Managed Application resources,c7393b34-138c-406f-901b-d8cf2b17e6ae
Managed Applications Reader,Lets you read resources in a managed app and request JIT access.,b9331d33-8a36-4f8c-b097-4f54124fdb44
Managed Services Registration assignment Delete Role,Managed Services Registration Assignment Delete Role allows the managing tenant users to delete the registration assignment assigned to their tenant.,91c1777a-f3dc-4fae-b103-61d183457e46
Management Group Contributor,Management Group Contributor Role,5d58bcaf-24a5-4b20-bdb6-eed9f69fbe4c
Management Group Reader,Management Group Reader Role,ac63b705-f282-497d-ac71-919bf39d939d
New Relic APM Account Contributor,"Lets you manage New Relic Application Performance Management accounts and applications, but not access to them.",5d28c62d-5b37-4476-8438-e587778df237
Policy Insights Data Writer (Preview),Allows read access to resource policies and write access to resource component policy events.,66bb4e9e-b016-4a94-8249-4c0511c2be84
Quota Request Operator,"Read and create quota requests, get quota request status, and create support tickets.",0e5f05e5-9ab9-446b-b98d-1e2157c94125
Reservation Purchaser,Lets you purchase reservations,f7b75c60-3036-4b75-91c3-6b41c27c1689
Resource Policy Contributor,"Users with rights to create/modify resource policy, create support ticket and read resources/hierarchy.",36243c78-bf99-498c-9df9-86d9f8d28608
Site Recovery Contributor,Lets you manage Site Recovery service except vault creation and role assignment,6670b86e-a3f7-4917-ac9b-5d6ab1be4567
Site Recovery Operator,Lets you failover and failback but not perform other Site Recovery management operations,494ae006-db33-4328-bf46-533a6560a3ca
Site Recovery Reader,Lets you view Site Recovery status but not perform other management operations,dbaa88c4-0c30-4179-9fb3-46319faa6149
Support Request Contributor,Lets you create and manage Support requests,cfd33db0-3dd1-45e3-aa9d-cdbdf3b6f24e
Tag Contributor,"Lets you manage tags on entities, without providing access to the entities themselves.",4a9ae827-6dc8-4573-8ac7-8239d42aa03f
Desktop Virtualization Application Group Contributor,Contributor of the Desktop Virtualization Application Group.,86240b0e-9422-4c43-887b-b61143f32ba8
Desktop Virtualization Application Group Reader,Reader of the Desktop Virtualization Application Group.,aebf23d0-b568-4e86-b8f9-fe83a2c6ab55
Desktop Virtualization Contributor,Contributor of Desktop Virtualization.,082f0a83-3be5-4ba1-904c-961cca79b387
Desktop Virtualization Host Pool Contributor,Contributor of the Desktop Virtualization Host Pool.,e307426c-f9b6-4e81-87de-d99efb3c32bc
Desktop Virtualization Host Pool Reader,Reader of the Desktop Virtualization Host Pool.,ceadfde2-b300-400a-ab7b-6143895aa822
Desktop Virtualization Reader,Reader of Desktop Virtualization.,49a72310-ab8d-41df-bbb0-79b649203868
Desktop Virtualization Session Host Operator,Operator of the Desktop Virtualization Session Host.,2ad6aaab-ead9-4eaa-8ac5-da422f562408
Desktop Virtualization User,Allows user to use the applications in an application group.,1d18fff3-a72a-46b5-b4a9-0b38a3cd7e63
Desktop Virtualization User Session Operator,Operator of the Desktop Virtualization User Session.,ea4bfff8-7fb4-485a-aadd-d4129a0ffaa6
Desktop Virtualization Workspace Contributor,Contributor of the Desktop Virtualization Workspace.,21efdde3-836f-432b-bf3d-3e8e734d4b2b
Desktop Virtualization Workspace Reader,Reader of the Desktop Virtualization Workspace.,0fa44ee9-7a7d-466b-9bb2-2bf446b1204d
Azure Digital Twins Data Owner,Full access role for Digital Twins data-plane,bcd981a7-7f74-457b-83e1-cceb9e632ffe
Azure Digital Twins Data Reader,Read-only role for Digital Twins data-plane properties,d57506d4-4c8d-48b1-8587-93c323f6a5a3
BizTalk Contributor,"Lets you manage BizTalk services, but not access to them.",5e3c6656-6cfa-4708-81fe-0de47ac73342
Scheduler Job Collections Contributor,"Lets you manage Scheduler job collections, but not access to them.",188a0f2f-5c9e-469b-ae67-2aa5ce574b94
Services Hub Operator,"Services Hub Operator allows you to perform all read, write, and deletion operations related to Services Hub Connectors.",82200a5b-e217-47a5-b665-6d8765ee745b
