"table_name","description","category","category_primary","category_source","category_candidates","support_tier","collection_method","collection_method_source","collection_method_candidates","feeding_connector_ids","source_vendor","source_product","collector_vendor","collector_product","source_vendor_basis","collector_vendor_basis","resource_types","source_azure_monitor","source_defender_xdr","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","is_clv1"
"CensysCertificateAlert_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysCertificate_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysHostAlert_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysHost_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysRelatedInfrastructure_CL","","Internal","Internal","internal_table","Internal,3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysRescanHostAlert_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysRescanHost_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysRescanWebPropertyAlert_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysRescanWebProperty_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysWebPropertyAlert_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CensysWebProperty_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Certificate_IOC_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Host_History_Data_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Host_IOC_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Host_Services_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Web_Property_Endpoint_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Web_Property_IOC_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Web_Property_Threat_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"Censys_Web_Property_Vuln_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"ChaosStudioExperimentEventLogs","Reference for ChaosStudioExperimentEventLogs table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.chaos/experiments","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/chaosstudioexperimenteventlogs","","Yes","Yes","No",""
"CiscoDuo_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","CiscoDuoSecurity","Cisco","Duo Security","","","projected","","","No","No","","","","No","Yes","true"
"CiscoETD_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","CiscoETD","Cisco","ETD","","","projected","","","No","No","","","","No","Yes","true"
"CiscoETDv2_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF","3rd Party (SaaS)","Partner","CCF","connector","CCF","CiscoETDConnectorDefinition","Cisco","Email Threat Defense","","","projected","","","","","","","","","Yes",""
"CiscoMerakiNativePoller_CL","","","3rd Party (SaaS)","collection_method=Custom","3rd Party (SaaS),Cloud","Microsoft","Custom","cl_table_fallback","AMA,CCF","CiscoMeraki,CiscoMerakiNativePoller","Cisco","Meraki","","","projected","","","","","","","","","Yes",""
"CiscoSDWANNetflow_CL","","","Syslog/CEF","collection_method=AMA","Syslog/CEF,3rd Party (SaaS)","Partner","AMA","connector","AMA","CiscoSDWAN","Cisco","Software Defined WAN","","","projected","","","No","No","","","","No","Yes","true"
"CiscoSecureEndpointAuditLogsV2_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector","CCF","CiscoSecureEndpointLogsCCPDefinition","Cisco","Secure Endpoint","","","projected","","","No","No","","","","Yes","Yes",""
"CiscoSecureEndpointEventsV2_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector","CCF","CiscoSecureEndpointLogsCCPDefinition","Cisco","Secure Endpoint","","","projected","","","No","No","","","","Yes","Yes",""
"CiscoSecureEndpoint_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoSecureEndpoint","Cisco","Secure Endpoint","","","projected","","","","","","","","","Yes","true"
"CiscoUmbrellaAdminAudit_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","No","No","","","","Yes","Yes",""
"CiscoUmbrellaCloudFirewall_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaDLP_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaDNS_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaFileEvent_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaIPS_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaRemoteAccessVPN_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaWebTraffic_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaZeroTrustAccessFlow_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"CiscoUmbrellaZeroTrustAccess_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector_precedence({azure function,ccf}->CCF)","Azure Function,CCF","CiscoUmbrellaConnector,CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security;Umbrella","","","projected","","","","","","","","","Yes",""
"Cisco_Umbrella_audit_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"Cisco_Umbrella_cloudfirewall_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","Yes","Yes","true"
"Cisco_Umbrella_dlp_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"Cisco_Umbrella_dns_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","Yes","Yes","true"
"Cisco_Umbrella_fileevent_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"Cisco_Umbrella_firewall_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","Yes","Yes","true"
"Cisco_Umbrella_intrusion_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"Cisco_Umbrella_ip_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","Yes","Yes","true"
"Cisco_Umbrella_proxy_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","Yes","Yes","true"
"Cisco_Umbrella_ravpnlogs_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"Cisco_Umbrella_ztaflow_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"Cisco_Umbrella_ztna_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","CiscoUmbrellaDataConnector,CiscoUmbrellaDataConnectorelasticpremium","Cisco","Cloud Security","","","projected","","","No","No","","","","No","Yes","true"
"CitrixAnalytics_CVAD_Events_V1_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","CitrixAnalyticsDefinition","Citrix","Analytics","","","projected","","","","","","","","","Yes",""
"CitrixAnalytics_SPA_Events_V1_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","CitrixAnalyticsDefinition","Citrix","Analytics","","","projected","","","","","","","","","Yes",""
"CitrixAnalytics_indicatorEventDetails_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","Partner","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CitrixAnalytics_indicatorEventDetails_V1_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","CitrixAnalyticsDefinition","Citrix","Analytics","","","projected","","","","","","","","","Yes",""
"CitrixAnalytics_indicatorSummary_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","Partner","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CitrixAnalytics_indicatorSummary_V1_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","CitrixAnalyticsDefinition","Citrix","Analytics","","","projected","","","","","","","","","Yes",""
"CitrixAnalytics_riskScoreChange_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","Partner","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CitrixAnalytics_riskScoreChange_V1_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","CitrixAnalyticsDefinition","Citrix","Analytics","","","projected","","","","","","","","","Yes",""
"CitrixAnalytics_userProfile_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","Partner","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CitrixAnalytics_userProfile_V1_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","CitrixAnalyticsDefinition","Citrix","Analytics","","","projected","","","","","","","","","Yes",""
"CloudAppEvents","Reference for CloudAppEvents table in Azure Monitor Logs.","Security","Cloud","collection_method=Native","Cloud","Microsoft","Native","connector","Native","MicrosoftThreatProtection","Microsoft","Defender XDR","","","projected","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/cloudappevents","","Yes","Yes","No",""
"CloudAuditEvents","Reference for CloudAuditEvents table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/cloudauditevents","","Yes","","No",""
"CloudDnsEvents","Reference for CloudDnsEvents table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/clouddnsevents","","Yes","","No",""
"CloudGuard_SecurityEvents_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF","3rd Party (SaaS)","Partner","CCF","connector","CCF","CloudGuardCCPDefinition","Check Point","CloudGuard CNAPP Connector for Microsoft Sentinel","","","projected","","","No","No","","","","Yes","Yes",""
"CloudHsmServiceOperationAuditLogs","Reference for CloudHsmServiceOperationAuditLogs table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.hardwaresecuritymodules/cloudhsmclusters","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/cloudhsmserviceoperationauditlogs","","Yes","Yes","No",""
"CloudProcessEvents","Reference for CloudProcessEvents table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/cloudprocessevents","","Yes","","No",""
"CloudStorageAggregatedEvents","Reference for CloudStorageAggregatedEvents table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/cloudstorageaggregatedevents","","Yes","","No",""
"Cloud_Integrated_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","MimecastCIAPI","Mimecast","Cloud Integrated","","","projected","","","No","No","","","","Yes","Yes",""
"CloudflareV2_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF","3rd Party (SaaS)","Partner","CCF","connector","CCF","CloudflareDefinition","Cloudflare","","","","projected","","","No","No","","","","Yes","Yes",""
"Cloudflare_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","CloudflareDataConnector","Cloudflare","","","","projected","","","No","No","","","","Yes","Yes","true"
"Cofense_Triage_failed_indicators_CL","","","3rd Party (SaaS)","cl_solution_partner","3rd Party (SaaS)","Partner","Azure Function (TI Upload API)","connector","Azure Function (TI Upload API)","CofenseTriage","Cofense","Triage Threat Indicators Ingestion","","","projected","","","","","","","","","Yes","true"
"CognniIncidents_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","Partner","Custom","cl_table_fallback","","","","","","","","","","No","No","","","","Yes","Yes","true"
"Cohesity_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","CohesityDataConnector","Cohesity","","","","projected","","","No","No","","","","Yes","Yes",""
"CommonSecurityLog","Reference for CommonSecurityLog table in Azure Monitor Logs.","Syslog/CEF","Syslog/CEF","category=Syslog/CEF","Syslog/CEF,Cloud","Various","AMA","tables_reference","AMA,Azure Function,CCF Push,Native","AIVectraDetect,AIVectraDetectAma,AkamaiSecurityEvents,AkamaiSecurityEventsAma,AristaAwakeSecurity,ArubaClearPass,ArubaClearPassAma,Barracuda,BroadcomSymantecDLP,BroadcomSymantecDLPAma,CEF,CefAma,CiscoASA,CiscoAsaAma,CiscoFirepowerEStreamer,CiscoFirepowerEStreamerAma,CiscoSEG,CiscoSEGAma,CitrixWAF,CitrixWAFAma,Claroty,ClarotyAma,ClarotyxDome,CloudNSSAuditLogs_ccp,CloudNSSCASBActivityLogs_ccp,CloudNSSCASBCRMLogs_ccp,CloudNSSCASBCloudStorageLogs_ccp,CloudNSSCASBCollabLogs_ccp,CloudNSSCASBEmailLogs_ccp,CloudNSSCASBFileSharingLogs_ccp,CloudNSSCASBITSMLogs_ccp,CloudNSSCASBRepoLogs_ccp,CloudNSSDNSLogs_ccp,CloudNSSEmailDLPLogs_ccp,CloudNSSEndpointDLPLogs_ccp,CloudNSSFWLogs_ccp,CloudNSSTunnelLogs_ccp,CloudNSSWebLogs_ccp,ContrastProtect,ContrastProtectAma,CrowdStrikeFalconEndpointProtection,CrowdStrikeFalconEndpointProtectionAma,CyberArk,CyberArkAma,Darktrace,DarktraceAma,DelineaSecretServerAma,DelineaSecretServer_CEF,ExtraHopNetworks,ExtraHopNetworksAma,F5,F5Ama,FireEyeNX,FireEyeNXAma,ForcepointCSG,ForcepointCSGAma,ForcepointCasb,ForcepointCasbAma,ForcepointNgfw,ForcepointNgfwAma,ForgeRock,Fortinet,FortinetAma,FortinetFortiWeb,FortinetFortiWebAma,IllumioCore,IllumioCoreAma,ImpervaWAFGateway,InfobloxCloudDataConnector,InfobloxCloudDataConnectorAma,InfobloxSOCInsightsDataConnector_AMA,InfobloxSOCInsightsDataConnector_Legacy,IronNetIronDefense,Netwrix,NetwrixAma,NozomiNetworksN2OS,NozomiNetworksN2OSAma,OSSEC,OSSECAma,OnapsisPlatform,OneIdentity,PaloAltoCDL,PaloAltoCDLAma,PaloAltoNetworks,PaloAltoNetworksAma,PaloAltoNetworksCortex,PingFederate,PingFederateAma,RadiflowIsid,RidgeBotDataConnector,SilverfortAma,SonicWallFirewall,SonicWallFirewallAma,ThreatIntelligence,TrendMicro,TrendMicroApexOne,TrendMicroApexOneAma,TrendMicroTippingPoint,VirtualMetricDirectorProxy,VirtualMetricMSSentinelConnector,VirtualMetricMSSentinelDataLakeConnector,Votiro,WireX_Systems_NFP,WireX_Systems_NFPAma,WithSecureElementsViaConnector,iboss,ibossAma,illusiveAttackManagementSystem,illusiveAttackManagementSystemAma,vArmourAC,vArmourACAma","Akamai;Any;Arista Networks;Aruba Networks;Barracuda;Cisco;Citrix;Claroty;Contrast Security;CrowdStrike;CyberArk;Darktrace;Delinea;ExtraHop;F5;FireEye;Forcepoint;ForgeRock;Fortinet;Illumio;Imperva;Infoblox;IronNet;Microsoft;Netwrix;Nozomi Networks;OSSEC;Onapsis;One Identity;Palo Alto Networks;Ping Identity;Radiflow;RidgeSecurity;Silverfort;SonicWall;Symantec;Trend Micro;Vectra;VirtualMetric;Votiro;WireX Systems;WithSecure;Zscaler;iboss;illusive;vArmour","AC;ASA;ASA/FTD;Admin Console;Apex Central;Apex One;Auditor;Awake Security;CASB;ClearPass;Core;Cortex Data Lake;Cortex XDR;DLP;Data Connector;DataStream for Microsoft Sentinel;DataStream for Microsoft Sentinel data lake;Deep Security;Director Proxy;ESA_CONSOLIDATED_LOG_EVENT;Elements;Email;FalconHost;Firepower;Firewall;FortiWeb Web Application Firewall;Fortigate;Fortiweb;Identity Platform;IronDefense;IronDome;LF;N2OS;NGFW;NSSAuditlog;NSSCasbactivitylog;NSSCasbcloudstoragelog;NSSCasbcollablog;NSSCasbcrmlog;NSSCasbemaillog;NSSCasbfilesharinglog;NSSCasbitsmlog;NSSCasbrepolog;NSSDNSlog;NSSEmaildlplog;NSSEndpointdlplog;NSSFWlog;NSSTunnellog;NSSWeblog;NetScaler;Network Security;Networks;OSP;PAN-OS;Reveal;SPS;Secret Server;Secure Email Gateway;TippingPoint;Vault;Votiro cloud;WAF Gateway;Web;Web Application Firewall;WireX NFP;X Series;akamai_siem;iSID;illusive;xDome","","","projected","","microsoft.securityinsights/cef, microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines, microsoft.compute/virtualmachinescalesets","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/commonsecuritylog","","Yes","Yes","Yes",""
"CommunicationComplianceActivity","Reference for CommunicationComplianceActivity table in Azure Monitor Logs.","Audit, Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/communicationcomplianceactivity","","Yes","Yes","No",""
"Communication_Data_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes","true"
"CommvaultAlerts_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","CommvaultSecurityIQ_CL","Commvault","Security IQ","","","projected","","","No","No","","","","Yes","Yes",""
"ComputerGroup","Reference for ComputerGroup table in Azure Monitor Logs.","Azure Monitor, IT & Management Tools, Virtual Machines","Cloud","category=Azure Monitor;category=Virtual Machines","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/computergroup","","No","Yes","No",""
"ConfidentialWatchlist","Reference for ConfidentialWatchlist table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/confidentialwatchlist","","No","Yes","No",""
"ConfigurationChange","Reference for ConfigurationChange table in Azure Monitor Logs.","IT & Management Tools","Cloud","collection_method=Azure Diagnostics;resource_types","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines, microsoft.compute/virtualmachinescalesets","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/configurationchange","","No","Yes","No",""
"ConfigurationData","Reference for ConfigurationData table in Azure Monitor Logs.","IT & Management Tools","Cloud","collection_method=Azure Diagnostics;resource_types","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines, microsoft.compute/virtualmachinescalesets","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/configurationdata","","No","Yes","No",""
"ConfluenceAuditLogs_CL","","","3rd Party (SaaS)","collection_method=CCF","3rd Party (SaaS),Cloud","Microsoft","CCF","connector","CCF","AtlassianConfluenceConnector","Atlassian","Confluence Audit","","","projected","","","No","No","","","","Yes","Yes",""
"Confluence_Audit_CL","","","3rd Party (SaaS)","collection_method=Azure Function","3rd Party (SaaS),Cloud","Microsoft","Azure Function","connector","Azure Function","ConfluenceAuditAPI","Atlassian","Confluence Audit","","","projected","","","","","","","","","Yes",""
