"table_name","description","category","support_tier","collection_method","solutions","resource_types","table_type","source_azure_monitor","source_defender_xdr","xdr_only","source_feature_support","source_ingestion_api","source_sentinel_tables","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","lake_only_supported"
"AZMSArchiveLogs","Reference for AZMSArchiveLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmsarchivelogs","","Yes","Yes","No","Yes"
"AZMSAutoscaleLogs","Reference for AZMSAutoscaleLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmsautoscalelogs","","Yes","Yes","No","Yes"
"AZMSCustomerManagedKeyUserLogs","Reference for AZMSCustomerManagedKeyUserLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmscustomermanagedkeyuserlogs","","Yes","Yes","No","Yes"
"AZMSDiagnosticErrorLogs","Reference for AZMSDiagnosticErrorLogs table in Azure Monitor Logs.","Audit","","","LogManagement","microsoft.servicebus/namespaces, microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmsdiagnosticerrorlogs","","Yes","Yes","No","Yes"
"AZMSHybridConnectionsEvents","Reference for AZMSHybridConnectionsEvents table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.relay/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmshybridconnectionsevents","","Yes","Yes","No","Yes"
"AZMSKafkaCoordinatorLogs","Reference for AZMSKafkaCoordinatorLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmskafkacoordinatorlogs","","Yes","Yes","No","Yes"
"AZMSKafkaUserErrorLogs","Reference for AZMSKafkaUserErrorLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmskafkausererrorlogs","","Yes","Yes","No","Yes"
"AZMSOperationalLogs","Reference for AZMSOperationalLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.servicebus/namespaces, microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmsoperationallogs","","Yes","Yes","No","Yes"
"AZMSRunTimeAuditLogs","Reference for AZMSRunTimeAuditLogs table in Azure Monitor Logs.","Audit","","","LogManagement","microsoft.servicebus/namespaces, microsoft.eventhub/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmsruntimeauditlogs","","Yes","Yes","No","Yes"
"AZMSVnetConnectionEvents","Reference for AZMSVnetConnectionEvents table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventhub/namespaces, microsoft.servicebus/namespaces, microsoft.relay/namespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/azmsvnetconnectionevents","","Yes","Yes","No","Yes"
"AddonAzureBackupAlerts","Reference for AddonAzureBackupAlerts table in Azure Monitor Logs.","Azure Resources, IT & Management Tools","","","LogManagement","microsoft.recoveryservices/vaults","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/addonazurebackupalerts","","No","Yes","No","No"
"AddonAzureBackupJobs","Reference for AddonAzureBackupJobs table in Azure Monitor Logs.","Azure Resources, IT & Management Tools","","","LogManagement","microsoft.recoveryservices/vaults","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/addonazurebackupjobs","","No","Yes","No","No"
"AddonAzureBackupPolicy","Reference for AddonAzureBackupPolicy table in Azure Monitor Logs.","Azure Resources, IT & Management Tools","","","LogManagement","microsoft.recoveryservices/vaults","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/addonazurebackuppolicy","","No","Yes","No","No"
"AddonAzureBackupProtectedInstance","Reference for AddonAzureBackupProtectedInstance table in Azure Monitor Logs.","Azure Resources, IT & Management Tools","","","LogManagement","microsoft.recoveryservices/vaults","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/addonazurebackupprotectedinstance","","No","Yes","No","No"
"AddonAzureBackupStorage","Reference for AddonAzureBackupStorage table in Azure Monitor Logs.","Azure Resources, IT & Management Tools","","","LogManagement","microsoft.recoveryservices/vaults","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/addonazurebackupstorage","","No","Yes","No","No"
"AegDataPlaneRequests","Reference for AegDataPlaneRequests table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.eventgrid/topics, microsoft.eventgrid/domains, microsoft.eventgrid/partnernamespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aegdataplanerequests","","No","Yes","No","No"
"AegDeliveryFailureLogs","Reference for AegDeliveryFailureLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.eventgrid/topics, microsoft.eventgrid/domains, microsoft.eventgrid/partnertopics, microsoft.eventgrid/systemtopics","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aegdeliveryfailurelogs","","No","Yes","No","No"
"AegPublishFailureLogs","Reference for AegPublishFailureLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.eventgrid/topics, microsoft.eventgrid/domains, microsoft.eventgrid/partnernamespaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aegpublishfailurelogs","","No","Yes","No","No"
"AgariBPAlertsLog_CL","","","","","","","","No","No","No","No","No","Yes","","","","No","Yes","No"
"AgentsInfo","Information about AI agents and their properties from various platforms","Security, XDR","","","SecurityInsights","-","","Yes","Yes","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agentsinfo","https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-agentsinfo-table","Yes","Yes","No","Yes"
"AggregatedSecurityAlert","Reference for AggregatedSecurityAlert table in Azure Monitor Logs.","Security","","","SecurityInsights","microsoft.securityinsights/securityinsights","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aggregatedsecurityalert","","Yes","Yes","No","Yes"
"AgriFoodApplicationAuditLogs","Reference for AgriFoodApplicationAuditLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodapplicationauditlogs","","No","Yes","No","No"
"AgriFoodFarmManagementLogs","Reference for AgriFoodFarmManagementLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodfarmmanagementlogs","","No","Yes","No","No"
"AgriFoodFarmOperationLogs","Reference for AgriFoodFarmOperationLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodfarmoperationlogs","","No","Yes","No","No"
"AgriFoodInsightLogs","Reference for AgriFoodInsightLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodinsightlogs","","No","Yes","No","No"
"AgriFoodJobProcessedLogs","Reference for AgriFoodJobProcessedLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodjobprocessedlogs","","No","Yes","No","No"
"AgriFoodModelInferenceLogs","Reference for AgriFoodModelInferenceLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodmodelinferencelogs","","No","Yes","No","No"
"AgriFoodProviderAuthLogs","Reference for AgriFoodProviderAuthLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodproviderauthlogs","","No","Yes","No","No"
"AgriFoodSatelliteLogs","Reference for AgriFoodSatelliteLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodsatellitelogs","","No","Yes","No","No"
"AgriFoodSensorManagementLogs","Reference for AgriFoodSensorManagementLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodsensormanagementlogs","","No","Yes","No","No"
"AgriFoodWeatherLogs","Reference for AgriFoodWeatherLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.agfoodplatform/farmbeats","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/agrifoodweatherlogs","","No","Yes","No","No"
"AirflowDagProcessingLogs","Reference for AirflowDagProcessingLogs table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/airflowdagprocessinglogs","","No","Yes","No","No"
"AirlockDigitalExecutionHistories","","","","","","","","No","No","No","No","No","Yes","","","","No","No","No"
"Alert","Reference for Alert table in Azure Monitor Logs.","Azure Monitor","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/alert","","No","Yes","No","No"
"AlertEvidence","Files, IP addresses, URLs, users, or devices associated with alerts","Internal","Microsoft","","SecurityInsights","-","","Yes","Yes","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/alertevidence","https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-alertevidence-table","Yes","Yes","No","Yes"
"AlertHistory","Reference for AlertHistory table in Azure Monitor Logs.","Azure Monitor","","","AlertManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/alerthistory","","No","No","No","No"
"AlertInfo","Alerts from Microsoft Defender for Endpoint, Microsoft Defender for Office 365, Microsoft Defender for Cloud Apps, and Microsoft Defender for Identity, including severity information and threat categorization","Internal","Microsoft","","SecurityInsights","-","","Yes","Yes","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/alertinfo","https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-alertinfo-table","Yes","Yes","No","Yes"
"AliCloudActionTrailLogs_CL","","","","","","","","No","No","No","No","No","Yes","","","","Yes","Yes","Yes"
"AliCloud_CL","","","","","","","","No","No","No","No","No","Yes","","","","No","Yes","No"
"AlibabaCloudVPCFlowLogs","","","","","","","","No","No","No","No","No","Yes","","","","No","No","No"
"AmlComputeClusterEvent","Reference for AmlComputeClusterEvent table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlcomputeclusterevent","","No","Yes","No","Yes"
"AmlComputeClusterNodeEvent","Reference for AmlComputeClusterNodeEvent table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlcomputeclusternodeevent","","No","No","No","Yes"
"AmlComputeCpuGpuUtilization","Reference for AmlComputeCpuGpuUtilization table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlcomputecpugpuutilization","","No","Yes","No","No"
"AmlComputeInstanceEvent","Reference for AmlComputeInstanceEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlcomputeinstanceevent","","No","Yes","No","No"
"AmlComputeJobEvent","Reference for AmlComputeJobEvent table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlcomputejobevent","","No","Yes","No","Yes"
"AmlDataLabelEvent","Reference for AmlDataLabelEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amldatalabelevent","","No","Yes","No","No"
"AmlDataSetEvent","Reference for AmlDataSetEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amldatasetevent","","No","Yes","No","No"
"AmlDataStoreEvent","Reference for AmlDataStoreEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amldatastoreevent","","No","Yes","No","No"
"AmlDeploymentEvent","Reference for AmlDeploymentEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amldeploymentevent","","No","Yes","No","No"
"AmlEnvironmentEvent","Reference for AmlEnvironmentEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlenvironmentevent","","No","Yes","No","No"
"AmlInferencingEvent","Reference for AmlInferencingEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlinferencingevent","","No","Yes","No","No"
"AmlModelsEvent","Reference for AmlModelsEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlmodelsevent","","No","Yes","No","No"
"AmlOnlineEndpointConsoleLog","Reference for AmlOnlineEndpointConsoleLog table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlonlineendpointconsolelog","","No","Yes","No","No"
"AmlOnlineEndpointEventLog","Reference for AmlOnlineEndpointEventLog table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlonlineendpointeventlog","","No","Yes","No","No"
"AmlOnlineEndpointTrafficLog","Reference for AmlOnlineEndpointTrafficLog table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlonlineendpointtrafficlog","","No","Yes","No","No"
"AmlPipelineEvent","Reference for AmlPipelineEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlpipelineevent","","No","Yes","No","No"
"AmlRegistryReadEventsLog","Reference for AmlRegistryReadEventsLog table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/registries","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlregistryreadeventslog","","No","Yes","No","No"
"AmlRegistryWriteEventsLog","Reference for AmlRegistryWriteEventsLog table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/registries","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlregistrywriteeventslog","","No","Yes","No","No"
"AmlRunEvent","Reference for AmlRunEvent table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlrunevent","","No","Yes","No","No"
"AmlRunStatusChangedEvent","Reference for AmlRunStatusChangedEvent table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.machinelearningservices/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/amlrunstatuschangedevent","","No","Yes","No","No"
"Anomalies","Reference for Anomalies table in Azure Monitor Logs.","Internal","Microsoft","Internal","SecurityInsights","-","","Yes","No","No","Yes","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/anomalies","","Yes","Yes","Yes","Yes"
"Anvilogic_Alerts_CL","","","","","","","","No","No","No","No","No","Yes","","","","No","Yes","No"
"ApacheHTTPServer_CL","","","","","","","","No","No","No","No","No","Yes","","","","Yes","Yes","Yes"
"ApiManagementGatewayLlmLog","Reference for ApiManagementGatewayLlmLog table in Azure Monitor Logs.","-","","","LogManagement","microsoft.apimanagement/service","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/apimanagementgatewayllmlog","","Yes","Yes","No","Yes"
"ApiManagementGatewayLogs","Reference for ApiManagementGatewayLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.apimanagement/service","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/apimanagementgatewaylogs","","Yes","Yes","No","No"
"ApiManagementGatewayMCPLog","Reference for ApiManagementGatewayMCPLog table in Azure Monitor Logs.","-","","","LogManagement","microsoft.apimanagement/service","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/apimanagementgatewaymcplog","","Yes","No","No","Yes"
"ApiManagementWebSocketConnectionLogs","Reference for ApiManagementWebSocketConnectionLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.apimanagement/service","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/apimanagementwebsocketconnectionlogs","","Yes","No","No","No"
"AppAvailabilityResults","Reference for AppAvailabilityResults table in Azure Monitor Logs.","Applications","","","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appavailabilityresults","","No","Yes","No","No"
"AppBrowserTimings","Reference for AppBrowserTimings table in Azure Monitor Logs.","Applications","","","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appbrowsertimings","","No","Yes","No","No"
"AppCenterError","Reference for AppCenterError table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appcentererror","","No","Yes","No","No"
"AppDependencies","Reference for AppDependencies table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appdependencies","","No","Yes","No","No"
"AppEnvSessionConsoleLogs","Reference for AppEnvSessionConsoleLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.app/managedenvironments","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appenvsessionconsolelogs","","Yes","Yes","No","Yes"
"AppEnvSessionLifecycleLogs","Reference for AppEnvSessionLifecycleLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.app/managedenvironments","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appenvsessionlifecyclelogs","","Yes","Yes","No","Yes"
"AppEnvSessionPoolEventLogs","Reference for AppEnvSessionPoolEventLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.app/managedenvironments","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appenvsessionpooleventlogs","","Yes","Yes","No","Yes"
"AppEnvSpringAppConsoleLogs","Reference for AppEnvSpringAppConsoleLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.app/managedenvironments","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appenvspringappconsolelogs","","Yes","Yes","No","Yes"
"AppEvents","Reference for AppEvents table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appevents","","No","Yes","No","No"
"AppExceptions","Reference for AppExceptions table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appexceptions","","No","Yes","No","No"
"AppGenAIContent","Reference for AppGenAIContent table in Azure Monitor Logs.","Applications","","","LogManagement","microsoft.operationalinsights/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appgenaicontent","","Yes","No","No","No"
"AppMetrics","Reference for AppMetrics table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appmetrics","","No","Yes","No","No"
"AppPageViews","Reference for AppPageViews table in Azure Monitor Logs.","Applications","","","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/apppageviews","","No","Yes","No","No"
"AppPerformanceCounters","Reference for AppPerformanceCounters table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appperformancecounters","","No","Yes","No","No"
"AppPlatformBuildLogs","Reference for AppPlatformBuildLogs table in Azure Monitor Logs.","-","","","LogManagement","microsoft.appplatform/spring","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appplatformbuildlogs","","No","No","No","No"
"AppPlatformContainerEventLogs","Reference for AppPlatformContainerEventLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.appplatform/spring","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appplatformcontainereventlogs","","No","No","No","No"
"AppPlatformIngressLogs","Reference for AppPlatformIngressLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.appplatform/spring","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appplatformingresslogs","","No","Yes","No","No"
"AppPlatformLogsforSpring","Reference for AppPlatformLogsforSpring table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.appplatform/spring","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appplatformlogsforspring","","No","Yes","No","No"
"AppPlatformSystemLogs","Reference for AppPlatformSystemLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.appplatform/spring","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appplatformsystemlogs","","No","Yes","No","No"
"AppRequests","Reference for AppRequests table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.insights/components","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/apprequests","","No","Yes","No","No"
"AppServiceAntivirusScanAuditLogs","Reference for AppServiceAntivirusScanAuditLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appserviceantivirusscanauditlogs","","No","Yes","No","No"
"AppServiceAppLogs","Reference for AppServiceAppLogs table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appserviceapplogs","","No","Yes","No","No"
"AppServiceAuditLogs","Reference for AppServiceAuditLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appserviceauditlogs","","No","Yes","No","No"
"AppServiceAuthenticationLogs","Reference for AppServiceAuthenticationLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appserviceauthenticationlogs","","No","Yes","No","No"
"AppServiceConsoleLogs","Reference for AppServiceConsoleLogs table in Azure Monitor Logs.","Low value","Microsoft","Azure Diagnostics","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appserviceconsolelogs","","No","Yes","No","No"
"AppServiceEnvironmentPlatformLogs","Reference for AppServiceEnvironmentPlatformLogs table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appserviceenvironmentplatformlogs","","No","Yes","No","No"
"AppServiceFileAuditLogs","Reference for AppServiceFileAuditLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appservicefileauditlogs","","No","Yes","No","No"
"AppServiceHTTPLogs","Reference for AppServiceHTTPLogs table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.web/sites","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/appservicehttplogs","","No","Yes","No","No"
