"table_name","column_name","column_type","description"
"ASimDnsActivityLogs","DnsResponseIpCountry","string","The country associated with the response IP address."
"ASimDnsActivityLogs","DnsResponseIpLatitude","real","The Latitude of the geographical coordinate associated with the response IP address."
"ASimDnsActivityLogs","DnsResponseIpLongitude","real","The longitude of the geographical coordinate associated with the response IP address."
"ASimDnsActivityLogs","DnsResponseIpRegion","string","The region, or state, within a country, associated with the source IP address."
"ASimDnsActivityLogs","DnsResponseName","string","The content of the response, as included in the record. The structure of the DNS response data may vary between different reporting devices."
"ASimDnsActivityLogs","DnsSessionId","string","The DNS session identifier as reported by the reporting device."
"ASimDnsActivityLogs","Dst","string","A unique identifier of the server that received the DNS request."
"ASimDnsActivityLogs","DstDescription","string","A descriptive text associated with the destination."
"ASimDnsActivityLogs","DstDeviceType","string","The type of the destination device."
"ASimDnsActivityLogs","DstDomain","string","The domain of the destination device."
"ASimDnsActivityLogs","DstDomainType","string","The type of DstDomain."
"ASimDnsActivityLogs","DstDvcId","string","The ID of the destination device."
"ASimDnsActivityLogs","DstDvcIdType","string","The type of DstDvcId."
"ASimDnsActivityLogs","DstDvcScope","string","The cloud platform scope the destination device belongs to. DvcScope maps to a subscription on Azure and to an account on AWS."
"ASimDnsActivityLogs","DstDvcScopeId","string","The cloud platform scope ID the destination device belongs to. DvcScopeId map to a subscription ID on Azure and to an account ID on AWS."
"ASimDnsActivityLogs","DstFQDN","string","The destination device hostname, including domain information when available."
"ASimDnsActivityLogs","DstGeoCity","string","The city associated with the destination IP address."
"ASimDnsActivityLogs","DstGeoCountry","string","The country associated with the destination IP address."
"ASimDnsActivityLogs","DstGeoLatitude","real","The latitude of the geographical coordinate associated with the destination IP address."
"ASimDnsActivityLogs","DstGeoLongitude","real","The longitude of the geographical coordinate associated with the destination IP address."
"ASimDnsActivityLogs","DstGeoRegion","string","The region, or state, within a country, associated with the destination IP address."
"ASimDnsActivityLogs","DstHostname","string","The destination device hostname, excluding domain information."
"ASimDnsActivityLogs","DstIpAddr","string","The IP address of the server receiving the DNS request. For a regular DNS request, this value would typically be the reporting device, and in most cases set to 127.0.0.1."
"ASimDnsActivityLogs","DstOriginalRiskLevel","string","The risk level associated with the destination device as reported by the reporting device."
"ASimDnsActivityLogs","DstPortNumber","int","Destination Port number."
"ASimDnsActivityLogs","DstRiskLevel","int","The risk level associated with the destination device."
"ASimDnsActivityLogs","Dvc","string","A unique identifier of the device reporting the event. The identifier can be either an IP Address, A hostname, or a device ID."
"ASimDnsActivityLogs","DvcAction","string","The action taken by the the reporting device on the request, such as blocking it."
"ASimDnsActivityLogs","DvcDescription","string","A descriptive text associated with the device. For example: Primary Domain Controller."
"ASimDnsActivityLogs","DvcDomain","string","The domain of the device reporting the event."
"ASimDnsActivityLogs","DvcDomainType","string","The type of DvcDomain. Possible values include ""Windows"" and ""FQDN""."
"ASimDnsActivityLogs","DvcFQDN","string","The fully qualified hostname, including domain information, of the device reporting the event."
"ASimDnsActivityLogs","DvcHostname","string","The hostname of the device reporting the event."
"ASimDnsActivityLogs","DvcId","string","The unique ID of the device reporting the event."
"ASimDnsActivityLogs","DvcIdType","string","The type of DvcId."
"ASimDnsActivityLogs","DvcInterface","string","The network interface on which data was captured. This field is typically relevant to network related activity which is captured by an intermediate or tap device."
"ASimDnsActivityLogs","DvcIpAddr","string","The IP Address of the device reporting the event."
"ASimDnsActivityLogs","DvcMacAddr","string","The MAC address of the device reporting the event."
"ASimDnsActivityLogs","DvcOriginalAction","string","The original DvcAction as provided by the reporting device."
"ASimDnsActivityLogs","DvcOs","string","The operating system running on the device reporting the event."
"ASimDnsActivityLogs","DvcOsVersion","string","The version of the operating system on the device reporting the event."
"ASimDnsActivityLogs","DvcScope","string","The cloud platform scope the device belongs to. DvcScope map to a subscription ID on Azure and to an account ID on AWS."
"ASimDnsActivityLogs","DvcScopeId","string","The cloud platform scope ID the device belongs to. DvcScopeId map to a subscription ID on Azure and to an account ID on AWS."
"ASimDnsActivityLogs","DvcZone","string","The network segment of the device reporting the event."
"ASimDnsActivityLogs","EventCount","int","The number of events described by the record. This value is used when the source supports aggregation, and a single record may represent multiple events."
"ASimDnsActivityLogs","EventEndTime","datetime","The time at which the event ended. If the source supports aggregation and the record represents multiple events, the time that the last event was generated. If not provided by the source record, this field aliases the TimeGenerated field."
"ASimDnsActivityLogs","EventMessage","string","A general message or description."
"ASimDnsActivityLogs","EventOriginalSeverity","string","The original severity as provided by the reporting device. This value is used to derive EventSeverity."
"ASimDnsActivityLogs","EventOriginalType","string","The original event type or ID, for example, the original Windows event ID."
"ASimDnsActivityLogs","EventOriginalUid","string","A unique ID of the original record."
"ASimDnsActivityLogs","EventOwner","string","The owner of the event, which is usually the department or subsidiary in which it was generated."
"ASimDnsActivityLogs","EventProduct","string","The product generating the event."
"ASimDnsActivityLogs","EventProductVersion","string","The version of the product generating the event."
"ASimDnsActivityLogs","EventReportUrl","string","A URL of a resource that provides additional information about the event."
"ASimDnsActivityLogs","EventResult","string","The outcome of the event, represented by one of the following values: Success, Partial, Failure, NA (Not Applicable). The value may not be provided directly by the sources, in which case it is derived from other event fields, for example, the EventResultDetails field."
"ASimDnsActivityLogs","EventResultDetails","string","The DNS response code as defined by the Internet Assigned Numbers Authority (IANA)."
"ASimDnsActivityLogs","EventSchemaVersion","string","The version of the schema."
"ASimDnsActivityLogs","EventSeverity","string","The severity of the event. Valid values are: Informational, Low, Medium, or High."
"ASimDnsActivityLogs","EventStartTime","datetime","The time at which the event started. If the source supports aggregation and the record represents multiple events, the time that the first event was generated. If not provided by the source record, this field aliases the TimeGenerated field."
"ASimDnsActivityLogs","EventSubType","string","Either request or response."
"ASimDnsActivityLogs","EventType","string","Indicates the operation reported by the record. For DNS activity events, this value is the DNS opcode as defined by the Internet Assigned Numbers Authority (IANA)."
"ASimDnsActivityLogs","EventVendor","string","The vendor of the product generating the event."
"ASimDnsActivityLogs","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"ASimDnsActivityLogs","NetworkProtocol","string","The transport protocol used by the network resolution event. The value can be UDP or TCP."
"ASimDnsActivityLogs","NetworkProtocolVersion","string","The version of the network protocol. Typically used to differentiate between IPv4 and Ipv6."
"ASimDnsActivityLogs","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"ASimDnsActivityLogs","RuleName","string","The name or ID of the rule by associated with the inspection results."
"ASimDnsActivityLogs","RuleNumber","int","The number of the rule associated with the inspection results."
"ASimDnsActivityLogs","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"ASimDnsActivityLogs","Src","string","A unique identifier of the source device."
"ASimDnsActivityLogs","SrcDescription","string","The number of the rule associated with the inspection results."
"ASimDnsActivityLogs","SrcDeviceType","string","The type of the source device."
"ASimDnsActivityLogs","SrcDomain","string","The domain of the source device."
"ASimDnsActivityLogs","SrcDomainType","string","The type of SrcDomain."
"ASimDnsActivityLogs","SrcDvcId","string","The ID of the source device."
"ASimDnsActivityLogs","SrcDvcIdType","string","The type of SrcDvcId."
"ASimDnsActivityLogs","SrcDvcScope","string","The cloud platform scope the source device belongs to. DvcScope maps to a subscription on Azure and to an account on AWS."
"ASimDnsActivityLogs","SrcDvcScopeId","string","The cloud platform scope ID the source device belongs to. DvcScopeId map to a subscription ID on Azure and to an account ID on AWS."
"ASimDnsActivityLogs","SrcFQDN","string","The source device hostname, including domain information."
"ASimDnsActivityLogs","SrcGeoCity","string","The city associated with the source IP address."
"ASimDnsActivityLogs","SrcGeoCountry","string","The country associated with the source IP address."
"ASimDnsActivityLogs","SrcGeoLatitude","real","The latitude of the geographical coordinate associated with the source IP address."
"ASimDnsActivityLogs","SrcGeoLongitude","real","The longitude of the geographical coordinate associated with the source IP address."
"ASimDnsActivityLogs","SrcGeoRegion","string","The region, or state, within a country, associated with the source IP address."
"ASimDnsActivityLogs","SrcHostname","string","The source device hostname, excluding domain information."
"ASimDnsActivityLogs","SrcIpAddr","string","The IP address of the client sending the DNS request. For a recursive DNS request, this value would typically be the reporting device, and in most cases, set to 127.0.0.1."
"ASimDnsActivityLogs","SrcOriginalRiskLevel","string","The risk level associated with the source device as reported by the reporting device."
"ASimDnsActivityLogs","SrcOriginalUserType","string","The original source user type, as provided by the source."
"ASimDnsActivityLogs","SrcPortNumber","int","Source port of the DNS query."
"ASimDnsActivityLogs","SrcProcessGuid","string","A generated unique identifier (GUID) of the process that initiated the DNS request."
"ASimDnsActivityLogs","SrcProcessId","string","The process ID (PID) of the process that initiated the DNS request."
"ASimDnsActivityLogs","SrcProcessName","string","The name of the process that initiated the DNS request."
"ASimDnsActivityLogs","SrcRiskLevel","int","The risk level associated with the source device."
"ASimDnsActivityLogs","SrcUserId","string","A machine-readable, alphanumeric, unique representation of the source user."
"ASimDnsActivityLogs","SrcUserIdType","string","The type of the ID stored in the SrcUserId field."
"ASimDnsActivityLogs","SrcUsername","string","The Source username, including domain information when available."
"ASimDnsActivityLogs","SrcUsernameType","string","The type of the username stored in the SrcUsername field."
"ASimDnsActivityLogs","SrcUserScope","string","The scope, such as Azure AD tenant, in which SrcUserId and SrcUsername are defined."
"ASimDnsActivityLogs","SrcUserScopeId","string","The ID of the scope, such as Azure AD tenant, in which SrcUserId and SrcUsername are defined."
"ASimDnsActivityLogs","SrcUserSessionId","string","The unique ID of the sign-in session of the source user."
"ASimDnsActivityLogs","SrcUserType","string","The type of the source user."
"ASimDnsActivityLogs","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"ASimDnsActivityLogs","TenantId","string","The Log Analytics workspace ID"
"ASimDnsActivityLogs","ThreatCategory","string","If a DNS event source also provides DNS security, it may also evaluate the DNS event. For example, it can search for the IP address or domain in a threat intelligence database, and assign the domain or IP address with a Threat Category."
"ASimDnsActivityLogs","ThreatConfidence","int","The confidence level of the threat identified, normalized to a value between 0 and a 100."
"ASimDnsActivityLogs","ThreatField","string","The field for which a threat was identified. The value is either SrcIpAddr, DstIpAddr, Domain, or DnsResponseName."
"ASimDnsActivityLogs","ThreatFirstReportedTime","string","The first time the IP address or domain were identified as a threat."
"ASimDnsActivityLogs","ThreatFirstReportedTime_d","datetime","The first time the IP address or domain were identified as a threat."
"ASimDnsActivityLogs","ThreatId","string","The ID of the threat or malware identified in the web session."
"ASimDnsActivityLogs","ThreatIpAddr","string","An IP address for which a threat was identified. The field ThreatField contains the name of the field ThreatIpAddr represents. If a threat is identified in the Domain field, this field should be empty."
"ASimDnsActivityLogs","ThreatIsActive","bool","True ID the threat identified is considered an active threat."
"ASimDnsActivityLogs","ThreatLastReportedTime","string","The last time the IP address or domain were identified as a threat."
"ASimDnsActivityLogs","ThreatLastReportedTime_d","datetime","The last time the IP address or domain were identified as a threat."
"ASimDnsActivityLogs","ThreatName","string","The name of the threat identified, as reported by the reporting device."
"ASimDnsActivityLogs","ThreatOriginalConfidence","string","The original confidence level of the threat identified, as reported by the reporting device."
"ASimDnsActivityLogs","ThreatOriginalRiskLevel","int","The original risk level associated with the threat identified, as reported by the reporting device."
"ASimDnsActivityLogs","ThreatOriginalRiskLevel_s","string","The risk level associated with the threat identified, normalized to a value between 0 and a 100."
"ASimDnsActivityLogs","ThreatRiskLevel","int","The risk level associated with the threat identified, normalized to a value between 0 and a 100."
"ASimDnsActivityLogs","TimeGenerated","datetime","The timestamp (UTC) reflecting the time in which the event was generated."
"ASimDnsActivityLogs","TransactionIdHex","string","The DNS unique hex transaction ID."
"ASimDnsActivityLogs","Type","string","The name of the table"
"ASimDnsActivityLogs","UrlCategory","string","A DNS event source may also look up the category of the requested Domains."
"ASimFileEventLogs","ActingProcessCommandLine","string","The command line used to run the acting process."
"ASimFileEventLogs","ActingProcessGuid","string","A generated unique identifier (GUID) of the acting process."
"ASimFileEventLogs","ActingProcessId","string","The process ID (PID) of the acting process."
"ASimFileEventLogs","ActingProcessName","string","The name of the acting process."
"ASimFileEventLogs","ActorOriginalUserType","string","The original actor user type as provided by the reporting device."
"ASimFileEventLogs","ActorScope","string","The scope, such as Azure AD tenant, in which ActorUserId and ActorUsername are defined."
"ASimFileEventLogs","ActorScopeId","string","The scope ID, such as Azure AD Directory ID, in which ActorUserId and ActorUsername are defined."
"ASimFileEventLogs","ActorSessionId","string","The unique ID of the login session of the Actor."
"ASimFileEventLogs","ActorUserAadId","string","The Azure Active Directory ID of the actor."
"ASimFileEventLogs","ActorUserId","string","A machine-readable, alphanumeric, unique representation of the actor."
"ASimFileEventLogs","ActorUserIdType","string","The type of the ID stored in the ActorUserId field."
"ASimFileEventLogs","ActorUsername","string","The Actor username, including domain information when available."
"ASimFileEventLogs","ActorUsernameType","string","Specifies the type of the user name stored in the ActorUsername field."
"ASimFileEventLogs","ActorUserSid","string","The Windows user ID (SIDs) of the actor."
"ASimFileEventLogs","ActorUserType","string","The type of actor."
"ASimFileEventLogs","AdditionalFields","dynamic","Additional information, represented using key/value pairs provided by the source which do not map to ASim."
"ASimFileEventLogs","_BilledSize","real","The record size in bytes"
"ASimFileEventLogs","DvcAction","string","The action taken on the web session."
"ASimFileEventLogs","DvcDescription","string","A descriptive text associated with the device."
"ASimFileEventLogs","DvcDomain","string","The domain of the device reporting the event."
"ASimFileEventLogs","DvcDomainType","string","The type of DvcDomain. Valid values include 'Windows' and 'FQDN'."
"ASimFileEventLogs","DvcFQDN","string","The hostname of the device on which the event occurred or which reported the event."
"ASimFileEventLogs","DvcHostname","string","The hostname of the device reporting the event."
"ASimFileEventLogs","DvcId","string","The unique ID of the device on which the event occurred or which reported the event."
"ASimFileEventLogs","DvcIdType","string","The type of DvcId."
"ASimFileEventLogs","DvcInterface","string","The original DvcAction as provided by the reporting device."
"ASimFileEventLogs","DvcIpAddr","string","The IP address of the device reporting the event."
"ASimFileEventLogs","DvcMacAddr","string","The MAC address of the device on which the event occurred or which reported the event."
"ASimFileEventLogs","DvcOriginalAction","string","The original DvcAction as provided by the reporting device."
"ASimFileEventLogs","DvcOs","string","The operating system running on the device on which the event occurred or which reported the event."
"ASimFileEventLogs","DvcOsVersion","string","The version of the operating system on the device on which the event occurred or which reported the event."
"ASimFileEventLogs","DvcScope","string","The cloud platform scope the device belongs to. DvcScope map to a subscription name on Azure and to an account ID on AWS."
"ASimFileEventLogs","DvcScopeId","string","The cloud platform scope ID the device belongs to. DvcScopeId map to a subscription ID on Azure and to an account ID on AWS."
"ASimFileEventLogs","DvcZone","string","The network on which the event occurred or which reported the event, depending on the schema."
"ASimFileEventLogs","EventCount","int","This value is used when the source supports aggregation, and a single record may represent multiple events."
"ASimFileEventLogs","EventEndTime","datetime","The time in which the event ended. If the source supports aggregation and the record represents multiple events, the time that the last event was generated. If not provided by the source record, this field aliases the TimeGenerated field."
"ASimFileEventLogs","EventMessage","string","A general message or description."
"ASimFileEventLogs","EventOriginalResultDetails","string","The original result details provided by the source. This value is used to derive EventResultDetails, which should have only one of the values documented for each schema."
"ASimFileEventLogs","EventOriginalSeverity","string","The original severity as provided by the reporting device. This value is used to derive EventSeverity."
"ASimFileEventLogs","EventOriginalSubType","string","The original event subtype or ID, if provided by the source. For example, this field will be used to store the original Windows logon type. This value is used to derive EventSubType, which should have only one of the values documented for each schema."
"ASimFileEventLogs","EventOriginalType","string","The original event type or ID, if provided by the source."
"ASimFileEventLogs","EventOriginalUid","string","A unique ID of the original record, if provided by the source."
"ASimFileEventLogs","EventOwner","string","The owner of the event, which is usually the department or subsidiary in which it was generated."
"ASimFileEventLogs","EventProduct","string","The product generating the event."
"ASimFileEventLogs","EventProductVersion","string","The version of the product generating the event."
"ASimFileEventLogs","EventReportUrl","string","A URL provided in the event for a resource that provides more information about the event."
"ASimFileEventLogs","EventResult","string","The outcome of the event, represented by one of the following values: Success, Partial, Failure, NA (Not Applicable). The value may not be provided directly by the sources, in which case it is derived from other event fields, for example, the EventResultDetails field."
"ASimFileEventLogs","EventResultDetails","string","The HTTP status code."
"ASimFileEventLogs","EventSchema","string","The schema the event is normalized to. Each schema documents its schema name."
"ASimFileEventLogs","EventSchemaVersion","string","The version of the schema."
"ASimFileEventLogs","EventSeverity","string","The severity of the event. Valid values are: Informational, Low, Medium, or High."
"ASimFileEventLogs","EventStartTime","datetime","The time in which the event started. If the source supports aggregation and the record represents multiple events, the time that the first event was generated. If not provided by the source record, this field aliases the TimeGenerated field."
"ASimFileEventLogs","EventSubType","string","Additional description of the event type, if applicable."
"ASimFileEventLogs","EventType","string","The operation reported by the record."
"ASimFileEventLogs","EventVendor","string","The vendor of the product generating the event."
"ASimFileEventLogs","HashType","string","The type of hash stored in the Hash alias field."
"ASimFileEventLogs","HttpUserAgent","string","When the operation is initiated using HTTP or HTTPS, the HTTP user agent header."
"ASimFileEventLogs","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"ASimFileEventLogs","NetworkApplicationProtocol","string","When the operation is initiated by a remote system, the application layer protocol used by the connection or session."
"ASimFileEventLogs","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"ASimFileEventLogs","RuleName","string","The name or ID of the rule by associated with the inspection results."
"ASimFileEventLogs","RuleNumber","int","The number of the rule associated with the inspection results."
"ASimFileEventLogs","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"ASimFileEventLogs","SrcDescription","string","A descriptive text associated with the device."
"ASimFileEventLogs","SrcDeviceType","string","The type of the source device."
"ASimFileEventLogs","SrcDomain","string","The domain of the source device."
"ASimFileEventLogs","SrcDomainType","string","The type of SrcDomain."
"ASimFileEventLogs","SrcDvcId","string","The ID of the source device."
"ASimFileEventLogs","SrcDvcIdType","string","The type of SrcDvcId."
"ASimFileEventLogs","SrcDvcScope","string","The cloud platform scope the device belongs to."
"ASimFileEventLogs","SrcDvcScopeId","string","The cloud platform scope ID the device belongs to."
"ASimFileEventLogs","SrcFileCreationTime","datetime","The time at which the source file was created."
"ASimFileEventLogs","SrcFileDirectory","string","The source file folder or location."
"ASimFileEventLogs","SrcFileExtension","string","The source file extension."
"ASimFileEventLogs","SrcFileMD5","string","The MD5 hash of the source file."
"ASimFileEventLogs","SrcFileMimeType","string","The Mime or Media type of the source file."
"ASimFileEventLogs","SrcFileName","string","The name of the source file, without a path or a location, but with an extension if relevant."
"ASimFileEventLogs","SrcFilePath","string","The full, normalized path of the source file, including the folder or location, the file name, and the extension."
"ASimFileEventLogs","SrcFilePathType","string","The type of SrcFilePath."
"ASimFileEventLogs","SrcFileSHA1","string","The SHA-1 hash of the source file."
"ASimFileEventLogs","SrcFileSHA256","string","The SHA-256 hash of the source file."
"ASimFileEventLogs","SrcFileSHA512","string","The SHA-512 hash of the source file."
"ASimFileEventLogs","SrcFileSize","long","The size of the source file in bytes."
"ASimFileEventLogs","SrcFQDN","string","The source device hostname, including domain information when available."
"ASimFileEventLogs","SrcGeoCity","string","The city associated with the source IP address."
"ASimFileEventLogs","SrcGeoCountry","string","The country associated with the source IP address."
"ASimFileEventLogs","SrcGeoLatitude","real","The latitude of the geographical coordinate associated with the source IP address."
"ASimFileEventLogs","SrcGeoLongitude","real","The longitude of the geographical coordinate associated with the source IP address."
"ASimFileEventLogs","SrcGeoRegion","string","The region within a country associated with the source IP address."
"ASimFileEventLogs","SrcHostname","string","The source device hostname, excluding domain information. If no device name is available, store the relevant IP address in this field."
"ASimFileEventLogs","SrcIpAddr","string","When the operation is initiated by a remote system, the IP address of this system."
"ASimFileEventLogs","SrcMacAddr","string","The MAC address of the source device."
"ASimFileEventLogs","SrcOriginalRiskLevel","string","The risk level associated with the source. As reported by the reporting device or enriched."
"ASimFileEventLogs","SrcPortNumber","int","When the operation is initiated by a remote system, the port number from which the connection was initiated."
"ASimFileEventLogs","SrcRiskLevel","int","The risk level associated with the source."
"ASimFileEventLogs","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"ASimFileEventLogs","TargetAppId","string","The ID of the destination application, as reported by the reporting device."
"ASimFileEventLogs","TargetAppName","string","The name of the destination application."
"ASimFileEventLogs","TargetAppType","string","The type of the destination application."
"ASimFileEventLogs","TargetFileCreationTime","datetime","The time at which the target file was created."
"ASimFileEventLogs","TargetFileDirectory","string","The target file folder or location."
"ASimFileEventLogs","TargetFileExtension","string","The target file extension."
"ASimFileEventLogs","TargetFileMD5","string","The MD5 hash of the target file."
"ASimFileEventLogs","TargetFileMimeType","string","The Mime or Media type of the target file."
"ASimFileEventLogs","TargetFileName","string","The name of the target file, without a path or a location, but with an extension if relevant."
"ASimFileEventLogs","TargetFilePath","string","The full, normalized path of the target file, including the folder or location, the file name, and the extension."
"ASimFileEventLogs","TargetFilePathType","string","The type of TargetFilePath."
"ASimFileEventLogs","TargetFileSHA1","string","The SHA-1 hash of the target file."
"ASimFileEventLogs","TargetFileSHA256","string","The SHA-256 hash of the target file."
"ASimFileEventLogs","TargetFileSHA512","string","The SHA-512 hash of the source file."
"ASimFileEventLogs","TargetFileSize","long","The size of the target file in bytes."
"ASimFileEventLogs","TargetOriginalAppType","string","The target application type as reported by the reporting device."
"ASimFileEventLogs","TargetUrl","string","When the operation is initiated using HTTP or HTTPS, the URL used."
"ASimFileEventLogs","TenantId","string","The Log Analytics workspace ID"
"ASimFileEventLogs","ThreatCategory","string","The category of the threat or malware identified in the file activity."
"ASimFileEventLogs","ThreatConfidence","int","The confidence level of the threat identified, normalized to a value between 0 and a 100."
"ASimFileEventLogs","ThreatField","string","The field for which a threat was identified. The value is either SrcFilePath or DstFilePath."
"ASimFileEventLogs","ThreatFilePath","string","A file path for which a threat was identified. The field ThreatField contains the name of the field ThreatFilePath represents."
"ASimFileEventLogs","ThreatFirstReportedTime","datetime","The first time the IP address or domain were identified as a threat."
"ASimFileEventLogs","ThreatId","string","The ID of the threat or malware identified in the file activity."
"ASimFileEventLogs","ThreatIsActive","bool","True ID the threat identified is considered an active threat."
"ASimFileEventLogs","ThreatLastReportedTime","datetime","The last time the IP address or domain were identified as a threat."
"ASimFileEventLogs","ThreatName","string","The name of the threat or malware identified in the file activity."
"ASimFileEventLogs","ThreatOriginalConfidence","string","The original confidence level of the threat identified, as reported by the reporting device."
"ASimFileEventLogs","ThreatOriginalRiskLevel","string","The risk level as reported by the reporting device."
"ASimFileEventLogs","ThreatRiskLevel","int","The risk level associated with the identified threat. The level should be a number between 0 and 100."
"ASimFileEventLogs","TimeGenerated","datetime","The timestamp reflecting the time in which the event was generated."
"ASimFileEventLogs","Type","string","The name of the table"
"ASimNetworkSessionLogs","AdditionalFields","dynamic","Additional information, represented using key/value pairs provided by the source which do not map to ASim."
"ASimNetworkSessionLogs","_BilledSize","real","The record size in bytes"
"ASimNetworkSessionLogs","DstAppId","string","The ID of the destination application, as reported by the reporting device."
"ASimNetworkSessionLogs","DstAppName","string","The name of the destination application."
"ASimNetworkSessionLogs","DstAppType","string","The type of the destination application."
"ASimNetworkSessionLogs","DstBytes","long","The number of bytes sent from the destination to the source for the connection or session. If the event is aggregated, DstBytes is the sum over all aggregated sessions."
"ASimNetworkSessionLogs","DstDescription","string","A descriptive text associated with the destination."
"ASimNetworkSessionLogs","DstDeviceType","string","The type of the destination device."
"ASimNetworkSessionLogs","DstDomain","string","The domain of the destination device."
"ASimNetworkSessionLogs","DstDomainType","string","The type of DstDomain."
"ASimNetworkSessionLogs","DstDvcId","string","The ID of the destination device."
"ASimNetworkSessionLogs","DstDvcIdType","string","The type of DstDvcId."
"ASimNetworkSessionLogs","DstFQDN","string","The destination device hostname, including domain information when available."
"ASimNetworkSessionLogs","DstGeoCity","string","The city associated with the destination IP address."
"ASimNetworkSessionLogs","DstGeoCountry","string","The country associated with the destination IP address."
"ASimNetworkSessionLogs","DstGeoLatitude","real","The latitude of the geographical coordinate associated with the destination IP address."
"ASimNetworkSessionLogs","DstGeoLongitude","real","The longitude of the geographical coordinate associated with the destination IP address."
"ASimNetworkSessionLogs","DstGeoRegion","string","The region, or state, within a country associated with the destination IP address."
"ASimNetworkSessionLogs","DstHostname","string","The destination device hostname, excluding domain information."
"ASimNetworkSessionLogs","DstInterfaceGuid","string","The GUID of the network interface used on the destination device."
"ASimNetworkSessionLogs","DstInterfaceName","string","The network interface used for the connection or session by the destination device."
"ASimNetworkSessionLogs","DstIpAddr","string","The IP address of the connection or session destination."
"ASimNetworkSessionLogs","DstMacAddr","string","The MAC address of the network interface used for the connection or session by the destination device."
"ASimNetworkSessionLogs","DstNatIpAddr","string","The DstNatIpAddr represents either of: The original address of the destination device if network address translation was used or the IP address used by the intermediary device for communication with the source."
"ASimNetworkSessionLogs","DstNatPortNumber","int","If reported by an intermediary NAT device, the port used by the NAT device for communication with the source."
"ASimNetworkSessionLogs","DstOriginalUserType","string","The original destination user type, if provided by the source."
"ASimNetworkSessionLogs","DstPackets","long","The number of packets sent from the destination to the source for the connection or session. The meaning of a packet is defined by the reporting device. If the event is aggregated, DstPackets is the sum over all aggregated sessions."
"ASimNetworkSessionLogs","DstPortNumber","int","The destination IP port."
"ASimNetworkSessionLogs","DstSubscriptionId","string","The cloud platform subscription ID the destination device belongs to. DstSubscriptionId map to a subscription ID on Azure and to an account ID on AWS."
"ASimNetworkSessionLogs","DstUserId","string","A machine-readable, alphanumeric, unique representation of the destination user."
"ASimNetworkSessionLogs","DstUserIdType","string","The type of the ID stored in the DstUserId field."
"ASimNetworkSessionLogs","DstUsername","string","The destination username, including domain information when available. Use the simple form only if domain information isn't available."
"ASimNetworkSessionLogs","DstUsernameType","string","Specifies the type of the username stored in the DstUsername field."
"ASimNetworkSessionLogs","DstUserType","string","The type of destination user."
"ASimNetworkSessionLogs","DstVlanId","string","The VLAN ID related to the destination device."
"ASimNetworkSessionLogs","DstZone","string","The network zone of the destination, as defined by the reporting device."
"ASimNetworkSessionLogs","Dvc","string","A unique identifier of the device on which the event occurred or which reported the event."
"ASimNetworkSessionLogs","DvcAction","string","The action taken on the network session."
"ASimNetworkSessionLogs","DvcDescription","string","A descriptive text associated with the device. For example: Primary Domain Controller."
"ASimNetworkSessionLogs","DvcDomain","string","The domain of the device reporting the event."
"ASimNetworkSessionLogs","DvcDomainType","string","The type of DvcDomain. Possible values include 'Windows' and 'FQDN'."
"ASimNetworkSessionLogs","DvcFQDN","string","The hostname of the device on which the event occurred or which reported the event."
"ASimNetworkSessionLogs","DvcHostname","string","The hostname of the device reporting the event."
"ASimNetworkSessionLogs","DvcId","string","The unique ID of the device on which the event occurred or which reported the event."
"ASimNetworkSessionLogs","DvcIdType","string","The type of DvcId."
"ASimNetworkSessionLogs","DvcInboundInterface","string","If reported by an intermediary device, the network interface used by the NAT device for the connection to the source device."
"ASimNetworkSessionLogs","DvcInterface","string","The network interface on which data was captured. This field is typically relevant to network related activity which is captured by an intermediate or tap device."
"ASimNetworkSessionLogs","DvcIpAddr","string","The IP Address of the device reporting the event."
"ASimNetworkSessionLogs","DvcMacAddr","string","The MAC address of the device on which the event occurred or which reported the event. Example: 00:1B:44:11:3A:B7."
"ASimNetworkSessionLogs","DvcOriginalAction","string","The original DvcAction as provided by the reporting device."
"ASimNetworkSessionLogs","DvcOs","string","The operating system running on the device reporting the event."
"ASimNetworkSessionLogs","DvcOsVersion","string","The version of the operating system on the device reporting the event."
"ASimNetworkSessionLogs","DvcOutboundInterface","string","If reported by an intermediary device, the network interface used by the NAT device for the connection to the destination device."
"ASimNetworkSessionLogs","DvcSubscriptionId","string","The cloud platform subscription ID the device belongs to. DvcSubscriptionId map to a subscription ID on Azure and to an account ID on AWS."
"ASimNetworkSessionLogs","DvcZone","string","The network on which the event occurred or which reported the event. The zone is defined by the reporting device."
