solution_name,local_first_publish,mp_creation_date,local_last_publish,mp_last_modified,is_published
Squadra Technologies SecRmm,2022-05-09,,,,true
SquidProxy,2022-05-16,2023-03-24,,2025-12-13,true
Styx Intelligence,2025-02-07,,,,false
Symantec Endpoint Protection,2022-07-01,2023-03-24,,2025-12-13,true
Symantec Integrated Cyber Defense,2022-06-02,2023-07-11,,2025-12-13,true
Symantec VIP,2022-05-16,2023-03-24,,2025-12-13,true
SymantecProxySG,2021-05-25,2023-03-21,,2025-12-13,true
Synack,,,,,true
Syslog,2022-05-23,2023-02-21,,2025-12-13,true
TacitRed-Defender-ThreatIntelligence,2025-11-10,2026-02-06,,2026-02-13,true
TacitRed-IOC-CrowdStrike,2025-11-25,2026-02-10,,2026-02-10,true
TacitRed-SentinelOne,2025-12-01,2026-02-10,2025-12-10,2026-03-09,true
TacitRedThreatIntelligence,2025-01-01,2026-02-09,,2026-02-09,true
Talon,2023-01-25,2023-03-01,,2025-12-12,true
Tanium,2022-05-16,2023-05-26,2025-07-03,2025-12-13,true
Team Cymru Scout,2024-07-16,2025-03-20,2025-05-16,2025-12-14,true
Teams,2022-02-01,2023-06-20,,2025-12-13,true
Tenable App,2024-06-06,2024-07-08,2025-06-19,2025-12-13,true
TenableAD,,,,,false
TenableIO,2022-06-01,2024-07-08,,2025-12-13,true
TestSolution,,,,,false
TheHive,2021-10-23,2023-09-19,,2025-12-13,true
Theom,2022-11-04,2023-03-07,,2025-12-13,true
Threat Intelligence,2022-05-18,2023-03-21,,2026-01-27,true
Threat Intelligence (NEW),2025-04-02,2025-04-04,,2026-02-20,true
Threat Intelligence Solution for Azure Government,2023-03-06,,,,false
ThreatAnalysis&Response,2021-10-20,2023-11-21,,2025-12-12,true
ThreatConnect,2023-09-11,2023-10-18,2023-09-11,2025-12-13,true
ThreatXCloud,2022-09-23,2024-11-08,2022-09-23,2025-12-13,true
Tomcat,2022-01-31,2023-04-06,,2025-12-14,true
Torq,2024-12-24,2024-12-27,,2025-12-13,true
TransmitSecurity,2024-06-10,2024-07-16,2024-11-20,2025-12-13,true
Trend Micro Apex One,2021-07-06,2023-10-04,2022-03-24,2025-12-13,true
Trend Micro Cloud App Security,2021-09-28,,,,true
Trend Micro Deep Security,2022-05-10,2024-08-27,,2025-12-13,true
Trend Micro TippingPoint,2022-05-02,2024-08-27,,2025-12-13,true
Trend Micro Vision One,2022-05-11,2023-03-01,2024-07-16,2025-12-13,true
Tropico,2025-12-02,2025-12-22,,2025-12-22,true
Ubiquiti UniFi,2022-06-01,2024-01-23,,2026-01-12,true
UEBA Essentials,2022-06-27,2023-05-16,,2026-02-11,true
URLhaus,2022-09-29,2024-01-12,,2025-12-13,true
Valence Security,2023-11-20,2023-12-12,,2025-12-13,true
vArmour Application Controller,2022-06-01,2023-02-22,,2025-12-13,true
Varonis Purview,2025-10-27,2025-11-25,2025-10-01,2025-12-13,true
VaronisSaaS,2023-11-10,2024-10-16,2023-11-10,2025-12-19,true
Vectra AI Detect,2022-05-24,2023-03-31,2023-04-17,2025-12-13,true
Vectra AI Stream,2021-10-18,2023-02-28,2024-05-02,2025-12-13,true
Vectra XDR,2023-07-04,2023-08-07,2024-08-01,2025-12-13,true
Veeam,2025-08-26,2025-10-23,,2025-12-13,true
Veritas NetBackup,2023-09-25,2024-11-19,,2025-12-13,true
VersasecCMS,,2026-02-03,,2026-02-12,true
VirtualMetric DataStream,2025-09-15,2025-10-08,,2025-12-13,true
VirusTotal,2022-07-31,2023-03-03,,2025-12-13,true
VMRay,2025-07-23,2025-09-25,,2025-12-13,true
VMware Carbon Black Cloud,2022-06-01,2023-06-30,,2026-01-30,true
VMware SASE,2023-12-31,,,,false
VMware vCenter,2022-06-29,2023-03-24,,2025-12-13,true
VMWareESXi,2022-01-12,2023-03-21,,2026-01-07,true
Votiro,,,,,false
Watchguard Firebox,2022-05-06,2024-06-06,,2025-12-13,true
Watchlists Utilities,2022-05-23,2024-11-08,,2025-12-13,true
Web Session Essentials,2023-06-29,2023-09-26,,2025-12-13,true
Web Shells Threat Protection,2022-05-22,2023-07-13,,2025-12-13,true
Windows Firewall,2022-05-02,2023-07-24,,2025-12-13,true
Windows Forwarded Events,2022-05-02,2023-02-22,,2025-12-14,true
Windows Security Events,2022-05-23,2023-03-01,,2026-02-25,true
Windows Server DNS,2022-05-11,2023-02-23,,2025-12-13,true
WireX Network Forensics Platform,2022-05-06,2023-05-24,,2025-12-13,true
WithSecureElementsViaConnector,2022-11-03,,2022-11-03,,false
WithSecureElementsViaFunction,2024-02-22,2024-03-04,2025-04-25,2026-03-06,true
Wiz,2023-06-20,2023-08-28,,2025-12-13,true
Workday,2024-02-15,2024-03-21,,2026-02-17,true
Workplace from Facebook,2022-05-18,2023-04-18,,2025-12-13,true
ZeroFox,2023-07-28,2024-04-26,,2025-12-13,true
ZeroNetworks,2022-06-06,2023-02-21,2025-09-17,2025-12-13,true
ZeroTrust(TIC3.0),2021-10-20,2023-04-20,,2026-01-22,true
Zimperium Mobile Threat Defense,2022-05-02,2024-11-08,,2025-12-13,true
Zinc Open Source,2022-10-03,2023-05-12,,2025-12-13,true
ZoomReports,2022-05-23,2023-07-17,,2025-12-13,true
Zscaler Internet Access,2022-05-25,2024-08-05,,2025-12-13,true
Zscaler Private Access (ZPA),2022-01-31,2023-03-29,,2026-01-15,true
