"solution_name","solution_folder","solution_github_url","solution_publisher_id","solution_offer_id","solution_first_publish_date","solution_last_publish_date","solution_version","solution_support_name","solution_support_tier","solution_support_link","solution_author_name","solution_categories","solution_readme_file","solution_logo_url","solution_description","solution_dependencies","has_connectors","is_deprecated","deprecation_date","is_published","marketplace_url","mp_is_published","mp_url","mp_display_name","mp_summary","mp_long_summary","mp_publisher_display_name","mp_is_preview","mp_is_stop_sell","mp_creation_date","mp_last_modified_date","mp_categories","mp_keywords","mp_popularity","mp_rating_average","mp_rating_count","mp_is_free","mp_is_byol","mp_is_microsoft_product","mp_last_checked"
"Infoblox Cloud Data Connector","Infoblox Cloud Data Connector","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Infoblox%20Cloud%20Data%20Connector","infoblox","infoblox-cdc-solution","2021-10-20","","3.0.4","Infoblox","Partner","https://support.infoblox.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/infoblox_logo.svg","The [Infoblox](https://www.infoblox.com/) Cloud solution allows you to easily connect your Infoblox BloxOne data with Microsoft Sentinel. By connecting your logs to Microsoft Sentinel, you can take advantage of search & correlation, alerting, and threat intelligence enrichment for each log.

 This solution is dependent on the Common Event Format solution containing the CEF via AMA connector to collect the logs. The CEF solution will be installed as part of this solution installation.

**NOTE:** Microsoft recommends installation of CEF via AMA Connector. The existing connectors were deprecated on **Aug 31, 2024.**","azuresentinel.azure-sentinel-solution-commoneventformat","true","false","","true","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"Infoblox NIOS","Infoblox NIOS","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Infoblox%20NIOS","azuresentinel","azure-sentinel-solution-infobloxnios","2022-04-01","","3.0.4","Microsoft Corporation","Microsoft","https://support.microsoft.com","Infoblox","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/infoblox_logo.svg","The [Infoblox Network Identity Operating System (NIOS)](https://www.infoblox.com/glossary/network-identity-operating-system-nios/) solution for Microsoft Sentinel enables you to easily connect your Infoblox NIOS logs with Microsoft Sentinel, to view dashboards, create custom alerts, and improve investigation. This gives you more insight into your organization's network and improves your security operation capabilities.

 This solution is dependent on the Syslog solution containing the Syslog via AMA connector to collect the logs. The Syslog solution will be installed as part of this solution installation.

 **NOTE**: Microsoft recommends installation of Syslog via AMA Connector. Legacy connector uses the Log Analytics agent which were deprecated on **Aug 31, 2024.** Using MMA and AMA on same machine can cause log duplication and extra ingestion cost [more details](https://learn.microsoft.com/en-us/azure/sentinel/ama-migrate).","azuresentinel.azure-sentinel-solution-syslog","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-infobloxnios","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-infobloxnios","Infoblox NIOS","Infoblox NIOS","The Infoblox Network Identity Operating System (NIOS) solution for Microsoft Sentinel enables you to easily connect your Infoblox NIOS logs with Microsoft Sentinel, to view dashboards, create custom alerts, and improve investigation.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-03-14","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Infoblox NIOS;Infoblox NIOS","0.834","0.0","0","false","false","true","2026-04-02"
"Infoblox SOC Insights","Infoblox SOC Insights","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Infoblox%20SOC%20Insights","infoblox","infoblox-soc-insight-solution","2024-03-06","","3.0.2","Infoblox","Partner","https://support.infoblox.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/infoblox_logo.svg","The [Infoblox](https://www.infoblox.com/) SOC Insights solution allows you to easily connect your Infoblox BloxOne SOC Insights data with Microsoft Sentinel. By connecting your logs to Microsoft Sentinel, you can take advantage of search & correlation, alerting, and threat intelligence enrichment for each log. 

 This solution is dependent on the Common Event Format solution containing the CEF via AMA connector to collect the logs. The CEF solution will be installed as part of this solution installation. 

**NOTE:** Microsoft recommends installation of CEF via AMA Connector. The existing connectors are about to be deprecated by **Aug 31, 2024**.","azuresentinel.azure-sentinel-solution-commoneventformat","true","false","","false","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"InsightVM","InsightVM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/InsightVM","","","","","","","","","","","","","","","false","false","","false","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"Integration for Atlassian Beacon","Integration for Atlassian Beacon","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Integration%20for%20Atlassian%20Beacon","defendlimited1682894612656","microsoft-sentinel-solution-atlassian-beacon","2023-09-22","","3.0.0","DEFEND Ltd.","Partner","https://www.defend.co.nz/","DEFEND Ltd.","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Atlassian Beacon](https://www.atlassian.com/software/beacon) solution provides the capability to ingest Atlassian Beacon Alerts into Microsoft Sentinel.

**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

a. [Azure Monitor HTTP Data Collector API](https://docs.microsoft.com/azure/azure-monitor/logs/data-collector-api)

b. [Azure Logic Apps](https://azure.microsoft.com/products/logic-apps/#overview)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/defendlimited1682894612656.microsoft-sentinel-solution-atlassian-beacon","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/defendlimited1682894612656.microsoft-sentinel-solution-atlassian-beacon","Atlassian Beacon solution for Microsoft Sentinel","Data connector to ingest alerts from Atlassian Beacon","The Atlassian Beacon Solution for Microsoft Sentinel is used to collect the alerts created by Atlassian Beacon. These logs can be used to create Security Incidents in Sentinel based on the alert name and severity for each organization.","DEFEND Limited","false","false","2023-10-26","2025-12-14","monitoring-and-diagnostics;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Atlassian;Beacon;f1de974b-f438-4719-b423-8bf704ba2aef;Atlassian Beacon solution for Microsoft Sentinel","0.0","5.0","1","false","false","true","2026-04-02"
"Intel471","Intel471","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Intel471","intel471inc1641226539011","microsoft-sentinel-solution-intel471","2023-06-21","","3.0.0","Intel 471","Partner","https://intel471.com/company/contact","Intel 471 Inc.","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/intel471_logo.svg","Intel 471 Threat Intelligence integration ingests malware indicators into Log Analytics workspace.","","false","false","","true","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"IoTOTThreatMonitoringwithDefenderforIoT","IoTOTThreatMonitoringwithDefenderforIoT","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/IoTOTThreatMonitoringwithDefenderforIoT","azuresentinel","azure-sentinel-solution-unifiedmicrosoftsocforot","2021-10-26","","2.0.2","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","Solutions/IoTOTThreatMonitoringwithDefenderforIoT/README.md","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Workbooks/Images/Logos/Azure_Sentinel.svg","The [Microsoft Defender for IoT](https://azure.microsoft.com/services/iot-defender/) solution for Microsoft Sentinel allows you to ingest Security alerts reported in Microsoft Defender for IoT on assessing your Internet of Things (IoT)/Operational Technology (OT) infrastructure. 

 ** Underlying Microsoft Technologies used: ** 

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:  

 a. [Codeless Connector Platform/Native Microsoft Sentinel Polling](https://docs.microsoft.com/azure/sentinel/create-codeless-connector?tabs=deploy-via-arm-template%2Cconnect-via-the-azure-portal)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-unifiedmicrosoftsocforot","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-unifiedmicrosoftsocforot","Microsoft Defender for IoT solution for Microsoft Sentinel","Microsoft Defender for IoT solution for Microsoft Sentinel","The Microsoft Defender for IoT solution for Microsoft Sentinel allows you to ingest Security alerts reported in Microsoft Defender for IoT on assessing your Internet of Things (IoT)/Operational Technology (OT) infrastructure.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-17","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef ;IoT OT Threat Monitoring with Defender for IoT;Microsoft Defender for IoT solution for Microsoft Sentinel","0.78","0.0","0","false","false","true","2026-04-02"
"IronNet IronDefense","IronNet IronDefense","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/IronNet%20IronDefense","ironnetcybersecurity1585849518753","irondefense-for-sentinel","2021-10-18","","2.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Solutions/IronNet%20IronDefense/Workbooks/Images/Logos/IronNet.svg","The [IronNet Collective Defense](https://www.ironnet.com/what-is-collective-defense) solution enables ingestion of IronDefense alerts, events, and IronDome notifications into Microsoft Sentinel, enabling Microsoft Sentinel to utilize IronDefense's behavioral analytics and the IronDome community to quickly identify threats in your enterprise network.

**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:
 a. [Agent-based log collection (CEF over Syslog)](https://docs.microsoft.com/azure/sentinel/connect-common-event-format)","","true","false","","false","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"Island","Island","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Island","islandtechnologyinc1679434413850","island-sentinel-solution","2023-05-02","2023-07-20","3.0.0","Island","Partner","https://www.island.io","Island - support@island.io","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/island.svg","The [Island Enterprise Browser](https://www.island.io/) solution for Microsoft Sentinel enables you to ingest events for both User Activity and Admin Audit via API using Microsoft Sentinel CCP Data Connectors.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/islandtechnologyinc1679434413850.island-sentinel-solution","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/islandtechnologyinc1679434413850.island-sentinel-solution","Island","Island Sentinel solution","The Island Sentinel solution provides data connectors and workbooks for User Activity and Admin Audit logs.","Island Technology Inc.","false","false","2023-05-17","2025-12-13","security;information-protection;threat-protection;it-and-management-tools-azure-apps;businessApplication;management-solutions;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Island;f1de974b-f438-4719-b423-8bf704ba2aef;Browser;Island","0.276","0.0","0","false","false","true","2026-04-02"
"Ivanti Unified Endpoint Management","Ivanti Unified Endpoint Management","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Ivanti%20Unified%20Endpoint%20Management","azuresentinel","azure-sentinel-solution-ivantiuem","2022-07-05","","3.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Ivanti Unified Endpoint Management](https://www.ivanti.com/products/endpoint-manager) data connector provides the capability to ingest [Ivanti UEM Alerts](https://help.ivanti.com/ld/help/en_US/LDMS/11.0/Windows/alert-c-monitoring-overview.htm) into Microsoft Sentinel. 

This solution is dependent on the Syslog solution containing the Syslog via AMA connector to collect the logs. The Syslog  solution will be installed as part of this solution installation. 

 **NOTE**: Microsoft recommends installation of Syslog via AMA Connector.Legacy connector uses the Log Analytics agent which were deprecated on **Aug 31, 2024.** Using MMA and AMA on same machine can cause log duplication and extra ingestion cost [more details](https://learn.microsoft.com/en-us/azure/sentinel/ama-migrate).","azuresentinel.azure-sentinel-solution-syslog","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-ivantiuem","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-ivantiuem","Ivanti Unified Endpoint Management","IvantiUEM gives you the ability to enforce policy and privileges everywhere in a few clicks.","The Ivanti Unified Endpoint Management gives you the ability to enforce policy and privileges everywhere in a few clicks, and discover and patch threats predictively and quickly.The result is better user experiences, and zero compromise on protection.","Microsoft Sentinel, Microsoft Corporation","false","false","2024-07-31","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Ivanti Unified Endpoint Management ;Ivanti Unified Endpoint Management","0.524","0.0","0","false","false","true","2026-04-02"
"JBoss","JBoss","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/JBoss","azuresentinel","azure-sentinel-solution-jboss","2021-10-20","","3.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The JBoss Enterprise Application Platform data connector provides the capability to ingest [JBoss](https://www.redhat.com/en/technologies/jboss-middleware/application-platform) events into Microsoft Sentinel. Refer to [Red Hat documentation](https://access.redhat.com/documentation/red_hat_jboss_enterprise_application_platform/7.0/html/configuration_guide/logging_with_jboss_eap) for more information.

 This solution is dependent on the Custom logs via AMA connector to collect the logs. The Custom logs solution will be installed as part of this solution installation.

 **NOTE**: Microsoft recommends installation of Custom logs via AMA Connector.Legacy connector uses the Log Analytics agent which were deprecated on **Aug 31, 2024.** Using MMA and AMA on same machine can cause log duplication and extra ingestion cost [more details](https://learn.microsoft.com/en-us/azure/sentinel/ama-migrate).","azuresentinel.azure-sentinel-solution-customlogsviaama","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-jboss","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-jboss","JBoss","JBoss delivers enterprise-grade security, performance, and scalability in any environment.","JBoss delivers enterprise-grade security, performance, and scalability in any environment. Whether on-premise; virtual; or in private, public, or hybrid clouds, JBoss EAP can help you deliver apps faster, everywhere.","Microsoft Sentinel, Microsoft Corporation","false","false","2024-08-21","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;JBoss;JBoss","0.214","0.0","0","false","false","true","2026-04-02"
"Jamf Protect","Jamf Protect","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Jamf%20Protect","jamfsoftwareaustraliaptyltd1620360395539","jamf_protect","2022-10-10","2025-09-02","3.3.0","Jamf Software, LLC","Partner","https://www.jamf.com/support/","Thijs Xhaflaire - thijs.xhaflaire@jamf.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/jamf_logo.svg","The [Jamf Protect](https://www.jamf.com/solutions/threat-prevention-remediation/) solution for Microsoft Sentinel enables you to ingest [Jamf Protect events](https://docs.jamf.com/jamf-protect/documentation/Data_Forwarding_to_a_Third_Party_Storage_Solution.html#task-4227) forwarded into Microsoft Sentinel using the Microsoft Sentinel Analytics Workspace.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/jamfsoftwareaustraliaptyltd1620360395539.jamf_protect","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/jamfsoftwareaustraliaptyltd1620360395539.jamf_protect","Jamf Protect for Microsoft Sentinel","Provide complete Apple Endpoint Security insights from Jamf Protect into Microsoft Sentinel.","Provide complete insight and visibility into your protected macOS endpoints, alongside other managed endpoints, all within a single Microsoft Sentinel workspace.
","Jamf Software, LLC","false","false","2023-02-21","2025-12-13","security;information-protection;threat-protection;compute-azure-apps;clientOS;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Apple Endpoint Security;Jamf Protect;f1de974b-f438-4719-b423-8bf704ba2aef;Jamf Protect for Microsoft Sentinel","0.838","4.858","2081","false","false","true","2026-04-02"
"JoeSandbox","JoeSandbox","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/JoeSandbox","joesecurity","azure-sentinel-solution-joesandbox","2025-09-12","","3.0.0","Stefan Bühlmann","Partner","https://www.joesecurity.org/support","Stefan Bühlmann","domains","Solutions/JoeSandbox/README.md","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/joesandbox.svg"," The JoeSandbox Connector for Microsoft Sentinel enhances security operations by providing enriched threat intelligence, enabling faster and more informed responses to security incidents. The integration has two main parts: first, URL detonation and enrichment, which provides detailed insights into suspicious URLs. Second, it automatically generates and feeds threat intelligence for all submissions to JoeSandbox, improving threat detection and incident response in Sentinel. This seamless integration empowers teams to proactively address emerging threats.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/joesecurity.azure-sentinel-solution-joesandbox","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/joesecurity.azure-sentinel-solution-joesandbox","Joe Sandbox for Microsoft Sentinel","Integrates Joe Sandbox threat intelligence and sandbox analysis results into Microsoft Sentinel","Integrates Joe Sandbox with Microsoft Sentinel to ingest threat intelligence and sandbox analysis data for indicator enrichment and enhanced alert and incident investigation.","Joe Security","false","false","2026-02-10","2026-02-18","threat-protection;security;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Joe Sandbox;URL and File Analysis;f1de974b-f438-4719-b423-8bf704ba2aef;Joe Sandbox for Microsoft Sentinel","0.0","0.0","0","false","false","true","2026-04-02"
"Joshua-Cyberiskvision","Joshua-Cyberiskvision","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Joshua-Cyberiskvision","almavivaspa1636563933762","joshua-cyberiskvision","2022-01-10","2022-01-10","2.0.0","Joshua Cyberiskvision","Partner","https://www.cyberiskvision.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","[Joshua Cyberiskvision](https://www.cyberiskvision.com/) enables organizations to define, monitor, analyze, and improve their level of Global Cybersecurity following a predictive and context-aware approach that uses a broad spectrum cyber intelligence-driven logic. The Joshua Solution automates the ingest of Joshua Cyberiskvision threat indicators into the ThreatIntelligenceIndicator table of Microsoft Sentinel workspace.","","false","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/almavivaspa1636563933762.joshua-cyberiskvision","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/almavivaspa1636563933762.joshua-cyberiskvision","Joshua Cyberisk Vision","Enabling actionable security data feed focused on NIS critical infrastructures","Joshua Cyberiskvision enables organizations to define, monitor, analyze and improve their level of Global Cybersecurity following a predictive and context-aware approach that uses a broad-spectrum cyber intelligence-driven logic.","Almaviva SpA","false","false","2024-11-08","2025-12-13","security;information-protection;threat-protection;firewalls;compute-azure-apps;networking;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","azure sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Joshua Cyberiskvision;Joshua Cyberisk Vision","0.0","0.0","0","false","false","true","2026-04-02"
"Juniper SRX","Juniper SRX","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Juniper%20SRX","azuresentinel","azure-sentinel-solution-junipersrx","2022-05-02","","3.0.2","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Juniper SRX](https://www.juniper.net/us/en/products/security/srx-series.html) solution for Microsoft Sentinel enables you to ingest Juniper SRX traffic and system logs into Microsoft Sentinel.

This solution is dependent on the Syslog solution containing the Syslog via AMA connector to collect the logs. The Syslog  solution will be installed as part of this solution installation. 

 **NOTE**: Microsoft recommends installation of Syslog via AMA Connector.Legacy connector uses the Log Analytics agent which were deprecated on **Aug 31, 2024.** Using MMA and AMA on same machine can cause log duplication and extra ingestion cost [more details](https://learn.microsoft.com/en-us/azure/sentinel/ama-migrate).","azuresentinel.azure-sentinel-solution-syslog","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-junipersrx","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-junipersrx","Juniper SRX","Juniper SRX","The Juniper SRX solution for Microsoft Sentinel enables you to ingest Juniper SRX traffic and system logs into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-03-14","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Juniper SRX;Juniper SRX","0.821","0.0","0","false","false","true","2026-04-02"
"JuniperIDP","JuniperIDP","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/JuniperIDP","azuresentinel","azure-sentinel-solution-juniperidp","2021-03-31","","3.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Juniper](https://www.juniper.net/) IDP solution provides the capability to ingest [Juniper IDP](https://www.juniper.net/documentation/us/en/software/junos/idp-policy/topics/topic-map/security-idp-overview.html) events into Microsoft Sentinel.

 This solution is dependent on the Custom logs via AMA connector to collect the logs. The Custom logs solution will be installed as part of this solution installation.

 **NOTE**: Microsoft recommends installation of Custom logs via AMA Connector. Legacy connector uses the Log Analytics agent which were deprecated on **Aug 31, 2024.** Using MMA and AMA on same machine can cause log duplication and extra ingestion cost [more details](https://learn.microsoft.com/en-us/azure/sentinel/ama-migrate).","azuresentinel.azure-sentinel-solution-customlogsviaama","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-juniperidp","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-juniperidp","Juniper IDP Solution","Monitor and analyze the events occurring in your network to detect and stop potential incidents.","The Juniper IDP solution provides the capability to ingest Juniper IDP events into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2024-08-20","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef ;Juniper;Juniper IDP Solution","0.627","0.0","0","false","false","true","2026-04-02"
"KQL Training","KQL Training","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/KQL%20Training","microsoftsentinelcommunity","azure-sentinel-solution-kqltraining","2022-11-30","","3.0.1","Community","Community","https://github.com/Azure/Azure-Sentinel/issues","Community","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The KQL Training solution for Microsoft Sentinel contains resources that can help up – skill on understanding the fundamentals and using KQL in advanced scenarios like authoring effective and optimized queries used in Microsoft Sentinel Analytics, Hunting Queries, Workbooks, etc. 

All content packaged in this solution is built and supported by the Microsoft Sentinel community. For any support, please create an [issue](https://github.com/Azure/Azure-Sentinel/issues) on the Microsoft Sentinel GitHub repository.","","false","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/microsoftsentinelcommunity.azure-sentinel-solution-kqltraining","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/microsoftsentinelcommunity.azure-sentinel-solution-kqltraining","KQL Training","KQL Training","The KQL Training solution for Microsoft Sentinel contains resources that can help up – skill on understanding the fundamentals and using KQL in advanced scenarios like authoring effective and optimized queries used in Sentinel Analytics, Hunting Queries.","Microsoft Sentinel Community, Microsoft Corporation","false","false","2023-09-12","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;KQL Training;KQL Training","0.778","0.0","0","false","false","true","2026-04-02"
"Keeper Security","Keeper Security","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Keeper%20Security","keepersecurity","keeper-security-integration","2025-06-03","2025-06-03","3.0.0","Keeper Security","Partner","https://www.keepersecurity.com","Joao Paulo Oliveira Santos - jsantos@keepersecurity.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/keeper_security.svg","The [Keeper Security](https://keepersecurity.com/) solution for Microsoft Sentinel enables you to ingest [Keeper Security](https://keepersecurity.com/) forwarded into Microsoft Sentinel using the Microsoft Sentinel Analytics Workspace.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/keepersecurity.keeper-security-integration","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/keepersecurity.keeper-security-integration","Keeper Security SIEM integration with Microsoft Sentinel","Stream logs from Keeper Security into Microsoft Sentinel for Threat Detection and Response","The Keeper Security integration for Microsoft Sentinel streams privileged access, vault activity, and audit events into Sentinel. Security teams gain visibility to detect threats, investigate incidents, and automate responses using Sentinel’s analytics.","Keeper Security, Inc.","false","false","2025-06-30","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","keeper;password;f1de974b-f438-4719-b423-8bf704ba2aef;Keeper Security SIEM integration with Microsoft Sentinel","0.898","0.0","0","false","false","true","2026-04-02"
