connector_id,connector_title,solution_name,collection_method,tried_slugs
Onapsis,Onapsis Defend Integration,Onapsis Defend,CCF Push,onapsis-defend-integration | onapsis-defend-integration-using-azure-functions | onapsis-defend-integration-using-azure-function | onapsis-defend-integration-via-codeless-connector-framework | onapsis-defend-integration-via-legacy-agent | onapsis-defend-integration-polling-ccf | onapsis-defend-integration-polling-ccp | onapsis-defend-integration-via-ama | onapsis-defend-integration-ccf | onapsis-defend-integration-ccp | onapsis-defend-integration-preview
OneIdentity,One Identity Safeguard,OneIdentity,AMA,one-identity-safeguard | one-identity-safeguard-using-azure-functions | one-identity-safeguard-using-azure-function | one-identity-safeguard-via-codeless-connector-framework | one-identity-safeguard-via-legacy-agent | one-identity-safeguard-polling-ccf | one-identity-safeguard-polling-ccp | one-identity-safeguard-via-ama | one-identity-safeguard-ccf | one-identity-safeguard-ccp | one-identity-safeguard-preview
OCI-Connector-CCP-Definition,Oracle Cloud Infrastructure (via CCP) – Preview,Oracle Cloud Infrastructure,CCF,oracle-cloud-infrastructure-via-ccp-preview | oracle-cloud-infrastructure-via-ccp--preview | oracle-cloud-infrastructure-via-using-azure-functions | oracle-cloud-infrastructure-via-using-azure-function | oracle-cloud-infrastructure-via-via-codeless-connector-framework | oracle-cloud-infrastructure-via-via-legacy-agent | oracle-cloud-infrastructure-via-polling-ccf | oracle-cloud-infrastructure-via-polling-ccp | oracle-cloud-infrastructure-via-via-ama | oracle-cloud-infrastructure-via-ccf | oracle-cloud-infrastructure-via-ccp | oracle-cloud-infrastructure-via-preview | oracle-cloud-infrastructure-via
RedCanaryDataConnector,Red Canary Threat Detection,Red Canary,REST Pull API,red-canary-threat-detection | red-canary-threat-detection-using-azure-functions | red-canary-threat-detection-using-azure-function | red-canary-threat-detection-via-codeless-connector-framework | red-canary-threat-detection-via-legacy-agent | red-canary-threat-detection-polling-ccf | red-canary-threat-detection-polling-ccp | red-canary-threat-detection-via-ama | red-canary-threat-detection-ccf | red-canary-threat-detection-ccp | red-canary-threat-detection-preview
RubrikProtectionStatus,Rubrik Security Cloud Protection Status (using Codeless Connector Framework),RubrikSecurityCloud,CCF,rubrik-security-cloud-protection-status-using-codeless-connector-framework | rubrik-security-cloud-protection-status-using-codeless-connector-framework-using-azure-functions | rubrik-security-cloud-protection-status-using-codeless-connector-framework-using-azure-function | rubrik-security-cloud-protection-status-using-codeless-connector-framework-via-codeless-connector-framework | rubrik-security-cloud-protection-status-using-codeless-connector-framework-via-legacy-agent | rubrik-security-cloud-protection-status-using-codeless-connector-framework-polling-ccf | rubrik-security-cloud-protection-status-using-codeless-connector-framework-polling-ccp | rubrik-security-cloud-protection-status-using-codeless-connector-framework-via-ama | rubrik-security-cloud-protection-status-using-codeless-connector-framework-ccf | rubrik-security-cloud-protection-status-using-codeless-connector-framework-ccp | rubrik-security-cloud-protection-status-using-codeless-connector-framework-preview
SalesforceAuditLogsConnector,Salesforce Audit Logs (via Codeless Connector Framework),Salesforce Service Cloud,CCF,salesforce-audit-logs-via-codeless-connector-framework | salesforce-audit-logs-using-azure-functions | salesforce-audit-logs-using-azure-function | salesforce-audit-logs-via-legacy-agent | salesforce-audit-logs-polling-ccf | salesforce-audit-logs-polling-ccp | salesforce-audit-logs-via-ama | salesforce-audit-logs-ccf | salesforce-audit-logs-ccp | salesforce-audit-logs-preview | salesforce-audit-logs
SecurityBridgeSAP,SecurityBridge Threat Detection for SAP,SecurityBridge App,AMA,securitybridge-threat-detection-for-sap | securitybridge-threat-detection-for-sap-using-azure-functions | securitybridge-threat-detection-for-sap-using-azure-function | securitybridge-threat-detection-for-sap-via-codeless-connector-framework | securitybridge-threat-detection-for-sap-via-legacy-agent | securitybridge-threat-detection-for-sap-polling-ccf | securitybridge-threat-detection-for-sap-polling-ccp | securitybridge-threat-detection-for-sap-via-ama | securitybridge-threat-detection-for-sap-ccf | securitybridge-threat-detection-for-sap-ccp | securitybridge-threat-detection-for-sap-preview
SecurityScorecardRatingsAzureFunctions,SecurityScorecard Cybersecurity Ratings,SecurityScorecard Cybersecurity Ratings,Azure Function,securityscorecard-cybersecurity-ratings | securityscorecard-cybersecurity-ratings-using-azure-functions | securityscorecard-cybersecurity-ratings-using-azure-function | securityscorecard-cybersecurity-ratings-via-codeless-connector-framework | securityscorecard-cybersecurity-ratings-via-legacy-agent | securityscorecard-cybersecurity-ratings-polling-ccf | securityscorecard-cybersecurity-ratings-polling-ccp | securityscorecard-cybersecurity-ratings-via-ama | securityscorecard-cybersecurity-ratings-ccf | securityscorecard-cybersecurity-ratings-ccp | securityscorecard-cybersecurity-ratings-preview
SecurityScorecardFactorAzureFunctions,SecurityScorecard Factor,SecurityScorecard Cybersecurity Ratings,Azure Function,securityscorecard-factor | securityscorecard-factor-using-azure-functions | securityscorecard-factor-using-azure-function | securityscorecard-factor-via-codeless-connector-framework | securityscorecard-factor-via-legacy-agent | securityscorecard-factor-polling-ccf | securityscorecard-factor-polling-ccp | securityscorecard-factor-via-ama | securityscorecard-factor-ccf | securityscorecard-factor-ccp | securityscorecard-factor-preview
SecurityScorecardIssueAzureFunctions,SecurityScorecard Issue,SecurityScorecard Cybersecurity Ratings,Azure Function,securityscorecard-issue | securityscorecard-issue-using-azure-functions | securityscorecard-issue-using-azure-function | securityscorecard-issue-via-codeless-connector-framework | securityscorecard-issue-via-legacy-agent | securityscorecard-issue-polling-ccf | securityscorecard-issue-polling-ccp | securityscorecard-issue-via-ama | securityscorecard-issue-ccf | securityscorecard-issue-ccp | securityscorecard-issue-preview
SemperisDSP,Semperis Directory Services Protector,Semperis Directory Services Protector,AMA,semperis-directory-services-protector | semperis-directory-services-protector-using-azure-functions | semperis-directory-services-protector-using-azure-function | semperis-directory-services-protector-via-codeless-connector-framework | semperis-directory-services-protector-via-legacy-agent | semperis-directory-services-protector-polling-ccf | semperis-directory-services-protector-polling-ccp | semperis-directory-services-protector-via-ama | semperis-directory-services-protector-ccf | semperis-directory-services-protector-ccp | semperis-directory-services-protector-preview
SenservaPro,SenservaPro (Preview),SenservaPro,REST Pull API,senservapro-preview | senservapro | senservapro-using-azure-functions | senservapro-using-azure-function | senservapro-via-codeless-connector-framework | senservapro-via-legacy-agent | senservapro-polling-ccf | senservapro-polling-ccp | senservapro-via-ama | senservapro-ccf | senservapro-ccp
SSG,SINEC Security Guard,SINEC Security Guard,REST Pull API,sinec-security-guard | sinec-security-guard-using-azure-functions | sinec-security-guard-using-azure-function | sinec-security-guard-via-codeless-connector-framework | sinec-security-guard-via-legacy-agent | sinec-security-guard-polling-ccf | sinec-security-guard-polling-ccp | sinec-security-guard-via-ama | sinec-security-guard-ccf | sinec-security-guard-ccp | sinec-security-guard-preview
SlackAudit,Slack,SlackAudit,CCF,slack | slack-using-azure-functions | slack-using-azure-function | slack-via-codeless-connector-framework | slack-via-legacy-agent | slack-polling-ccf | slack-polling-ccp | slack-via-ama | slack-ccf | slack-ccp | slack-preview
SophosCloudOptix,Sophos Cloud Optix,Sophos Cloud Optix,REST Pull API,sophos-cloud-optix | sophos-cloud-optix-using-azure-functions | sophos-cloud-optix-using-azure-function | sophos-cloud-optix-via-codeless-connector-framework | sophos-cloud-optix-via-legacy-agent | sophos-cloud-optix-polling-ccf | sophos-cloud-optix-polling-ccp | sophos-cloud-optix-via-ama | sophos-cloud-optix-ccf | sophos-cloud-optix-ccp | sophos-cloud-optix-preview
SquadraTechnologiesSecRMM,Squadra Technologies secRMM,Squadra Technologies SecRmm,REST Pull API,squadra-technologies-secrmm | squadra-technologies-secrmm-using-azure-functions | squadra-technologies-secrmm-using-azure-function | squadra-technologies-secrmm-via-codeless-connector-framework | squadra-technologies-secrmm-via-legacy-agent | squadra-technologies-secrmm-polling-ccf | squadra-technologies-secrmm-polling-ccp | squadra-technologies-secrmm-via-ama | squadra-technologies-secrmm-ccf | squadra-technologies-secrmm-ccp | squadra-technologies-secrmm-preview
TaniumConnector,Tanium's CCF Push Connector,Tanium,CCF Push,tanium-s-ccf-push-connector | taniums-ccf-push-connector | tanium-s-push-connector-using-azure-functions | tanium-s-push-connector-using-azure-function | tanium-s-push-connector-via-codeless-connector-framework | tanium-s-push-connector-via-legacy-agent | tanium-s-push-connector-polling-ccf | tanium-s-push-connector-polling-ccp | tanium-s-push-connector-via-ama | tanium-s-push-connector-ccf | tanium-s-push-connector-ccp | tanium-s-push-connector-preview | tanium-s-push-connector
TenableIOAPI,Tenable.io Vulnerability Management,TenableIO,Azure Function,tenable-io-vulnerability-management | tenableio-vulnerability-management | tenable-io-vulnerability-management-using-azure-functions | tenable-io-vulnerability-management-using-azure-function | tenable-io-vulnerability-management-via-codeless-connector-framework | tenable-io-vulnerability-management-via-legacy-agent | tenable-io-vulnerability-management-polling-ccf | tenable-io-vulnerability-management-polling-ccp | tenable-io-vulnerability-management-via-ama | tenable-io-vulnerability-management-ccf | tenable-io-vulnerability-management-ccp | tenable-io-vulnerability-management-preview
TheHiveProjectTheHive,TheHive Project - TheHive,TheHive,Azure Function,thehive-project-thehive | thehive-project---thehive | thehive-project-thehive-using-azure-functions | thehive-project-thehive-using-azure-function | thehive-project-thehive-via-codeless-connector-framework | thehive-project-thehive-via-legacy-agent | thehive-project-thehive-polling-ccf | thehive-project-thehive-polling-ccp | thehive-project-thehive-via-ama | thehive-project-thehive-ccf | thehive-project-thehive-ccp | thehive-project-thehive-preview
ThreatIntelligenceTaxiiExport,Threat intelligence - TAXII Export,Threat Intelligence (NEW),Native,threat-intelligence-taxii-export | threat-intelligence---taxii-export | threat-intelligence-taxii-export-using-azure-functions | threat-intelligence-taxii-export-using-azure-function | threat-intelligence-taxii-export-via-codeless-connector-framework | threat-intelligence-taxii-export-via-legacy-agent | threat-intelligence-taxii-export-polling-ccf | threat-intelligence-taxii-export-polling-ccp | threat-intelligence-taxii-export-via-ama | threat-intelligence-taxii-export-ccf | threat-intelligence-taxii-export-ccp | threat-intelligence-taxii-export-preview
TrendMicroCAS,Trend Micro Cloud App Security,Trend Micro Cloud App Security,Azure Function,trend-micro-cloud-app-security | trend-micro-cloud-app-security-using-azure-functions | trend-micro-cloud-app-security-using-azure-function | trend-micro-cloud-app-security-via-codeless-connector-framework | trend-micro-cloud-app-security-via-legacy-agent | trend-micro-cloud-app-security-polling-ccf | trend-micro-cloud-app-security-polling-ccp | trend-micro-cloud-app-security-via-ama | trend-micro-cloud-app-security-ccf | trend-micro-cloud-app-security-ccp | trend-micro-cloud-app-security-preview
CloudNSSAuditLogs_ccp,Zscaler Internet Access Cloud NSS Audit Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-audit-log-push-connector | zscaler-internet-access-cloud-nss-audit-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-audit-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-audit-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-audit-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-audit-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-audit-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-audit-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-audit-log-push-connector-ccf | zscaler-internet-access-cloud-nss-audit-log-push-connector-ccp | zscaler-internet-access-cloud-nss-audit-log-push-connector-preview
CloudNSSCASBActivityLogs_ccp,Zscaler Internet Access Cloud NSS CASB Activity Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-activity-log-push-connector | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-activity-log-push-connector-preview
CloudNSSCASBCloudStorageLogs_ccp,Zscaler Internet Access Cloud NSS CASB Cloud Storage Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-cloud-storage-log-push-connector-preview
CloudNSSCASBCollabLogs_ccp,Zscaler Internet Access Cloud NSS CASB Collaboration Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-collaboration-log-push-connector-preview
CloudNSSCASBCRMLogs_ccp,Zscaler Internet Access Cloud NSS CASB CRM Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-crm-log-push-connector | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-crm-log-push-connector-preview
CloudNSSCASBEmailLogs_ccp,Zscaler Internet Access Cloud NSS CASB Email Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-email-log-push-connector | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-email-log-push-connector-preview
CloudNSSCASBFileSharingLogs_ccp,Zscaler Internet Access Cloud NSS CASB File Sharing Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-file-sharing-log-push-connector-preview
CloudNSSCASBITSMLogs_ccp,Zscaler Internet Access Cloud NSS CASB ITSM Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-itsm-log-push-connector-preview
CloudNSSCASBRepoLogs_ccp,Zscaler Internet Access Cloud NSS CASB Repo Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-casb-repo-log-push-connector | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-ccf | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-ccp | zscaler-internet-access-cloud-nss-casb-repo-log-push-connector-preview
CloudNSSDNSLogs_ccp,Zscaler Internet Access Cloud NSS DNS Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-dns-log-push-connector | zscaler-internet-access-cloud-nss-dns-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-dns-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-dns-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-dns-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-dns-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-dns-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-dns-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-dns-log-push-connector-ccf | zscaler-internet-access-cloud-nss-dns-log-push-connector-ccp | zscaler-internet-access-cloud-nss-dns-log-push-connector-preview
CloudNSSEmailDLPLogs_ccp,Zscaler Internet Access Cloud NSS Email DLP Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-email-dlp-log-push-connector | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-ccf | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-ccp | zscaler-internet-access-cloud-nss-email-dlp-log-push-connector-preview
CloudNSSEndpointDLPLogs_ccp,Zscaler Internet Access Cloud NSS Endpoint DLP Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-ccf | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-ccp | zscaler-internet-access-cloud-nss-endpoint-dlp-log-push-connector-preview
CloudNSSFWLogs_ccp,Zscaler Internet Access Cloud NSS Firewall Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-firewall-log-push-connector | zscaler-internet-access-cloud-nss-firewall-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-firewall-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-firewall-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-firewall-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-firewall-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-firewall-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-firewall-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-firewall-log-push-connector-ccf | zscaler-internet-access-cloud-nss-firewall-log-push-connector-ccp | zscaler-internet-access-cloud-nss-firewall-log-push-connector-preview
CloudNSSTunnelLogs_ccp,Zscaler Internet Access Cloud NSS Tunnel Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-tunnel-log-push-connector | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-ccf | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-ccp | zscaler-internet-access-cloud-nss-tunnel-log-push-connector-preview
CloudNSSWebLogs_ccp,Zscaler Internet Access Cloud NSS Web Log Push Connector,Zscaler Internet Access,CCF Push,zscaler-internet-access-cloud-nss-web-log-push-connector | zscaler-internet-access-cloud-nss-web-log-push-connector-using-azure-functions | zscaler-internet-access-cloud-nss-web-log-push-connector-using-azure-function | zscaler-internet-access-cloud-nss-web-log-push-connector-via-codeless-connector-framework | zscaler-internet-access-cloud-nss-web-log-push-connector-via-legacy-agent | zscaler-internet-access-cloud-nss-web-log-push-connector-polling-ccf | zscaler-internet-access-cloud-nss-web-log-push-connector-polling-ccp | zscaler-internet-access-cloud-nss-web-log-push-connector-via-ama | zscaler-internet-access-cloud-nss-web-log-push-connector-ccf | zscaler-internet-access-cloud-nss-web-log-push-connector-ccp | zscaler-internet-access-cloud-nss-web-log-push-connector-preview
