Port,TCP,UDP,SCTP,DCCP,Description
1731 ,Unofficial ,Unofficial , , ,KDE Connect
1732 ,Unofficial ,Unofficial , , ,KDE Connect
1733 ,Unofficial ,Unofficial , , ,KDE Connect
1734 ,Unofficial ,Unofficial , , ,KDE Connect
1735 ,Unofficial ,Unofficial , , ,KDE Connect
1736 ,Unofficial ,Unofficial , , ,KDE Connect
1737 ,Unofficial ,Unofficial , , ,KDE Connect
1738 ,Unofficial ,Unofficial , , ,KDE Connect
1739 ,Unofficial ,Unofficial , , ,KDE Connect
1740 ,Unofficial ,Unofficial , , ,KDE Connect
1741 ,Unofficial ,Unofficial , , ,KDE Connect
1742 ,Unofficial ,Unofficial , , ,KDE Connect
1743 ,Unofficial ,Unofficial , , ,KDE Connect
1744 ,Unofficial ,Unofficial , , ,KDE Connect
1745 ,Unofficial ,Unofficial , , ,KDE Connect
1746 ,Unofficial ,Unofficial , , ,KDE Connect
1747 ,Unofficial ,Unofficial , , ,KDE Connect
1748 ,Unofficial ,Unofficial , , ,KDE Connect
1749 ,Unofficial ,Unofficial , , ,KDE Connect
1750 ,Unofficial ,Unofficial , , ,KDE Connect
1751 ,Unofficial ,Unofficial , , ,KDE Connect
1752 ,Unofficial ,Unofficial , , ,KDE Connect
1753 ,Unofficial ,Unofficial , , ,KDE Connect
1754 ,Unofficial ,Unofficial , , ,KDE Connect
1755 ,Unofficial ,Unofficial , , ,Microsoft Media Services (MMS - ms-streaming) OR KDE Connect
1756 ,Unofficial ,Unofficial , , ,KDE Connect
1757 ,Unofficial ,Unofficial , , ,KDE Connect
1758 ,Unofficial ,Unofficial , , ,KDE Connect
1759 ,Unofficial ,Unofficial , , ,KDE Connect
1764 ,Unofficial ,Unofficial , , ,KDE Connect
1761 ,Unofficial ,Unofficial , , ,Novell ZENworks
1776 ,Yes , , , ,Emergency management information system
1783 ,Reserved , , , ,"Decomissioned [sic] Port 04/14/00 - ms"
1801 ,Yes ,Yes , , ,Microsoft Message Queuing
1812 ,Yes ,Yes , , ,RADIUS authentication protocol - radius
1813 ,Yes ,Yes , , ,RADIUS accounting protocol - radius-acct
1863 ,Yes ,Yes , , ,Microsoft Notification Protocol (MSNP) - used by the Microsoft Messenger service and a number of instant messaging Messenger clients
1880 ,Unofficial , , , ,Node-RED
1883 ,Yes ,Yes , , ,MQTT (formerly MQ Telemetry Transport)
1900 ,Assigned ,Yes , , ,Simple Service Discovery Protocol (SSDP) - discovery of UPnP devices
1935 ,Yes ,Yes , , ,Macromedia Flash Communications Server MX - the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3 - 2005 - Real Time Messaging Protocol (RTMP) - primarily used in Adobe Flash
1965 ,Unofficial ,No , , ,Gemini - a lightweight - collaboratively designed protocol - striving to fill the gap between Gopher and HTTP
1967 , ,Unofficial , , ,Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol
1970 ,Yes ,Yes , , ,Netop Remote Control
1972 ,Yes ,Yes , , ,InterSystems Cache
1984 ,Yes ,Yes , , ,Big Brother
1985 ,Assigned ,Yes , , ,Cisco Hot Standby Router Protocol (HSRP)
1998 ,Yes ,Yes , , ,Cisco X.25 over TCP (XOT) service
2000 ,Yes ,Yes , , ,Cisco Skinny Client Control Protocol (SCCP)
2010 ,Unofficial , , , ,Artemis: Spaceship Bridge Simulator
2033 ,Unofficial ,Unofficial , , ,Civilization IV multiplayer
2049 ,Yes ,Yes ,Yes , ,Network File System (NFS)
2056 ,Unofficial ,Unofficial , , ,Civilization IV multiplayer
2080 ,Yes ,Yes , , ,Autodesk NLM (FLEXlm)
2082 ,Unofficial , , , ,cPanel default
2083 ,Yes ,Yes , , ,Secure RADIUS Service (radsec) - cPanel default SSL
2086 ,Yes ,Yes , , ,GNUnet - WebHost Manager default
2087 ,Unofficial , , , ,WebHost Manager default SSL
2095 ,Yes , , , ,cPanel default web mail
2096 ,Unofficial , , , ,cPanel default SSL web mail
2100 ,Unofficial , , , ,Warzone 2100 multiplayer
2101 ,Unofficial , , , ,Networked Transport of RTCM via Internet Protocol (NTRIP)
2102 ,Yes ,Yes , , ,Zephyr Notification Service server
2103 ,Yes ,Yes , , ,Zephyr Notification Service serv-hm connection
2104 ,Yes ,Yes , , ,Zephyr Notification Service hostmanager
2123 ,Yes ,Yes , , ,GTP control messages (GTP-C)
2142 ,Yes ,Yes , , ,TDMoIP (TDM over IP)
2152 ,Yes ,Yes , , ,GTP user data messages (GTP-U)
2159 ,Yes ,Yes , , ,GDB remote debug port
2181 ,Yes ,Yes , , ,EForward-document transport system - Apache ZooKeeper default client port
2195 ,Unofficial , , , ,Apple Push Notification Service
2196 ,Unofficial , , , ,Apple Push Notification Service - feedback service
2210 ,Yes ,Yes , , ,NOAAPORT Broadcast Network
2211 ,Yes ,Yes , , ,EMWIN
2221 ,Unofficial , , , ,ESET anti-virus updates
2222 ,Yes ,Yes , , ,EtherNet/IP implicit messaging for IO data - DirectAdmin Access
2222 ,Yes , , , ,ESET Remote administrator
2223 ,Yes , , , ,ESET Remote administrator
2224 ,Yes , , , ,ESET Remote administrator
2225 ,Yes , , , ,ESET Remote administrator
2226 ,Yes , , , ,ESET Remote administrator
2240 ,Yes ,Yes , , ,General Dynamics Remote Encryptor Configuration Information Protocol (RECIPe)
2261 ,Yes ,Yes , , ,CoMotion master
2262 ,Yes ,Yes , , ,CoMotion backup
2302 , ,Unofficial , , ,ArmA multiplayer - Halo: Combat Evolved multiplayer host
2303 , ,Unofficial , , ,ArmA multiplayer (default port for game +1) - Halo: Combat Evolved multiplayer listener
2305 , ,Unofficial , , ,ArmA multiplayer (default port for game +3)
2351 ,Unofficial , , , ,AIM game LAN network port
2368 ,Unofficial , , , ,Ghost (blogging platform)
2369 ,Unofficial , , , ,Default for BMC Control-M/Server Configuration Agent
2370 ,Unofficial , , , ,Default for BMC Control-M/Server - to allow the Control-M/Enterprise Manager to connect to the Control-M/Server
2372 ,Unofficial , , , ,Default for K9 Web Protection/parental controls - content filtering agent
2375 ,Yes ,Reserved , , ,Docker REST API (plain)
2376 ,Yes ,Reserved , , ,Docker REST API (SSL)
2377 ,Yes ,Reserved , , ,Docker Swarm cluster management communications
2379 ,Yes ,Reserved , , ,CoreOS etcd client communication OR KGS Go Server
2380 ,Yes ,Reserved , , ,CoreOS etcd server communication
2389 ,Assigned ,Assigned , , ,OpenView Session Mgr
2399 ,Yes ,Yes , , ,FileMaker Data Access Layer (ODBC/JDBC)
2401 ,Yes ,Yes , , ,CVS version control system password-based server
2404 ,Yes ,Yes , , ,IEC 60870-5-104 - used to send electric power telecontrol messages between two systems via directly connected data circuits
2424 ,Unofficial , , , ,OrientDB database listening for binary client connections
2427 ,Yes ,Yes , , ,Media Gateway Control Protocol (MGCP) media gateway
2447 ,Yes ,Yes , , ,ovwdb—OpenView Network Node Manager (NNM) daemon
2456 ,Unofficial ,Unofficial , , ,Valheim
2459 ,Yes ,Yes , , ,XRPL
2480 ,Unofficial , , , ,OrientDB database listening for HTTP client connections
2483 ,Yes ,Yes , , ,Oracle database listening for insecure client connections to the listener - replaces port 1521
2484 ,Yes ,Yes , , ,Oracle database listening for SSL client connections to the listener
2500 ,Unofficial ,Unofficial , , ,NetFS communication
2501 , ,Unofficial , , ,NetFS probe
2535 ,Yes ,Yes , , ,Multicast Address Dynamic Client Allocation Protocol (MADCAP). All standard messages are UDP datagrams.
2541 ,Yes ,Yes , , ,LonTalk/IP
2546 ,Yes ,Yes , , ,EVault data protection services
2547 ,Yes ,Yes , , ,EVault data protection services
2548 ,Yes ,Yes , , ,EVault data protection services
2593 ,Unofficial ,Unofficial , , ,Ultima Online servers
2598 ,Unofficial , , , ,Citrix Independent Computing Architecture (ICA) with Session Reliability; port 1494 without session reliability
2599 ,Unofficial ,Unofficial , , ,Ultima Online servers
2628 ,Yes ,Yes , , ,DICT
2638 ,Yes ,Yes , , ,SQL Anywhere database server
2710 ,Unofficial ,Unofficial , , ,XBT Tracker. UDP tracker extension is considered experimental.
2727 ,Yes ,Yes , , ,Media Gateway Control Protocol (MGCP) media gateway controller (call agent)
2775 ,Yes ,Yes , , ,Short Message Peer-to-Peer (SMPP)
2809 ,Yes ,Yes , , ,corbaloc:iiop URL - per the CORBA 3.0.3 specification
2811 ,Yes ,Yes , , ,gsi ftp - per the GridFTP specification
2827 ,Unofficial , , , ,I2P BOB Bridge
2944 ,Yes ,Yes , , ,Megaco text H.248
2945 ,Yes ,Yes , , ,Megaco binary (ASN.1) H.248
2947 ,Yes ,Yes , , ,gpsd - GPS daemon
2948–2949 ,Yes ,Yes , , ,WAP push Multimedia Messaging Service (MMS)
2967 ,Yes ,Yes , , ,Symantec System Center agent (SSC-AGENT)
3000 ,Unofficial , , , ,Ruby on Rails development default - Meteor development default - Resilio Sync - spun from BitTorrent Sync. - Create React App - script to create single-page React applications - GOGS (self-hosted GIT service)
3004 ,Unofficial , , , ,iSync
3020 ,Yes ,Yes , , ,Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB) - a dialect of CIFS.
3050 ,Yes ,Yes , , ,gds-db (Interbase/Firebird databases)
3052 ,Yes ,Yes , , ,APC PowerChute Network
3074 ,Yes ,Yes , , ,Xbox LIVE and Games for Windows – Live
3101 ,Unofficial , , , ,BlackBerry Enterprise Server communication protocol
3128 ,Unofficial ,No , , ,Squid caching web proxy
3225 ,Yes ,Yes , , ,Fibre Channel over IP (FCIP)
3233 ,Yes ,Yes , , ,WhiskerControl research control protocol
3260 ,Yes ,Yes , , ,iSCSI
3268 ,Yes ,Yes , , ,msft-gc - Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)
3269 ,Yes ,Yes , , ,msft-gc-ssl - Microsoft Global Catalog over SSL (similar to port 3268 - LDAP over SSL)
3283 ,Yes ,Yes , , ,Net Assistant - a predecessor to Apple Remote Desktop - Apple Remote Desktop 2.0 or later
3290 , ,Unofficial , , ,Virtual Air Traffic Simulation (VATSIM) network voice communication
3305 ,Yes ,Yes , , ,Odette File Transfer Protocol (OFTP)
3306 ,Yes ,Assigned , , ,MySQL database system
3323 ,Unofficial ,Unofficial , , ,DECE GEODI Server
3332 , ,Unofficial , , ,Thundercloud DataPath Overlay Control
3333 ,Unofficial , , , ,Eggdrop - an IRC bot default port - Network Caller ID server - CruiseControl.rb
3351 ,Unofficial , , , ,Pervasive PSQL
3386 ,Yes ,Yes , , ,GTP 3GPP GSM/UMTS CDR logging protocol
3389 ,Yes ,Yes , , ,Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT)
3396 ,Yes ,Yes , , ,Novell NDPS Printer Agent
3412 ,Yes ,Yes , , ,xmlBlaster
3423 ,Yes , , , ,Xware xTrm Communication Protocol
3424 ,Yes , , , ,Xware xTrm Communication Protocol over SSL
3435 ,Yes ,Yes , , ,Pacom Security User Port
3455 ,Yes ,Yes , , ,Resource Reservation Protocol (RSVP)
3478 ,Yes ,Yes , , ,STUN - a protocol for NAT traversal - TURN - a protocol for NAT traversal (extension to STUN) - STUN Behavior Discovery. See also port 5349.
3479 ,Unofficial ,Unofficial , , ,PlayStation Network
3480 ,Unofficial ,Unofficial , , ,PlayStation Network
3483 , ,Yes , , ,Slim Devices discovery protocol - Slim Devices SlimProto protocol
3493 ,Yes ,Yes , , ,Network UPS Tools (NUT)
3503 ,Yes ,Yes , , ,MPLS LSP-echo Port
3516 ,Yes ,Yes , , ,Smartcard Port
3527 , ,Yes , , ,Microsoft Message Queuing
3535 ,Unofficial , , , ,SMTP alternate
3544 , ,Yes , , ,Teredo tunneling
3551 ,Yes ,Yes , , ,Apcupsd Information Port
3601 ,Yes , , , ,SAP Message Server Port
3632 ,Yes ,Assigned , , ,Distcc - distributed compiler
3645 ,Yes ,Yes , , ,Cyc
3659 ,Yes ,Yes , , ,Apple SASL - used by macOS Server Password Server - Battlefield 4
3667 ,Yes ,Yes , , ,Information Exchange
3671 ,Yes ,Yes , , ,KNXnet/IP(EIBnet/IP)
3689 ,Yes ,Assigned , , ,Digital Audio Access Protocol (DAAP) - used by Apple's iTunes and AirPlay
3690 ,Yes ,Yes , , ,Subversion (SVN) version control system
3702 ,Yes ,Yes , , ,Web Services Dynamic Discovery (WS-Discovery) - used by various components of Windows Vista and later
3724 ,Yes ,Yes , , ,Some Blizzard games - Club Penguin Disney online game for kids
3725 ,Yes ,Yes , , ,Netia NA-ER Port
3749 ,Yes ,Yes , , ,CimTrak registered port
3768 ,Yes ,Yes , , ,RBLcheckd server daemon
3784 , ,Yes , , ,Bidirectional Forwarding Detection (BFD)for IPv4 and IPv6 (Single Hop) (RFC 5881)
3785 , ,Unofficial , , ,VoIP program used by Ventrilo
3799 , ,Yes , , ,RADIUS change of authorization
3804 ,Yes ,Yes , , ,Harman Professional HiQnet protocol
3825 ,Unofficial , , , ,RedSeal Networks client/server connection
3826 ,Yes ,Yes , , ,WarMUX game server - RedSeal Networks client/server connection
3835 ,Unofficial , , , ,RedSeal Networks client/server connection
3830 ,Yes ,Yes , , ,System Management Agent - developed and used by Cerner to monitor and manage solutions
3856 ,Unofficial ,Unofficial , , ,ERP Server Application used by F10 Software
3880 ,Yes ,Yes , , ,IGRS
3868 ,Yes , ,Yes , ,Diameter base protocol (RFC 3588)
3872 ,Yes , , , ,Oracle Enterprise Manager Remote Agent
3900 ,Yes , , , ,udt_os - IBM UniData UDT OS
3960 , ,Unofficial , , ,Warframe online interaction
3962 , ,Unofficial , , ,Warframe online interaction
3978 ,Unofficial ,Unofficial , , ,OpenTTD game (masterserver and content service)
3978 ,Unofficial , , , ,Palo Alto Networks Panorama management of firewalls and log collectors & pre-PAN-OS 8.0 Panorama-to-managed devices software updates.
3979 ,Unofficial ,Unofficial , , ,OpenTTD game
3999 ,Yes ,Yes , , ,Norman distributed scanning service
4000 ,Unofficial ,Unofficial , , ,Diablo II game
4001 ,Unofficial , , , ,Microsoft Ants game OR CoreOS etcd client communication
4018 ,Yes ,Yes , , ,Protocol information and warnings
4035 ,Unofficial , , , ,IBM Rational Developer for System z Remote System Explorer Daemon
4045 ,Unofficial ,Unofficial , , ,Solaris lockd NFS lock daemon/manager
4050 ,Unofficial , , , ,Mud Master Chat protocol (MMCP) - Peer-to-peer communications between MUD clients.
4069 , ,Yes , , ,Minger Email Address Verification Protocol
4070 ,Unofficial ,Unofficial , , ,Amazon Echo Dot (Amazon Alexa) streaming connection with Spotify
4089 ,Yes ,Yes , , ,OpenCORE Remote Control Service
4090 ,Yes ,Yes , , ,Kerio
4093 ,Yes ,Yes , , ,PxPlus Client server interface ProvideX
4096 ,Yes ,Yes , , ,Ascom Timeplex Bridge Relay Element (BRE)
4105 ,Yes ,Yes , , ,Shofar (ShofarNexus)
4111 ,Yes ,Assigned , , ,Xgrid
4116 ,Yes ,Yes , , ,Smartcard-TLS
4125 ,Unofficial , , , ,Microsoft Remote Web Workplace administration
4172 ,Yes ,Yes , , ,Teradici PCoIP
4190 ,Yes , , , ,ManageSieve
4195 ,Yes ,Yes ,Yes ,Yes ,AWS protocol for cloud remoting solution
4197 ,Yes ,Yes , , ,Harman International's HControl protocol for control and monitoring of Audio - Video - Lighting and Control equipment
4198 ,Unofficial ,Unofficial , , ,Couch Potato Android app
4201 ,Unofficial , , , ,TinyMUD and various derivatives
4222 ,Unofficial , , , ,NATS server default port
4226 ,Unofficial ,Unofficial , , ,Aleph One - a computer game
4242 ,Unofficial , , , ,Orthanc – DICOM server OR Quassel distributed IRC client
4243 ,Unofficial , , , ,Docker implementations - redistributions - and setups default OR CrashPlan
4244 ,Unofficial ,Unofficial , , ,Viber
4303 ,Yes ,Yes , , ,Simple Railroad Command Protocol (SRCP)
4307 ,Yes , , , ,TrueConf Client - TrueConf Server media data exchange
4321 ,Yes , , , ,Referral Whois (RWhois) Protocol
4444 ,Unofficial ,Unofficial , , ,Metasploit's default listener port OR Oracle WebCenter Content: Content Server—Intradoc Socket port. (formerly known as Oracle Universal Content Management). OR Xvfb X server virtual frame buffer service
4444 ,Unofficial , , , ,I2P HTTP/S proxy
4445 ,Unofficial , , , ,I2P HTTP/S proxy
4486 ,Yes ,Yes , , ,Integrated Client Message Service (ICMS)
4488 ,Yes ,Assigned , , ,Apple Wide Area Connectivity Service - used by Back to My Mac
4500 ,Assigned ,Yes , , ,IPSec NAT Traversal (RFC 3947 - RFC 4306)
4502 –- 4534 ,Yes , , , ,Microsoft Silverlight connectable ports under non-elevated trust
4505 ,Unofficial , , , ,Salt master
4506 ,Unofficial , , , ,Salt master
4534 , ,Unofficial , , ,Armagetron Advanced server default
4560 ,Unofficial , , , ,default Log4j socketappender port
4567 ,Unofficial , , , ,Sinatra default server port in development mode (HTTP)
4569 , ,Yes , , ,Inter-Asterisk eXchange (IAX2)
4604 ,Yes , , , ,Identity Registration Protocol
4605 ,Yes , , , ,Direct End to End Secure Chat Protocol
4610 –- 4640 ,Unofficial , , , ,QualiSystems TestShell Suite Services
4662 ,Yes ,Yes , , ,OrbitNet Message Service OR Default for older versions of eMule
4664 ,Unofficial , , , ,Google Desktop Search
4672 , ,Unofficial , , ,Default for older versions of eMule
4711 ,Unofficial , , , ,eMule optional web interface
4713 ,Unofficial , , , ,PulseAudio sound server
4723 ,Yes , , , ,Appium open source automation tool
4728 ,Yes , , , ,Computer Associates Desktop and Server Management (DMP)/Port Multiplexer
4730 ,Yes ,Yes , , ,Gearman's job server
4739 ,Yes ,Yes , , ,IP Flow Information Export
4747 ,Unofficial , , , ,Apprentice
4753 ,Yes ,Yes , , ,SIMON (service and discovery)
4789 , ,Yes , , ,Virtual eXtensible Local Area Network (VXLAN)
4791 , ,Yes , , ,IP Routable RocE (RoCEv2)
4840 ,Yes ,Yes , , ,OPC UA Connection Protocol (TCP) and OPC UA Multicast Datagram Protocol (UDP) for OPC Unified Architecture from OPC Foundation
4843 ,Yes ,Yes , , ,OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation
4847 ,Yes ,Yes , , ,Web Fresh Communication - Quadrion Software & Odorless Entertainment
4848 ,Unofficial , , , ,Java - Glassfish Application Server administration default
4894 ,Yes ,Yes , , ,LysKOM Protocol A
4944 ,No ,Unofficial , , ,DrayTek DSL Status Monitoring
4949 ,Yes , , , ,Munin Resource Monitoring Tool
4950 ,Yes ,Yes , , ,Cylon Controls UC32 Communications Port
5000 ,Unofficial , , , ,UPnP—Windows network device interoperability OR VTun - VPN Software OR ASP.NET Core — Development Webserver OR FlightGear multiplayer OR Synology Inc. Management Console - File Station - Audio Station OR Flask Development Webserver OR Heroku console access OR Docker Registry OR AT&T U-verse public - educational - and government access (PEG) streaming over HTTP OR High-Speed SECS Message Services OR 3CX Phone System Management Console/Web Client (HTTP) OR RidgeRun GStreamer Daemon (GSTD) OR Apple's AirPlay Receiver
5000 –- 5500 ,No ,Unofficial , , ,League of Legends - a multiplayer online battle arena video game
5001 ,Unofficial , , , ,Slingbox and Slingplayer OR Iperf (Tool for measuring TCP and UDP bandwidth performance) OR Synology Inc. Secured Management Console - File Station - Audio Station OR 3CX Phone System Management Console/Web Client (HTTPS)
5002 ,Unofficial , , , ,ASSA ARX access control system
5003 ,Yes ,Assigned , , ,FileMaker – name binding and transport
5004 ,Yes ,Yes , ,Yes ,Real-time Transport Protocol media data (RTP) (RFC 3551 - RFC 4571)
5005 ,Yes ,Yes , ,Yes ,Real-time Transport Protocol control protocol (RTCP) (RFC 3551 - RFC 4571)
5007 ,Unofficial , , , ,Palo Alto Networks - User-ID agent
5010 ,Yes ,Yes , , ,Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform) The TCP port is now used for: IBM WebSphere MQ Workflow
5011 ,Yes ,Yes , , ,TelePath (the IBM FlowMark workflow-management system messaging platform)
5025 ,Yes ,Yes , , ,scpi-raw Standard Commands for Programmable Instruments
5029 , ,Unofficial , , ,Sonic Robo Blast 2 and Sonic Robo Blast 2 Kart servers
5031 ,Unofficial ,Unofficial , , ,AVM CAPI-over-TCP (ISDN over Ethernet tunneling)
5037 ,Unofficial , , , ,Android ADB server
5044 ,Yes , , , ,Standard port in Filebeats/Logstash implementation of Lumberjack protocol.
5048 ,Yes , , , ,Texai Message Service
5050 ,Unofficial , , , ,Yahoo! Messenger
5051 ,Yes , , , ,ita-agent Symantec Intruder Alert
5060 ,Yes ,Yes , , ,Session Initiation Protocol (SIP)
5061 ,Yes , , , ,Session Initiation Protocol (SIP) over TLS
5062 ,Yes ,Yes , , ,Localisation access
5064 ,Yes ,Yes , , ,EPICS Channel Access server
5065 ,Assigned ,Yes , , ,EPICS Channel Access repeater beacon
5070 ,Unofficial ,No , , ,Binary Floor Control Protocol (BFCP)
5080 ,Unofficial ,Unofficial , , ,[NEC Phone System] NEC SV8100 and SV9100 MLC Phones Default iSIP Port
5084 ,Yes ,Yes , , ,EPCglobal Low Level Reader Protocol (LLRP)
5085 ,Yes ,Yes , , ,EPCglobal Low Level Reader Protocol (LLRP) over TLS
5090 ,Unofficial ,Unofficial , , ,3CX Phone System 3CX Tunnel Protocol - 3CX App API - 3CX Session Border Controller
5093 , ,Yes , , ,SafeNet - Inc Sentinel LM - Sentinel RMS - License Manager - client-to-server
5099 ,Yes ,Yes , , ,SafeNet - Inc Sentinel LM - Sentinel RMS - License Manager - server-to-server
5104 ,Unofficial , , , ,IBM Tivoli Framework NetCOOL/Impact HTTP Service
5121 ,Unofficial , , , ,Neverwinter Nights
5124 ,Unofficial ,Unofficial , , ,TorgaNET (Micronational Darknet)
5125 ,Unofficial ,Unofficial , , ,TorgaNET (Micronational Intelligence Darknet)
5150 ,Yes ,Yes , , ,ATMP Ascend Tunnel Management Protocol
5151 ,Yes , , , ,ESRI SDE Instance OR ESRI SDE Remote Start
5154 ,Yes ,Yes , , ,BZFlag
5172 ,Yes , , , ,PC over IP Endpoint Management
5190 ,Yes ,Yes , , ,AOL Instant Messenger protocol. The chat app is defunct as of 15 December 2017.
5198 , ,Unofficial , , ,EchoLink VoIP Amateur Radio Software (Voice)
5199 , ,Unofficial , , ,EchoLink VoIP Amateur Radio Software (Voice)
5200 ,Unofficial , , , ,EchoLink VoIP Amateur Radio Software (Information)
5201 ,Unofficial ,Unofficial , , ,Iperf3 (Tool for measuring TCP and UDP bandwidth performance)
5222 ,Yes ,Reserved , , ,Extensible Messaging and Presence Protocol (XMPP) client connection
5223 ,Unofficial , , , ,Apple Push Notification Service OR Extensible Messaging and Presence Protocol (XMPP) client connection over SSL
5228 ,Yes , , , ,HP Virtual Room Service OR Google Play - Android Cloud to Device Messaging Service - Google Cloud Messaging
5242 ,Unofficial ,Unofficial , , ,Viber
5243 ,Unofficial ,Unofficial , , ,Viber
5246 , ,Yes , , ,Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP control
5247 , ,Yes , , ,Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP data
5269 ,Yes , , , ,Extensible Messaging and Presence Protocol (XMPP) server-to-server connection
5280 ,Yes , , , ,Extensible Messaging and Presence Protocol (XMPP)
5281 ,Unofficial , , , ,Extensible Messaging and Presence Protocol (XMPP)
5298 ,Yes ,Yes , , ,Extensible Messaging and Presence Protocol (XMPP)
5310 ,Assigned ,Yes , , ,Outlaws - a 1997 first-person shooter video game
5318 ,Yes ,Reserved , , ,Certificate Management over CMS
5349 ,Yes ,Yes , , ,STUN over TLS/DTLS - a protocol for NAT traversal OR TURN over TLS/DTLS - a protocol for NAT traversal OR STUN Behavior Discovery over TLS. See also port 3478.
5351 ,Reserved ,Yes , , ,NAT Port Mapping Protocol and Port Control Protocol—client-requested configuration for connections through network address translators and firewalls
5353 ,Assigned ,Yes , , ,Multicast DNS (mDNS)
5355 ,Yes ,Yes , , ,Link-Local Multicast Name Resolution (LLMNR) - allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008)
5357 ,Unofficial ,Unofficial , , ,Web Services for Devices (WSDAPI) (only provided by Windows Vista - Windows 7 and Server 2008)
5358 ,Unofficial ,Unofficial , , ,WSDAPI Applications to Use a Secure Channel (only provided by Windows Vista - Windows 7 and Server 2008)
5394 , ,Unofficial , , ,Kega Fusion - a Sega multi-console emulator
5402 ,Yes ,Yes , , ,Multicast File Transfer Protocol (MFTP)
5405 ,Yes ,Yes , , ,NetSupport Manager
5412 ,Yes ,Yes , , ,IBM Rational Synergy (Telelogic Synergy) (Continuus CM) Message Router
5413 ,Yes ,Yes , , ,Wonderware SuiteLink service
5417 ,Yes ,Yes , , ,SNS Agent
5421 ,Yes ,Yes , , ,NetSupport Manager
5432 ,Yes ,Assigned , , ,PostgreSQL database system
5433 ,Unofficial , , , ,Bouwsoft file/webserver
5445 , ,Unofficial , , ,Cisco Unified Video Advantage
5450 ,Unofficial ,Unofficial , , ,OSIsoft PI Server Client Access
5457 ,Unofficial , , , ,OSIsoft PI Asset Framework Client Access
5458 ,Unofficial , , , ,OSIsoft PI Notifications Client Access
5480 ,Unofficial , , , ,VMware VAMI (Virtual Appliance Management Infrastructure)—used for initial setup of various administration settings on Virtual Appliances designed using the VAMI architecture.
5481 ,Unofficial , , , ,Schneider Electric's ClearSCADA (SCADA implementation for Windows) — used for client-to-server communication.
5495 ,Unofficial , , , ,IBM Cognos TM1 Admin server
5498 ,Unofficial , , , ,Hotline tracker server connection
5499 , ,Unofficial , , ,Hotline tracker server discovery
5500 ,Unofficial , , , ,Hotline control connection OR VNC Remote Frame Buffer RFB protocol—for incoming listening viewer
5501 ,Unofficial , , , ,Hotline file transfer connection
5517 ,Unofficial , , , ,Setiqueue Proxy server client for SETI@Home project
5550 ,Unofficial , , , ,Hewlett-Packard Data Protector
5554 ,Unofficial ,Unofficial , , ,Fastboot default wireless port
5555 ,Unofficial ,Unofficial , , ,Oracle WebCenter Content: Inbound Refinery—Intradoc Socket port. (formerly known as Oracle Universal Content Management). Port though often changed during installation OR Freeciv versions up to 2.0 - Hewlett-Packard Data Protector - McAfee EndPoint Encryption Database Server - SAP - Default for Microsoft Dynamics CRM 4.0 - Softether VPN default port OR Freeciv versions up to 2.0 - Hewlett-Packard Data Protector - McAfee EndPoint Encryption Database Server - SAP - Default for Microsoft Dynamics CRM 4.0 - Softether VPN default port
5556 ,Yes ,Yes , , ,Freeciv - Oracle WebLogic Server Node Manager
5568 ,Yes ,Yes , , ,Session Data Transport (SDT) - a part of Architecture for Control Networks (ACN)
5601 ,Unofficial , , , ,Kibana
5631 ,Yes , , , ,pcANYWHEREdata - Symantec pcAnywhere (version 7.52 and later data
5632 , ,Yes , , ,pcANYWHEREstat - Symantec pcAnywhere (version 7.52 and later) status
5656 ,Unofficial , , , ,IBM Lotus Sametime p2p file transfer
5666 ,Unofficial , , , ,NRPE (Nagios)
5667 ,Unofficial , , , ,NSCA (Nagios)
5670 ,Yes , , , ,FILEMQ ZeroMQ File Message Queuing Protocol OR ZRE-DISC ZeroMQ Realtime Exchange Protocol (Discovery)
5671 ,Yes ,Assigned , , ,Advanced Message Queuing Protocol (AMQP) over TLS
5672 ,Yes ,Assigned ,Yes , ,Advanced Message Queuing Protocol (AMQP)
5683 ,Yes ,Yes , , ,Constrained Application Protocol (CoAP)
5684 ,Yes ,Yes , , ,Constrained Application Protocol Secure (CoAPs)
5693 ,Unofficial , , , ,Nagios Cross Platform Agent (NCPA)
5701 ,Unofficial , , , ,Hazelcast default communication port
5718 ,Unofficial , , , ,Microsoft DPM Data Channel (with the agent coordinator)
5719 ,Unofficial , , , ,Microsoft DPM Data Channel (with the protection agent)
5722 ,Yes ,Yes , , ,Microsoft RPC - DFSR (SYSVOL) Replication Service
5723 ,Unofficial , , , ,System Center Operations Manager
5724 ,Unofficial , , , ,Operations Manager Console
5741 ,Yes ,Yes , , ,IDA Discover Port 1
5742 ,Yes ,Yes , , ,IDA Discover Port 2
