sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2811952,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects exploitation attempts targeting vulnerabilities in web browsers, specifically indicating that an attacker may be trying to exploit a client-side vulnerability to gain initial access to the system.",ext to int,CVE-2015-2401,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-1767 and CVE-2015-2408.",8,Advanced Persistent Threats (APTs),"The rule detects a specific memory corruption vulnerability in Internet Explorer, which can lead to successful compromises if exploited, thus warranting a high impact score.","web,client,exploit,vulnerability,Web_Client_Attacks**"
2811953,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Client Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability in Internet Explorer, indicating an attempt to compromise the client endpoint through a web application, which aligns with the Initial Access phase.",ext to int,CVE-2015-2403,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 8 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability in Internet Explorer that could lead to a successful compromise of the client endpoint, warranting a high impact score.","memory,vulnerability,web,exploit,Web_Client_Attacks**"
2811954,Initial Access,Exploit Public-Facing Application,TA0001,Exploitation of Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability in a web browser, which is a common method for gaining initial access to a system.",ext to int,CVE-2015-2404,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2385, CVE-2015-2390, CVE-2015-2397, CVE-2015-2406, and CVE-2015-2422.",8,Malware,"The rule detects a known memory corruption vulnerability (CVE-2015-2404) in Internet Explorer, which can lead to successful exploitation and potential compromise of client endpoints.","web,exploit,client,vulnerability,Web_Client_Attacks**"
2811955,Initial Access,Exploit Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects attempts to exploit a known vulnerability (CVE-2015-2404) in Internet Explorer, which aligns with the initial access phase where attackers exploit public-facing applications to gain entry into a system.",ext to int,CVE-2015-2404,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2385, CVE-2015-2390, CVE-2015-2397, CVE-2015-2406, and CVE-2015-2422.",7,Advanced Persistent Threats (APTs),The rule detects a known memory corruption vulnerability in Internet Explorer that could lead to successful exploitation and compromise of client endpoints.,"webclient,vulnerability,exploit,javascript,Web_Client_Attacks**"
2811956,Initial Access,Exploitation for Client Execution,TA0040,Exploitation of Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability in Internet Explorer, which is indicative of an initial access attempt through client-side exploitation.",ext to int,CVE-2015-2406,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2385, CVE-2015-2390, CVE-2015-2397, CVE-2015-2404, and CVE-2015-2422.",7,Advanced Persistent Threats (APTs),"The rule detects a specific memory corruption vulnerability in Internet Explorer that could lead to a successful compromise of client endpoints, warranting a higher impact score.","web,exploit,client,vulnerability,Web_Client_Attacks**"
2811957,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a vulnerability in Internet Explorer that can be exploited to execute arbitrary code on the client endpoint, indicating an initial access vector through exploitation.",ext to int,CVE-2015-2408,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-1767 and CVE-2015-2401.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-2408) that can lead to a successful compromise of client endpoints, indicating a significant threat level.","webclient,exploit,vulnerability,javascript,Web_Client_Attacks**"
2811958,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects a vulnerability in Internet Explorer (CVE-2015-2411) that can be exploited to execute arbitrary code on the client, indicating an initial access attempt through client exploitation.",ext to int,CVE-2015-2411,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 10 and 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-1733 and CVE-2015-2389.",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to successful exploitation and potential takeover of client endpoints.","web,client,exploit,vulnerability,Web_Client_Attacks**"
2811960,Initial Access,Exploitation of Public-Facing Application,T1190,Exploitation of Vulnerability,T1203,"The rule detects exploitation attempts against web browsers, specifically targeting vulnerabilities like CVE-2015-2421, indicative of initial access through exploitation of web applications.",ext to int,CVE-2015-2421,7/14/15 21:59,2.9,8.6,"Microsoft Internet Explorer 6 through 11 allows remote attackers to bypass the ASLR protection mechanism via a crafted web site, aka ""Internet Explorer ASLR Bypass.""",8,Advanced Persistent Threats (APTs),"The rule detects an attempted exploitation of a known vulnerability (CVE-2015-2421) in Internet Explorer, indicating a successful compromise attempt rather than just a potential one.","aslr,exploit,webclient,browser,Web_Client_Attacks**"
2811961,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule detects attempts to exploit a known vulnerability in Internet Explorer (CVE-2015-2422) through crafted web content, indicating an initial access attempt via exploitation.",ext to int,CVE-2015-2422,7/14/15 21:59,10,8.6,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2385, CVE-2015-2390, CVE-2015-2397, CVE-2015-2404, and CVE-2015-2406.",8,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to successful exploitation and compromise of client endpoints.","memory,vulnerability,web,exploit,Web_Client_Attacks**"
2812122,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects exploitation attempts targeting vulnerabilities in web browsers, which aligns with initial access tactics where attackers exploit public-facing applications to gain entry into a system.",ext to int,CVE-2015-2425,7/14/15 21:59,5.9,2.8,"Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2383 and CVE-2015-2384.",8,Malware,The rule detects a known memory corruption vulnerability in Internet Explorer that can lead to successful exploitation and potential compromise of client endpoints.,"client,javascript,vulnerability,exploit,Web_Client_Attacks**"
2812338,Initial Access,Exploit Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule detects a known vulnerability (CVE-2015-2442) in Internet Explorer that could be exploited via malicious web content, indicating an initial access attempt through a public-facing application.",ext to int,CVE-2015-2442,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 8 through 11 and Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2444.",7,Malware,The rule detects a known vulnerability in Internet Explorer that could lead to a successful compromise of a client endpoint.,"web,client,vulnerability,exploit,Web_Client_Attacks**"
2812339,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects a memory corruption vulnerability in Internet Explorer, which can be exploited to execute arbitrary code on the client system, leading to initial access.",ext to int,CVE-2015-2443,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 10 and 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability.""",8,Malware,"The rule detects a known vulnerability (CVE-2015-2443) in Internet Explorer that can lead to successful compromises through memory corruption, indicating a significant security risk.","memory,vulnerability,web,client,Web_Client_Attacks**"
2812341,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a memory corruption vulnerability in Internet Explorer, which is typically exploited to gain initial access to a system via malicious web content, aligning with the Initial Access phase.",ext to int,CVE-2015-2446,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 11 and Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2447.",7,Malware,"The rule detects a known vulnerability that can lead to successful compromise of client endpoints, specifically targeting Internet Explorer.","memory,vulnerability,webclient,exploit,Web_Client_Attacks**"
2812342,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule targets a specific memory corruption vulnerability in Internet Explorer, indicating an attempt to exploit a weakness in a public-facing application to gain initial access.",ext to int,CVE-2015-2448,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 9 and 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability.""",7,Malware,"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to a successful compromise of client endpoints.","webclient,exploit,vulnerability,javascript,Web_Client_Attacks**"
2812343,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability in Internet Explorer (CVE-2015-2450), which aligns with initial access tactics where attackers exploit vulnerabilities in public-facing applications to gain entry into a system.",ext to int,CVE-2015-2450,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2451.",7,Advanced Persistent Threats (APTs),The rule detects a known memory corruption vulnerability in Internet Explorer that can lead to successful exploitation and compromise of client endpoints.,"memory,vulnerability,web,exploit,Web_Client_Attacks**"
2812344,Initial Access,Exploitation of Vulnerability,TA0041,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability in a web browser (CVE-2015-2452) which aligns with initial access tactics, as attackers often exploit client-side vulnerabilities to gain access to systems.",ext to int,CVE-2015-2452,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2441.",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability (CVE-2015-2452) that can lead to successful compromise of client endpoints, indicating a significant security threat.","memory,vulnerability,exploit,web,Web_Client_Attacks**"
2812481,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule targets potential exploits against web browsers, indicating an attempt to compromise client endpoints through vulnerabilities in public-facing applications, which aligns with the Initial Access phase.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a possible exploit targeting client software, suggesting a successful compromise may occur if exploited, hence the score is above 5.","client,exploit,pdf,targeted,Web_Client_Attacks**"
2812482,Initial Access,Drive-by Compromise,T1189,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation of vulnerabilities in web browsers through payloads targeting client software, indicative of initial access attempts via drive-by downloads.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a possible exploit in a web client, indicating a successful compromise attempt targeting client endpoints, which can lead to significant security breaches.","client,exploit,web,targeted,Web_Client_Attacks**"
2812483,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts against web client software, indicative of initial access through vulnerabilities in public-facing applications like web browsers.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential client exploit in progress, indicating a successful compromise is likely, especially with known malicious servers involved.","client,exploit,targeted,web,Web_Client_Attacks**"
2812484,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of vulnerabilities in web browsers, which aligns with initial access techniques that leverage client-side exploits to compromise endpoints.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a possible exploit targeting web client software, indicating a successful compromise may be in progress, which poses a significant threat to client endpoints.","exploit,client,targeted,web,Web_Client_Attacks**"
2812485,Initial Access,Exploitation of Public-Facing Application,T1190,Exploitation of Client Application,T1203,"The rule detects potential exploitation of vulnerabilities in web client software (e.g., browsers) which is commonly used to gain initial access to a system through drive-by download attacks.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential exploit in a client application, indicating a successful compromise may be in progress, especially in conjunction with known malicious servers.","client,exploit,targeted,web,Web_Client_Attacks**"
2812506,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects attempts to exploit a vulnerability in web browsers (CVE-2015-2502), which is indicative of initial access through client-side exploitation.",ext to int,CVE-2015-2502,8/19/15 10:59,5.9,2.8,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" as exploited in the wild in August 2015.",7,Malware,The rule detects an attempted exploit of a known vulnerability (CVE-2015-2502) that can lead to memory corruption and potential compromise of the client endpoint.,"memory,vulnerability,web,client,Web_Client_Attacks**"
2812514,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability (CVE-2015-2502) in a web browser, which is indicative of an initial access attempt via a client-side exploit.",ext to int,CVE-2015-2502,8/19/15 10:59,5.9,2.8,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" as exploited in the wild in August 2015.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-2502) that can lead to successful exploitation of a web browser, indicating a high potential for compromise if exploited.","web,vulnerability,client,attack,Web_Client_Attacks**"
2812907,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule targets a known vulnerability in Microsoft Internet Explorer (CVE-2015-2483) that can be exploited via web browsers, indicating an initial access attempt through exploitation of a public-facing application.",ext to int,CVE-2015-2483,9/9/15 0:59,2.9,10,"Microsoft Internet Explorer 10 and 11 allows remote attackers to obtain sensitive information from process memory via a crafted web site, aka ""Information Disclosure Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects an exploit (CVE-2015-2483) targeting Microsoft Internet Explorer, indicating a successful compromise of a client endpoint, which can lead to further exploitation or data exfiltration.","memory,corruption,webclient,exploit,Web_Client_Attacks**"
2812908,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203.001,"The rule detects a vulnerability in Internet Explorer (CVE-2015-2485) that could be exploited to execute malicious code on the client endpoint, indicating an initial access attempt via exploitation.",ext to int,CVE-2015-2485,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 9 through 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2491 and CVE-2015-2541.",7,Advanced Persistent Threats (APTs),"The rule detects an attempt to exploit a known vulnerability (CVE-2015-2485) in Internet Explorer, indicating a successful compromise could lead to serious security breaches.","memory,vulnerability,webclient,exploit,Web_Client_Attacks**"
2812910,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a memory corruption vulnerability in Internet Explorer that can be exploited to execute malicious code on the client endpoint, indicating an initial access attempt through exploitation.",ext to int,CVE-2015-2491,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2485 and CVE-2015-2541.",8,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-2491) that can lead to a successful compromise of client endpoints, indicating a high impact on security.","web,exploit,client,vulnerability,Web_Client_Attacks**"
2812911,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects exploitation attempts against a vulnerability in Internet Explorer, which aligns with initial access tactics where attackers exploit public-facing applications to gain entry into a network.",ext to int,CVE-2015-2490,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2486, CVE-2015-2487, CVE-2015-2492, CVE-2015-2494, CVE-2015-2498, and CVE-2015-2499.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-2490) that can lead to successful exploitation of client endpoints, indicating a higher risk of compromise.","webclient,vulnerability,attempted-user,exploit,Web_Client_Attacks**"
2812912,Initial Access,Exploitation of Remote Services,T1210,Exploitation of Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability in Internet Explorer, indicating an attempt to gain initial access to the client endpoint.",ext to int,CVE-2015-2499,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2486, CVE-2015-2487, CVE-2015-2490, CVE-2015-2492, CVE-2015-2494, and CVE-2015-2498.",8,Malware,The rule detects a known memory corruption vulnerability in Internet Explorer that could lead to successful exploitation and compromise of client endpoints.,"webclient,exploit,vulnerability,javascript,Web_Client_Attacks**"
2812913,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203.001,"The rule targets a known vulnerability in Internet Explorer (CVE-2015-2501) that can be exploited to execute malicious payloads on client endpoints, indicating an initial access phase through exploitation.",ext to int,CVE-2015-2501,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability.""",7,Advanced Persistent Threats (APTs),The rule detects a known memory corruption vulnerability in Internet Explorer that can lead to successful exploitation and compromise of client endpoints.,"webclient,exploit,vulnerability,javascript,Web_Client_Attacks**"
2812914,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects an exploit targeting vulnerabilities in web browsers, which is a common method for attackers to gain initial access to a system.",ext to int,CVE-2015-2509,9/9/15 0:59,10,8.6,"Windows Media Center in Microsoft Windows Vista SP2, Windows 7 SP1, Windows 8, and Windows 8.1 allows user-assisted remote attackers to execute arbitrary code via a crafted Media Center link (mcl) file, aka ""Windows Media Center RCE Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a potential remote code execution vulnerability that could lead to a successful compromise of client endpoints, indicating a high impact.","remote,execution,web,client,Web_Client_Attacks**"
2812915,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects potential exploitation of a vulnerability in web client applications, specifically targeting browsers, which aligns with initial access tactics where attackers exploit public-facing applications to gain entry into a system.",ext to int,CVE-2015-2509,9/9/15 0:59,10,8.6,"Windows Media Center in Microsoft Windows Vista SP2, Windows 7 SP1, Windows 8, and Windows 8.1 allows user-assisted remote attackers to execute arbitrary code via a crafted Media Center link (mcl) file, aka ""Windows Media Center RCE Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a potential successful compromise via a known vulnerability (CVE-2015-2509) that could allow remote code execution, indicating a serious threat to client endpoints.","remote,execution,web,client,Web_Client_Attacks**"
2812950,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects potential exploitation of a vulnerability in web client software, specifically targeting browsers to gain initial access to a client endpoint.",ext to int,CVE-2015-2509,9/9/15 0:59,10,8.6,"Windows Media Center in Microsoft Windows Vista SP2, Windows 7 SP1, Windows 8, and Windows 8.1 allows user-assisted remote attackers to execute arbitrary code via a crafted Media Center link (mcl) file, aka ""Windows Media Center RCE Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a potential successful remote code execution exploit targeting Windows Media Center, which can lead to full system compromise.","rce,webclient,exploit,initialaccess,Web_Client_Attacks**"
2812951,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects a potential exploit targeting vulnerabilities in web browsers, specifically related to remote code execution, which aligns with the Initial Access phase as attackers aim to gain entry into the system.",ext to int,CVE-2015-2509,9/9/15 0:59,10,8.6,"Windows Media Center in Microsoft Windows Vista SP2, Windows 7 SP1, Windows 8, and Windows 8.1 allows user-assisted remote attackers to execute arbitrary code via a crafted Media Center link (mcl) file, aka ""Windows Media Center RCE Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a potential successful exploitation of a known vulnerability in Windows Media Center, which could lead to remote code execution and compromise of client endpoints.","remote,execution,client,exploit,Web_Client_Attacks**"
2812952,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects an exploit targeting vulnerabilities in web client software, which aligns with the Initial Access phase where attackers attempt to gain entry into a system using exploits against public-facing applications.",ext to int,CVE-2015-2509,9/9/15 0:59,10,8.6,"Windows Media Center in Microsoft Windows Vista SP2, Windows 7 SP1, Windows 8, and Windows 8.1 allows user-assisted remote attackers to execute arbitrary code via a crafted Media Center link (mcl) file, aka ""Windows Media Center RCE Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects a potential successful exploitation of a known vulnerability (CVE-2015-2509) that could lead to remote code execution on client endpoints, indicating a significant security impact.","rce,webclient,exploit,cve,Web_Client_Attacks**"
2814343,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule targets a specific vulnerability (CVE-2015-2515) in Internet Explorer, indicating an attempt to exploit a weakness in a public-facing application to gain initial access to a client endpoint.",ext to int,CVE-2015-2515,10/14/15 1:59,10,8.6,"Use-after-free vulnerability in Windows Shell in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 allows remote attackers to execute arbitrary code via a crafted toolbar object, aka ""Toolbar Use After Free Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to successful compromise of client endpoints, hence the higher impact score.","memory,vulnerability,client,exploit,Web_Client_Attacks**"
2814345,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a vulnerability in Internet Explorer (CVE-2015-6042) that could be exploited through malicious web content, leading to initial access via client exploitation.",ext to int,CVE-2015-6042,10/14/15 1:59,10,8.6,"Use-after-free vulnerability in the CWindow object implementation in Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a specific memory corruption vulnerability that can lead to successful exploitation of the client endpoint, indicating a high potential for compromise.","webclient,vulnerability,exploit,javascript,Web_Client_Attacks**"
2814346,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule focuses on detecting exploitation attempts of vulnerabilities in web browsers, specifically targeting clients through malicious JavaScript payloads, which aligns with initial access techniques used to compromise endpoints.",ext to int,CVE-2015-6048,10/14/15 1:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6049.",7,Malware,The rule detects a known memory corruption vulnerability in Internet Explorer that can lead to successful exploitation and compromise of client endpoints.,"web,client,exploit,vulnerability,Web_Client_Attacks**"
2814347,Initial Access,Exploitation of Remote Services,T1210,Exploitation of Client-side Vulnerabilities,T1203,"The rule detects an exploitation attempt targeting a known vulnerability in Internet Explorer, which aligns with initial access through client-side exploitation.",ext to int,CVE-2015-6049,10/14/15 1:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6048.",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability that can lead to a successful compromise of client endpoints, which is critical.","memory,vulnerability,web,exploit,Web_Client_Attacks**"
2814348,Initial Access,Exploitation of Vulnerability,TA0041,Exploitation of Client-side Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability (CVE-2015-6050) in Internet Explorer, which is indicative of an attack attempting to gain initial access through client-side exploitation.",ext to int,CVE-2015-6050,10/14/15 1:59,10,8.6,"Microsoft Internet Explorer 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-6050) that could lead to a successful compromise if exploited, indicating a significant security impact.","memory,vulnerability,client,exploit,Web_Client_Attacks**"
2814359,Initial Access,Drive-by Compromise,T1189,Malicious Link,T1203,"The rule detects patterns indicative of a web client being redirected to potentially malicious content, suggesting an attempt to exploit vulnerabilities in web browsers for initial access.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential successful compromise involving a targeted attack aimed at client-side exploitation, which warrants a higher impact score.","apt,redirect,client,targeted"
2814383,Initial Access,Initial Access,TA0001,Malicious Link,T1203,"The rule detects potential redirection to a malicious plugin, indicative of an initial access attempt where an attacker tries to lure users into executing malicious content.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule indicates a potential successful compromise through APT tactics, particularly redirecting users to a malicious site, which is indicative of targeted activity.","apt,redirect,client,targeted"
2814416,Initial Access,Drive-by Compromise,T1189,Malicious File,T1203,"The detection rule identifies a compromised iframe being injected into a Magento site, which is indicative of a drive-by compromise where users may be exploited simply by visiting a malicious site.",ext to int,,,,,,8,Malware,"The rule detects a successful compromise involving a malicious iframe targeting Magento, indicating potential malware delivery to clients.","iframe,injection,web,client"
2814826,Initial Access,Exploitation for Client Execution,T1203,Exploitation of Client Execution,T1203.001,"The rule detects exploitation attempts targeting vulnerabilities in web client software, specifically through JavaScript payloads, which aligns with initial access methods used to compromise endpoints.",ext to int,CVE-2015-6064,11/11/15 11:59,10,8.6,"Microsoft Internet Explorer 10 and 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Microsoft Browser Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6084 and CVE-2015-6085.",8,Malware,The rule detects a known vulnerability (CVE-2015-6064) that can lead to a successful compromise of the client endpoint through exploit attempts against web browser software.,"client,exploit,javascript,vulnerability,Web_Client_Attacks**"
