Alert,Description,Tactic,Severity,Provider,Detection Service
Indicators associated with DDOS toolkit detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected file names that are part of a toolkit associated with malware capable of launching DDoS attacks, opening ports and services and taking full control over the infected system. This could also possibly be legitimate activity. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Azure Defender
Indicators associated with DDOS toolkit detected,"Analysis of host data on %{Compromised Host} detected file names that are part of a toolkit associated with malware capable of launching DDoS attacks, opening ports and services and taking full control over the infected system. This could also possibly be legitimate activity.",-,Medium,Linux,Azure Defender
Local host reconnaissance detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of a command normally associated with common Linux bot reconnaissance. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Local host reconnaissance detected,Analysis of host data on %{Compromised Host} detected the execution of a command normally associated with common Linux bot reconnaissance.,-,Medium,Linux,Azure Defender
Manipulation of host firewall detected [seen multiple times],Analysis of host data on %{Compromised Host} detected possible manipulation of the on-host firewall. Attackers will often disable this to exfiltrate data. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Manipulation of host firewall detected,Analysis of host data on %{Compromised Host} detected possible manipulation of the on-host firewall. Attackers will often disable this to exfiltrate data.,-,Medium,Linux,Azure Defender
MITRE Caldera agent detected(VM_MitreCalderaTools),Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on %{Compromised Host}. This is often associated with the MITRE 54ndc47 agent which could be used maliciously to attack other machines in some way.,All,Medium,Linux,Azure Defender
New SSH key added [seen multiple times],A new SSH key was added to the authorized keys file. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Azure Defender
New SSH key added,A new SSH key was added to the authorized keys file,-,Low,Linux,Azure Defender
Possible attack tool detected [seen multiple times],Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on %{Compromised Host}. This tool is often associated with malicious users attacking other machines in some way. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Possible attack tool detected,Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on %{Compromised Host}. This tool is often associated with malicious users attacking other machines in some way.,-,Medium,Linux,Azure Defender
Possible backdoor detected [seen multiple times],Analysis of host data has detected a suspicious file being downloaded then run on %{Compromised Host} in your subscription. This activity has previously been associated with installation of a backdoor. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Possible credential access tool detected [seen multiple times],Machine logs indicate a possible known credential access tool was running on %{Compromised Host} launched by process: '%{Suspicious Process}'. This tool is often associated with attacker attempts to access credentials. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Possible credential access tool detected,Machine logs indicate a possible known credential access tool was running on %{Compromised Host} launched by process: '%{Suspicious Process}'. This tool is often associated with attacker attempts to access credentials.,-,Medium,Linux,Azure Defender
Possible exploitation of Hadoop Yarn,Analysis of host data on %{Compromised Host} detected the possible exploitation of the Hadoop Yarn service.,-,Medium,Linux,Azure Defender
Possible exploitation of the mailserver detected(VM_MailserverExploitation ),Analysis of host data on %{Compromised Host} detected an unusual execution under the mail server account,Exploitation,Medium,Linux,Azure Defender
Possible Log Tampering Activity Detected [seen multiple times],Analysis of host data on %{Compromised Host} detected possible removal of files that tracks user's activity during the course of its operation. Attackers often try to evade detection and leave no trace of malicious activities by deleting such log files. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Possible Log Tampering Activity Detected,Analysis of host data on %{Compromised Host} detected possible removal of files that tracks user's activity during the course of its operation. Attackers often try to evade detection and leave no trace of malicious activities by deleting such log files.,-,Medium,Linux,Azure Defender
Possible loss of data detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a possible data egress condition. Attackers will often egress data from machines they have compromised. This behavior was seen [x]] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Possible loss of data detected,Analysis of host data on %{Compromised Host} detected a possible data egress condition. Attackers will often egress data from machines they have compromised.,-,Medium,Linux,Azure Defender
Possible malicious web shell detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a possible web shell. Attackers will often upload a web shell to a machine they have compromised to gain persistence or for further exploitation. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Possible malicious web shell detected,Analysis of host data on %{Compromised Host} detected a possible web shell. Attackers will often upload a web shell to a machine they have compromised to gain persistence or for further exploitation.,-,Medium,Linux,Azure Defender
Possible password change using crypt-method detected [seen multiple times],Analysis of host data on %{Compromised Host} detected password change using crypt method. Attackers can make this change to continue access and gaining persistence after compromise. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Potential overriding of common files [seen multiple times],Analysis of host data has detected common executables being overwritten on %{Compromised Host}. Attackers will overwrite common files as a way to obfuscate their actions or for persistence. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Potential overriding of common files,Analysis of host data has detected common executables being overwritten on %{Compromised Host}. Attackers will overwrite common files as a way to obfuscate their actions or for persistence.,-,Medium,Linux,Azure Defender
Potential port forwarding to external IP address [seen multiple times],Analysis of host data on %{Compromised Host} detected the initiation of port forwarding to an external IP address. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Potential port forwarding to external IP address,Host data analysis detected the initiation of port forwarding to an external IP address.,Exfiltration / CommandAndControl,Medium,Linux,Azure Defender
Potential reverse shell detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a potential reverse shell. These are used to get a compromised machine to call back into a machine an attacker owns. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Potential reverse shell detected,Analysis of host data on %{Compromised Host} detected a potential reverse shell. These are used to get a compromised machine to call back into a machine an attacker owns.,-,Medium,Linux,Azure Defender
Privileged command run in container,Machine logs indicate that a privileged command was run in a Docker container. A privileged command has extended privileges on the host machine.,-,Low,Linux,Azure Defender
Privileged Container Detected,"Machine logs indicate that a privileged Docker container is running. A privileged container has a full access to the host's resources. If compromised, an attacker can use the privileged container to gain access to the host machine.",-,Low,Linux,Azure Defender
Process associated with digital currency mining detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of a process normally associated with digital currency mining. This behavior was seen over 100 times today on the following machines: [Machine name],-,Medium,Linux,Azure Defender
Process associated with digital currency mining detected,Host data analysis detected the execution of a process that is normally associated with digital currency mining.,Exploitation / Execution,Medium,Linux,Azure Defender
Process running in a service account became root unexpectedly.(VM_SuspectProcessAccountPrivilegeCombo),Process '%{Suspicious Process}' running in a service account %{User Name} became root unexpectedly.,PrivilegeEscalation,Medium,Linux,Azure Defender
Python encoded downloader detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of encoded Python that downloads and runs code from a remote location. This may be an indication of malicious activity. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Azure Defender
Screenshot taken on host [seen multiple times],Analysis of host data on %{Compromised Host} detected the user of a screen capture tool. Attackers may use these tools to access private data. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Azure Defender
Script extension mismatch detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a mismatch between the script interpreter and the extension of the script file provided as input. This has frequently been associated with attacker script executions. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Script extension mismatch detected,Analysis of host data on %{Compromised Host} detected a mismatch between the script interpreter and the extension of the script file provided as input. This has frequently been associated with attacker script executions.,-,Medium,Linux,Azure Defender
Security-related process termination detected(VM_SuspectProcessTermination),Analysis of host data on %{Compromised Host} detected attempt to terminate processes related to security monitoring on the host. Attackers will often try to terminate such processes using predefined scripts post-compromise.,"Persistence, Defense Evasion",Medium,Linux,Azure Defender
Shellcode detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected shellcode being generated from the command line. This process could be legitimate activity, or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Azure Defender
SSH server is running inside a container,"Machine logs indicate that an SSH server is running inside a Docker container. While this behavior can be intentional, it frequently indicates that a container is misconfigured or breached.",-,Medium,Linux,Azure Defender
Successful SSH brute force attack,Analysis of host data has detected a successful brute force attack. The IP %{Attacker source IP} was seen making multiple login attempts. Successful logins were made from that IP with the following user(s): %{Accounts used to successfully sign in to host}. This means that the host may be compromised and controlled by a malicious actor.,-,High,Linux,Azure Defender
Suspicious Account Creation Detected,"Analysis of host data on %{Compromised Host} detected creation or use of a local account %{Suspicious account name} : this account name closely resembles a standard Windows account or group name '%{Similar To Account Name}'. This is potentially a rogue account created by an attacker, so named in order to avoid being noticed by a human administrator.",-,Medium,Linux,Azure Defender
Suspicious compilation detected [seen multiple times],Analysis of host data on %{Compromised Host} detected suspicious compilation. Attackers will often compile exploits on a machine they have compromised to escalate privileges. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Suspicious compilation detected,Analysis of host data on %{Compromised Host} detected suspicious compilation. Attackers will often compile exploits on a machine they have compromised to escalate privileges.,-,Medium,Linux,Azure Defender
Suspicious enumeration of host configuration,Analysis of host data on [machine] detected possible malicious host enumeration. These commands are sometimes run by a malicious actor when they initially compromise a machine.,-,Medium,Linux,Azure Defender
Suspicious file timestamp modification,"Host data analysis detected a suspicious timestamp modification. Attackers often copy timestamps from existing, legitimate files to new tools to avoid detection of these newly dropped files.",Persistence / DefenseEvasion,Low,Linux,Azure Defender
Suspicious first command in shell(VM_SuspectInitialShellCommand ),Analysis of host data on %{Compromised Host} detected the execution of a suspicious first command in a shell. This may be an indication of malicious activity.,Exploitation,Low,Linux,Azure Defender
Suspicious kernel module detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected a shared object file being loaded as a kernel module. This could be legitimate activity, or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Azure Defender
Suspicious password access [seen multiple times],Analysis of host data has detected suspicious access to encrypted user passwords on %{Compromised Host}. This behavior was seen [x] times today on the following machines: [Machine names],-,Informational,Linux,Azure Defender
Suspicious password access,Analysis of host data has detected suspicious access to encrypted user passwords on %{Compromised Host}.,-,Informational,Linux,Azure Defender
Suspicious PHP execution detected,"Machine logs indicate that a suspicious PHP process is running. The action included an attempt to run OS commands or PHP code from the command line using the PHP process. While this behavior can be legitimate, in web applications this behavior is also observed in malicious activities such as attempts to infect websites with web shells.",-,Medium,Linux,Azure Defender
Suspicious request to Kubernetes API,"Machine logs indicate that a suspicious request was made to the Kubernetes API. The request was sent from a Kubernetes node, possibly from one of the containers running in the node. Although this behavior can be intentional, it might indicate that the node is running a compromised container.",-,Medium,Linux,Azure Defender
An attempt to run Linux commands on a Windows App Service(AppServices_LinuxCommandOnWindows),Analysis of App Service processes detected an attempt to run a Linux command on a Windows App Service. This action was running by the web application. This behavior is often seen during campaigns that exploit a vulnerability in a common web application.,-,Medium,Azure App Service,Azure Defender
An IP that connected to your Azure App Service FTP Interface was found in Threat Intelligence(AppServices_IncomingTiClientIpFtp),"Azure App Service FTP log indicates a connection from a source address that was found in the threat intelligence feed. During this connection, a user accessed the pages listed.",-,Medium,Azure App Service,Azure Defender
Anomalous requests pattern detected(AppServices_HttpAnomalies),Azure App Service activity log indicates an anomalous HTTP activity to the App Service from %{Source IP.This activity resembles a pattern of fuzzing or brute force activity.,-,Medium,Azure App Service,Azure Defender
Attempt to run high privilege command detected(AppServices_HighPrivilegeCommand),"Analysis of App Service processes detected an attempt to run a command that requires high privileges.The command ran in the web application context. While this behavior can be legitimate, in web applications this behavior is also observed in malicious activities.",-,Medium,Azure App Service,Azure Defender
Azure Security Center test alert for App Service (not a threat)(AppServices_EICAR),This is a test alert generated by Azure Security Center. No further action is needed.,-,High,Azure App Service,Azure Defender
Connection to web page from anomalous IP address detected(AppServices_AnomalousPageAccess),Azure App Service activity log indicates a connection to a sensitive web page from a source IP address that hasn't connected to it before. This might indicate that someone is attempting a brute force attack into your web app administration pages. It might also be the result of a new IP address being used by a legitimate user.,-,Medium,Azure App Service,Azure Defender
Digital currency mining related behavior detected(AppServices_DigitalCurrencyMining),Analysis of host data on Inn-Flow-WebJobs detected the execution of a process or command normally associated with digital currency mining.,Execution,High,Azure App Service,Azure Defender
Executable decoded using certutil(AppServices_ExecutableDecodedUsingCertutil),"Analysis of host data on [Compromised entity] detected that certutil.exe, a built-in administrator utility, was being used to decode an executable instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions, for example using a tool such as certutil.exe to decode a malicious executable that will then be subsequently executed.","DefenseEvasion, Execution",High,Azure App Service,Azure Defender
Fileless Attack Behavior Detected(AppServices_FilelessAttackBehaviorDetection),The memory of the process specified below contains behaviors commonly used by fileless attacks.Specific behaviors include: {list of observed behaviors},Execution,Medium,Azure App Service,Azure Defender
Fileless Attack Technique Detected(AppServices_FilelessAttackTechniqueDetection),The memory of the process specified below contains evidence of a fileless attack technique. Fileless attacks are used by attackers to execute code while evading detection by security software.Specific behaviors include: {list of observed behaviors},Execution,High,Azure App Service,Azure Defender
Fileless Attack Toolkit Detected(AppServices_FilelessAttackToolkitDetection),"The memory of the process specified below contains a fileless attack toolkit: {ToolKitName}. Fileless attack toolkits typically do not have a presence on the filesystem, making detection by traditional anti-virus software difficult.Specific behaviors include: {list of observed behaviors}","DefenseEvasion, Execution",High,Azure App Service,Azure Defender
Phishing content hosted on Azure Webapps(AppServices_PhishingContent),URL used for phishing attack found on the Azure AppServices website. This URL was part of a phishing attack sent to Microsoft 365 customers. The content typically lures visitors into entering their corporate credentials or financial information into a legitimate looking website.,Collection,High,Azure App Service,Azure Defender
PHP file in upload folder(AppServices_PhpInUploadFolder),Azure App Service activity log indicates an access to a suspicious PHP page located in the upload folder.This type of folder does not usually contain PHP files. The existence of this type of file might indicate an exploitation taking advantage of arbitrary file upload vulnerabilities.,-,Medium,Azure App Service,Azure Defender
Raw data download detected(AppServices_DownloadCodeFromWebsite),Analysis of App Service processes detected an attempt to download code from raw-data websites such as Pastebin. This action was run by a PHP process. This behavior is associated with attempts to download web shells or other malicious components to the App Service.,Execution,Medium,Azure App Service,Azure Defender
Saving curl output to disk detected(AppServices_CurlToDisk),"Analysis of App Service processes detected the running of a curl command in which the output was saved to the disk. While this behavior can be legitimate, in web applications this behavior is also observed in malicious activities such as attempts to infect websites with web shells.",-,Low,Azure App Service,Azure Defender
Spam folder referrer detected(AppServices_SpamReferrer),Azure App Service activity log indicates web activity that was identified as originating from a web site associated with spam activity. This can occur if your website is compromised and used for spam activity.,-,Low,Azure App Service,Azure Defender
Suspicious access to possibly vulnerable web page detected(AppServices_ScanSensitivePage),Azure App Service activity log indicates a web page that seems to be sensitive was accessed. This suspicious activity originated from a source IP address whose access pattern resembles that of a web scanner.This activity is often associated with an attempt by an attacker to scan your network to try and gain access to sensitive or vulnerable web pages.,-,Low,Azure App Service,Azure Defender
Suspicious download using Certutil detected(AppServices_DownloadUsingCertutil),"Analysis of host data on {NAME} detected the use of certutil.exe, a built-in administrator utility, for the download of a binary instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions, for example using certutil.exe to download and decode a malicious executable that will then be subsequently executed.",Execution,Medium,Azure App Service,Azure Defender
Suspicious PHP execution detected(AppServices_SuspectPhp),"Machine logs indicate that a suspicious PHP process is running. The action included an attempt to run operating system commands or PHP code from the command line, by using the PHP process. While this behavior can be legitimate, in web applications this behavior might indicate malicious activities, such as attempts to infect websites with web shells.",Execution,Medium,Azure App Service,Azure Defender
Suspicious PowerShell cmdlets executed(AppServices_PowerShellPowerSploitScriptExecution),Analysis of host data indicates execution of known malicious PowerShell PowerSploit cmdlets.,Execution,Medium,Azure App Service,Azure Defender
Suspicious process executed(AppServices_KnownCredentialAccessTools),"Machine logs indicate that the suspicious process: '%{process path}' was running on the machine, often associated with attacker attempts to access credentials.",CredentialAccess,High,Azure App Service,Azure Defender
Suspicious process name detected(AppServices_ProcessWithKnownSuspiciousExtension),"Analysis of host data on {NAME} detected a process whose name is suspicious, for example corresponding to a known attacker tool or named in a way that is suggestive of attacker tools that try to hide in plain sight. This process could be legitimate activity, or an indication that one of your machines has been compromised.","Persistence, DefenseEvasion",Medium,Azure App Service,Azure Defender
Suspicious SVCHOST process executed(AppServices_SVCHostFromInvalidPath),The system process SVCHOST was observed running in an abnormal context. Malware often use SVCHOST to mask its malicious activity.,"DefenseEvasion, Execution",High,Azure App Service,Azure Defender
Suspicious User Agent detected(AppServices_UserAgentInjection),Azure App Service activity log indicates requests with suspicious user agent. This behavior can indicate on attempts to exploit a vulnerability in your App Service application.,-,Medium,Azure App Service,Azure Defender
Suspicious WordPress theme invocation detected(AppServices_WpThemeInjection),"Azure App Service activity log indicates a possible code injection activity on your App Service resource.The suspicious activity detected resembles that of a manipulation of WordPress theme to support server side execution of code, followed by a direct web request to invoke the manipulated theme file.This type of activity was seen in the past as part of an attack campaign over WordPress.",-,High,Azure App Service,Azure Defender
Vulnerability scanner detected(AppServices_DrupalScanner),Azure App Service activity log indicates that a possible vulnerability scanner was used on your App Service resource.The suspicious activity detected resembles that of tools targeting a content management system (CMS).,-,Medium,Azure App Service,Azure Defender
Vulnerability scanner detected(AppServices_JoomlaScanner),Azure App Service activity log indicates that a possible vulnerability scanner was used on your App Service resource.The suspicious activity detected resembles that of tools targeting Joomla applications.,-,Medium,Azure App Service,Azure Defender
Vulnerability scanner detected(AppServices_WpScanner),Azure App Service activity log indicates that a possible vulnerability scanner was used on your App Service resource.The suspicious activity detected resembles that of tools targeting WordPress applications.,-,Medium,Azure App Service,Azure Defender
Web fingerprinting detected(AppServices_Nmap),Azure App Service activity log indicates a possible web fingerprinting activity on your App Service resource.The suspicious activity detected is associated with NMAP. Attackers often use this tool for probing the web application to find vulnerabilities.,-,Medium,Azure App Service,Azure Defender
Container with a sensitive volume mount detected,"Kubernetes audit log analysis detected a new container with a sensitive volume mount. The volume that was detected is a hostPath type that mounts a sensitive file or folder from the node to the container. If the container gets compromised, the attacker can use this mount to gain access to the node.",PrivilegeEscalation,Medium,Azure Kubernetes Service clusters,Azure Defender
Digital currency mining container detected,Kubernetes audit log analysis detected a container that has an image associated with a digital currency mining tool.,Execution,High,Azure Kubernetes Service clusters,Azure Defender
Exposed Kubernetes dashboard detected,Kubernetes audit log analysis detected exposure of the Kubernetes Dashboard by a LoadBalancer service. Exposed dashboards allow unauthenticated access to the cluster management and pose a security threat.,Initial access,High,Azure Kubernetes Service clusters,Azure Defender
New container in the kube-system namespace detected,Kubernetes audit log analysis detected a new container in the kube-system namespace that isn't among the containers that normally run in this namespace. The kube-system namespaces shouldn't contain user resources. Attackers can use this namespace to hide malicious components.,Persistence,Low,Azure Kubernetes Service clusters,Azure Defender
New high privileges role detected,Kubernetes audit log analysis detected a new role with high privileges. A binding to a role with high privileges gives the user/group elevated privileges in the cluster. Unnecessarily providing elevated privileges might result in privilege escalation issues in the cluster.,Persistence,Low,Azure Kubernetes Service clusters,Azure Defender
Privileged container detected,"Kubernetes audit log analysis detected a new privileged container. A privileged container has access to the node's resources and breaks the isolation between containers. If compromised, an attacker can use the privileged container to gain access to the node.",PrivilegeEscalation,Low,Azure Kubernetes Service clusters,Azure Defender
Role binding to the cluster-admin role detected,Kubernetes audit log analysis detected a new binding to the cluster-admin role resulting in administrator privileges. Unnecessarily providing administrator privileges might result in privilege escalation issues in the cluster.,Persistence,Low,Azure Kubernetes Service clusters,Azure Defender
Exposed Kubeflow dashboard detected,"The Kubernetes audit log analysis detected exposure of the Istio Ingress by a load balancer in a cluster that runs Kubeflow.This action might expose the Kubeflow dashboard to the internet. If the dashboard is exposed to the internet, attackers can access it and run malicious containers or code on the cluster.Learn more in Misconfigured Kubeflow workloads are a security risk.",Initial access,Medium,Azure Kubernetes Service clusters,Azure Defender
Exposed Redis service in AKS detected,"The Kubernetes audit log analysis detected exposure of a Redis service by a load balancer.If the service doesn’t require authentication, exposing it to the internet poses a security risk.",Initial access,Medium,Azure Kubernetes Service clusters,Azure Defender
Exposed Kubernetes service detected,"The Kubernetes audit log analysis detected exposure of a service by a load balancer. This service is related to a sensitive application that allows high impact operations in the cluster such as running processes on the node or creating new containers.In some cases, this service doesn’t require authentication. If the service doesn’t require authentication, exposing it to the internet poses a security risk.",Initial access,Medium,Azure Kubernetes Service clusters,Azure Defender
Privileged Container Detected,"Machine logs indicate that a privileged Docker container is running. A privileged container has full access to the host's resources. If compromised, an attacker can use the privileged container to gain access to the host machine.",PrivilegeEscalation / Execution,Low,Containers- Host Level,Azure Defender
Privileged command run in container,Machine logs indicate that a privileged command was run in a Docker container. A privileged command has extended privileges on the host machine.,PrivilegeEscalation,Low,Containers- Host Level,Azure Defender
Exposed Docker daemon detected,"Machine logs indicate that your Docker daemon (dockerd) exposes a TCP socket. By default, Docker configuration doesn't use encryption or authentication when a TCP socket is enabled. Anyone with access to the relevant port can then get full access to the Docker daemon.",Exploitation / Execution,Medium,Containers- Host Level,Azure Defender
SSH server is running inside a container,"Machine logs indicate that an SSH server is running inside a Docker container. While this behavior can be intentional, it frequently indicates that a container is misconfigured or breached.",Execution,Medium,Containers- Host Level,Azure Defender
Container with a miner image detected,Machine logs indicate execution of a Docker container running an image associated with digital currency mining. This behavior can possibly indicate that your resources are being abused.,Execution,High,Containers- Host Level,Azure Defender
Suspicious request to Kubernetes API,"Machine logs indicate that a suspicious request was made to the Kubernetes API. The request was sent from a Kubernetes node, possibly from one of the containers running in the node. Although this behavior can be intentional, it might indicate that the node is running a compromised container.",Execution,Medium,Containers- Host Level,Azure Defender
Suspicious request to the Kubernetes Dashboard,"Machine logs indicate that a suspicious request was made to the Kubernetes Dashboard. The request was sent from a Kubernetes node, possibly from one of the containers running in the node. Although this behavior can be intentional, it might indicate that the node is running a compromised container.",Lateral movement,Medium,Containers- Host Level,Azure Defender
A possible vulnerability to SQL Injection,"An application has generated a faulty SQL statement in the database. This can indicate a possible vulnerability to SQL injection attacks. There are two possible reasons for a faulty statement. A defect in application code might have constructed the faulty SQL statement. Or, application code or stored procedures didn't sanitize user input when constructing the faulty SQL statement, which can be exploited for SQL injection.",-,Medium,SQL Database and SQL Warehouse,Azure Defender
Attempted logon by a potentially harmful application,A potentially harmful application attempted to access SQL server '{name}'.,PreAttack,High,SQL Database and SQL Warehouse,Azure Defender
Log on from an unusual Azure Data Center,"There has been a change in the access pattern to an SQL Server, where someone has signed in to the server from an unusual Azure Data Center. In some cases, the alert detects a legitimate action (a new application or Azure service). In other cases, the alert detects a malicious action (attacker operating from breached resource in Azure).",Probing,Low,SQL Database and SQL Warehouse,Azure Defender
Log on from an unusual location,"There has been a change in the access pattern to SQL Server, where someone has signed in to the server from an unusual geographical location. In some cases, the alert detects a legitimate action (a new application or developer maintenance). In other cases, the alert detects a malicious action (a former employee or external attacker).",Exploitation,Medium,SQL Database and SQL Warehouse,Azure Defender
Login from a principal user not seen in 60 days,"A principal user not seen in the last 60 days has logged into your database. If this database is new or this is expected behavior caused by recent changes in the users accessing the database, Security Center will identify significant changes to the access patterns and attempt to prevent future false positives.",Exploitation,Medium,SQL Database and SQL Warehouse,Azure Defender
Potential SQL Brute Force attempt,"An abnormally high number of failed sign in attempts with different credentials have occurred. In some cases, the alert detects penetration testing in action. In other cases, the alert detects a brute force attack.",Probing,High,SQL Database and SQL Warehouse,Azure Defender
Potential SQL injection,An active exploit has occurred against an identified application vulnerable to SQL injection. This means an attacker is trying to inject malicious SQL statements by using the vulnerable application code or stored procedures.,-,High,SQL Database and SQL Warehouse,Azure Defender
Unusual export location,Someone has extracted a massive amount of data from your SQL Server '{SQL server name}' to an unusual location.,Exfiltration,High,SQL Database and SQL Warehouse,Azure Defender
PREVIEW – Access from a Suspicious IP address,"Indicates that this storage account has been successfully accessed from an IP address that is considered suspicious. This alert is powered by Microsoft Threat Intelligence.Learn more about Microsoft's threat intelligence capabilities.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",Initial Access,Medium,Azure Storage,Azure Defender
Access from a Tor exit node to a storage account,"Indicates that this account has been accessed successfully from an IP address that is known as an active exit node of Tor (an anonymizing proxy). The severity of this alert considers the authentication type used (if any), and whether this is the first case of such access. Potential causes can be an attacker who has accessed your storage account by using Tor, or a legitimate user who has accessed your storage account by using Tor.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",Probing / Exploitation,High,Azure Storage,Azure Defender
Access from an unusual location to a storage account,"Indicates that there was a change in the access pattern to an Azure Storage account. Someone has accessed this account from an IP address considered unfamiliar when compared with recent activity. Either an attacker has gained access to the account, or a legitimate user has connected from a new or unusual geographic location. An example of the latter is remote maintenance from a new application or developer.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",Exploitation,Low,Azure Storage,Azure Defender
Anonymous access to a storage account,"Indicates that there's a change in the access pattern to a storage account. For instance, the account has been accessed anonymously (without any authentication), which is unexpected compared to the recent access pattern on this account. A potential cause is that an attacker has exploited public read access to a container that holds blob storage.Applies to: Azure Blob Storage",Exploitation,High,Azure Storage,Azure Defender
PREVIEW – Phishing content hosted on a storage account,"A URL used in a phishing attack points to your Azure Storage account. This URL was part of a phishing attack affecting users of Microsoft 365.Typically, content hosted on such pages is designed to trick visitors into entering their corporate credentials or financial information into a web form that looks legitimate.This alert is powered by Microsoft Threat Intelligence.Learn more about Microsoft's threat intelligence capabilities.Applies to: Azure Blob Storage, Azure Files",Collection,High,Azure Storage,Azure Defender
Potential malware uploaded to a storage account,"Indicates that a blob containing potential malware has been uploaded to a blob container or a file share in a storage account. This alert is based on hash reputation analysis leveraging the power of Microsoft threat intelligence, which includes hashes for viruses, trojans, spyware and ransomware. Potential causes may include an intentional malware upload by an attacker, or an unintentional upload of a potentially malicious blob by a legitimate user.Applies to: Azure Blob Storage, Azure Files (Only for transactions over REST API)Learn more about Azure's hash reputation analysis for malware.Learn more about Microsoft's threat intelligence capabilities.",LateralMovement,High,Azure Storage,Azure Defender
Unusual access inspection in a storage account,"Indicates that the access permissions of a storage account have been inspected in an unusual way, compared to recent activity on this account. A potential cause is that an attacker has performed reconnaissance for a future attack.Applies to: Azure Blob Storage, Azure Files",Collection,Medium,Azure Storage,Azure Defender
Unusual amount of data extracted from a storage account,"Indicates that an unusually large amount of data has been extracted compared to recent activity on this storage container. A potential cause is that an attacker has extracted a large amount of data from a container that holds blob storage.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",Exfiltration,Medium,Azure Storage,Azure Defender
Unusual application accessed a storage account,"Indicates that an unusual application has accessed this storage account. A potential cause is that an attacker has accessed your storage account by using a new application.Applies to: Azure Blob Storage, Azure Files",Exploitation,Medium,Azure Storage,Azure Defender
Unusual change of access permissions in a storage account,"Indicates that the access permissions of this storage container have been changed in an unusual way. A potential cause is that an attacker has changed container permissions to weaken its security posture or to gain persistence.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",Persistence,Medium,Azure Storage,Azure Defender
Unusual data exploration in a storage account,"Indicates that blobs or containers in a storage account have been enumerated in an abnormal way, compared to recent activity on this account. A potential cause is that an attacker has performed reconnaissance for a future attack.Applies to: Azure Blob Storage, Azure Files",Collection,Medium,Azure Storage,Azure Defender
Unusual deletion in a storage account,"Indicates that one or more unexpected delete operations has occurred in a storage account, compared to recent activity on this account. A potential cause is that an attacker has deleted data from your storage account.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",Exfiltration,Medium,Azure Storage,Azure Defender
