Activity	AdditionalExtensions	DeviceAction	DeviceCustomString1	DeviceCustomString1Label	DeviceCustomString2	DeviceCustomString2Label	DeviceEventClassID	DeviceVendor	LogSeverity	Message	SimplifiedDeviceAction	SourceHostName	SourceUserName	PersistenceTimestamp [UTC]	TimeGenerated [UTC]	TenantId	Type	_ResourceId
DataGuard event	details_targetData=D:\aUoV1.exe;details_filePath=C:\vouHj\blockedFile.exe;details_userName=alertsDevice\user;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					dataGuard.blocked	WithSecure	4	DataGuard blocked access to "aUoV1.exe"	blocked	NTBt3ZRBQ2i7F4d	alertsDevice\user	2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
DeepGuard event	details_sha1=e17865289c80d63673b09124b5a50f2915599478;details_alertType=deep_guard.admin.block;details_filePath=C:\Users\User\Documents\Tr-DGr.exe;details_reputation=unknown;details_userName=alertsDevice\user;details_clientTimestamp=1708003169000;details_rarity=common;details_accountName=antkma-sep-company	blocked	C:\Users\User\Documents\Tr-DGr.exe	Infected object		Malware	deepGuard.blocked	WithSecure	4	The application "N/A" was blocked by the administrator	blocked	NTBt3ZRBQ2i7F4d	alertsDevice\user	2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Tamper Protection event	details_actionType=process;details_path=C:\Program Files (x86)\F-Secure\PSB\fshoster32.exe;details_alertType=tamper_protection.process.block;details_requestType=terminate_process;details_initiator=initiator_path;details_ipAddress=192.168.12.33/8;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					tamperProtection.blocked	WithSecure	4	Tamper protection protected "fshoster32.exe" from "initiator_path"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Web Traffic Scanning event	details_profileName=ext-radzma2-company-2-profile;details_process=C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;details_alertType=web_traffic_scanning.url.block;details_profileId=20453148;details_profileVersion=1591102700;details_infectionName=EICAR Test File;details_name=hxxp://unrated.fstestdomain.com;details_hostIpAddress=10.133.3.197/22;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_url=hxxp://unrated.fstestdomain.com;details_accountName=antkma-sep-company	blocked	hxxp://unrated.fstestdomain.com	Infected object	chrome.exe	Malware	webTrafficScanning.blocked	WithSecure	4	The malicious web page "hxxp://unrated.fstestdomain.com" accessed by "chrome.exe" was blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Tamper Protection event	details_actionType=file;details_path=C:\Program Files (x86)\F-Secure\PSB\fshoster32.exe;details_alertType=tamper_protection.file.block;details_initiatorSignerName=Microsoft Windows;details_requestType=delete_file;details_initiator=initiator_path;details_initiatorCertificateHash=c6857c85920cd149a3d709a5a5a33161782e2cca73d2eefcc29dce2a6eeff8df;details_ipAddress=192.168.12.33/8;details_clientTimestamp=1708003169000;details_initiatorHash=da0edfbdbffaaaca65326ee337bed0ddc8443aa7;details_accountName=antkma-sep-company	blocked					tamperProtection.blocked	WithSecure	4	"initiator_path" was blocked from deleting "fshoster32.exe"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_profileName=macima02-04-profile;details_creator=C:\Program Files\Far Manager\Far.exe;details_alertType=file;details_alertSource=sp.evt.oas.alert;details_profileVersion=1574406427;details_filePath=C:\Users\gtn-user\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\MicrosoftEdge\Cache\NHQ7CUNU\f6[1].exe;details_subItem=C:\tmp\samples.7z\[1] samples.7z\[1] f11.exe;details_reputation=150;details_userName=DESKTOP-AVOQJPR\gtn-user;details_clientTimestamp=1708003169000;details_creatorSha1=dc3e119de3c46c5913cbdc504827797bd633c610;details_sha1=f87a26964539f9c2ef261220dabde06aee7cb9d1;details_prevalence=40;details_profileId=1595692;details_name=Riskware:W32/F-Secure_testfile.A;details_fileScanningType=fileInfection;details_accountName=antkma-sep-company	blocked	C:\Users\gtn-user\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\MicrosoftEdge\Cache\NHQ7CUNU\f6[1].exe	Infected object	Riskware:W32/F-Secure_testfile.A	Malware	fileScanning.blocked	WithSecure	4	"Riskware:W32/F-Secure_testfile.A" was detected on accessing "f6[1].exe" and it was blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-AVOQJPR\gtn-user	2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Web Traffic Scanning event	details_profileName=ext-radzma2-company-2-profile;details_computerName=DESKTOP-UCETTHQ;details_websiteUrl=hxxp://www.gtn/test_samples/ransomware/r3testsample.exe;details_profileId=20453148;details_profileVersion=1590476237;details_filePath=\\?\C:\windows\systemapps\microsoft.microsoftedge_8wekyb3d8bbwe\microsoftedgecp.exe;details_name=hxxp://www.gtn/test_samples/ransomware/r3testsample.exe;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked	hxxp://www.gtn/test_samples/ransomware/r3testsample.exe	Infected object	microsoftedgecp.exe	Malware	webTrafficScanning.blocked	WithSecure	4	The malicious web page "hxxp://www.gtn/test_samples/ransomware/r3testsample.exe" accessed by "microsoftedgecp.exe" was blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Manual Scanning event	details_profileName=test-on-demand-scanning;details_quarantineId=123123123;details_alertType=spyware;details_alertSource=sp.evt.ods.alert;details_profileId=24780194;details_profileVersion=1602506030;details_filePath=C:\Users\gtn-user\Downloads\f8.exe;details_name=Spyware:W32/F-Secure_testfile.A;details_hostIpAddress=10.133.2.71/22;details_fileScanningType=spyware;details_userName=DESKTOP-4B74U46\gtn-user;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	quarantined	C:\Users\gtn-user\Downloads\f8.exe	Infected object	Spyware:W32/F-Secure_testfile.A	Malware	manualScanning.quarantined	WithSecure	4	"Spyware:W32/F-Secure_testfile.A" was detected on accessing "f8.exe" and it was quarantined	quarantined	NTBt3ZRBQ2i7F4d	DESKTOP-4B74U46\gtn-user	2/15/2024, 1:19:35.939 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_quarantineId=null;details_alertType=file;details_filePath=http://niheh.net/noh;details_name=ta-Infection:W32/F-Secure_rolajozu.A;details_fileScanningType=fileInfection;details_userName=ta-uwosevgi;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	disinfected	http://niheh.net/noh	Infected object	ta-Infection:W32/F-Secure_rolajozu.A	Malware	fileScanning.disinfected	WithSecure	4	"ta-Infection:W32/F-Secure_rolajozu.A" was detected on accessing "noh" and it was disinfected	disinfected	NTBt3ZRBQ2i7F4d	ta-uwosevgi	2/15/2024, 1:19:35.945 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
DeepGuard event	details_sha1=e17865289c80d63673b09124b5a50f2915599478;details_alertType=file;details_filePath=C:\Tr-DGr.exe;details_name=Rarity: 2, Reputation: 0;details_userName=WIN-0EIO0V71FA8\Administrator;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					deepGuard.blocked	WithSecure	4	Common file "N/A" was blocked	blocked	NTBt3ZRBQ2i7F4d	WIN-0EIO0V71FA8\Administrator	2/15/2024, 1:19:35.946 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Application Control event	details_targetFileVersion=-1.-1.-1.-1;details_parentReputation=0;details_targetCommandLine='C:\Unreal Commander\Uncom.exe';details_targetPrevalence=0;details_alertType=application_control.application_start.block;details_profileVersion=1519389515;details_targetVersionCompanyName=some name;details_parentPath=c:\windows\explorer.exe;details_targetPath=c:\unreal commander\uncom.exe;details_targetCopyrightText=some copyright;details_targetFileDescription=some file description;details_clientTimestamp=1708003169000;details_targetSignatureSignerName=Anton Diesel;details_targetProductName=some product name;details_profileId=3862693;details_targetSha1=e13fce15c513387daadfc1138aa63d4778bd17c6;details_targetProductVersion=-1.-1.-1.-1;details_parentPrevalence=100;details_ruleName=rule name;details_targetReputation=101;details_ruleId=123;details_ruleEvent=application_start;details_accountName=antkma-sep-company	blocked					applicationControl.blocked	WithSecure	4	Application Control blocked application_start of "some product name" based on rule "rule name"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.946 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Web Content Control event	details_profileName=kimean-tests;details_reason=WF_Category;details_process=chrome.exe;details_alertType=online_safety.category_page.block;details_profileId=18191988;details_profileVersion=1594027281;details_hostIpAddress=10.133.2.189/22;details_categories=social_networking;details_userName=DESKTOP-OSI09NE\gtn-user;details_clientTimestamp=1708003169000;details_url=social_networking.com;details_accountName=antkma-sep-company	blocked					webContentControl.blocked	WithSecure	4	Web content control blocked webpage due to category "social_networking" being disallowed	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-OSI09NE\gtn-user	2/15/2024, 1:19:35.946 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Device Control event	details_alertType=device_control.execution.blocked;details_devicePath=\??\USBSTOR#Disk&Ven_Generic&Prod_Flash_Disk&Rev_8.07#EBB33680&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b};details_initiator=C:\Program Files\Far Manager\Far.exe;details_userName=WIN-0EIO0V71FA8\Administrator;details_clientTimestamp=1708003169000;details_deviceId=PCI\VEN_8086&DEV_7020&SUBSYS_11001AF4&REV_01\3&13C0B0C5&0&0A;details_deviceName=Intel(R) 82371SB PCI to USB Universal Host Controller;details_accountName=antkma-sep-company	blocked					deviceControl.blocked	WithSecure	4	An attempt to execute files on the following device was blocked: "Intel(R) 82371SB PCI to USB Universal Host Controller"	blocked	NTBt3ZRBQ2i7F4d	WIN-0EIO0V71FA8\Administrator	2/15/2024, 1:19:35.946 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
DeepGuard event	details_profileName=TA_TEST_2;details_alertType=file;details_profileVersion=1628068587;details_filePath=C:\Tr-DGr.exe;details_reputation=unknown;details_userName=DESKTOP-U2OPVOC\tadmin;details_clientTimestamp=1708003169000;details_sha1=e17865289c80d63673b09124b5a50f2915599478;details_size=81920;details_profileId=910739;details_name=DeepGuard blocks a rare application;details_hostIpAddress=10.61.40.107/22;details_commandLine=C:\Tr-DGr.exe --test;details_rarity=common;details_accountName=antkma-sep-company	blocked					deepGuard.blocked	WithSecure	4	Rare application was detected in file "N/A" and it was blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-U2OPVOC\tadmin	2/15/2024, 1:19:35.946 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Tamper Protection event	details_actionType=service;details_alertType=tamper_protection.service.block;details_service=fshoster;details_ipAddress=192.168.12.33/8;details_clientTimestamp=1708003169000;details_command=net stop fshoster;details_accountName=antkma-sep-company	blocked					tamperProtection.blocked	WithSecure	4	Service "fshoster" was blocked from stop	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.947 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Web Traffic Scanning event	details_profileName=ext-radzma2-company-2-profile;details_process=C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;details_alertType=web_traffic_scanning.content_type.block;details_profileId=20453148;details_profileVersion=1591102700;details_name=hxxp://unrated.fstestdomain.com;details_hostIpAddress=10.133.3.197/22;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_contentType=application/x-msdos-program;details_url=hxxp://unrated.fstestdomain.com;details_accountName=antkma-sep-company	blocked	hxxp://unrated.fstestdomain.com	Infected object	chrome.exe	Malware	webTrafficScanning.blocked	WithSecure	4	The web page "hxxp://unrated.fstestdomain.com" accessed by "chrome.exe" was blocked due to content type restrictions	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.947 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Integrity Checker event	details_path=/root/test_env/modified.txt;details_alertType=integrity_protection.process_modifying_file;details_processPath=/usr/bin/bash;details_processId=80263;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	none					integrityChecker.none	WithSecure	10	Integrity checker event. Action taken: None	none	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.985 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_availableActions=block,disinfect,delete,rename,quarantine;details_quarantineId=1984;details_creator=C:\Program Files\Far Manager\Far.exe;details_alertType=on_access_scanner.file_infection.nothing;details_infectionName=Risk_Test_File;details_subItem=C:\tmp\samples.7z\[1] samples.7z\[1] f11.exe;details_reputation=150;details_readOnly=true;details_clientTimestamp=1708003169000;details_creatorSha1=dc3e119de3c46c5913cbdc504827797bd633c610;details_recommendedAction=block;details_sha1=aa8c41330509455ee5679d04ed41535d280d9a01;details_path=C:\Users\Administrator\AppDataLocal\Temp\Temp1_3-eicars-with-com-ending.zip\eicar1.com;details_prevalence=40;details_infectionType=riskware;details_fileScanningType=fileInfection;details_rebootRequiredToDelete=true;details_accountName=antkma-sep-company	none	C:\Users\Administrator\AppDataLocal\Temp\Temp1_3-eicars-with-com-ending.zip\eicar1.com	Infected object	Risk_Test_File	Malware	fileScanning.none	WithSecure	10	"riskware" was detected on accessing "A" and no action was taken	none	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.985 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Integrity Checker event	details_path=/root/test_env/file.txt;details_alertType=integrity_protection.file_modified;details_action=deny;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	deny					integrityChecker.deny	WithSecure	10	Integrity checker event. Action taken: Deny	deny	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.986 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_availableActions=block,disinfect,delete,rename,quarantine;details_quarantineId=1984;details_recommendedAction=block;details_sha1=aa8c41330509455ee5679d04ed41535d280d9a07;details_path=C:\Temp\Temp1_3-eicars-with-com-ending.zip\eicar1.com;details_alertType=on_access_scanner.spyware.nothing;details_infectionType=spyware;details_infectionName=EICAR_Test_File;details_fileScanningType=spyware;details_readOnly=false;details_rebootRequiredToDelete=false;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	none	C:\Temp\Temp1_3-eicars-with-com-ending.zip\eicar1.com	Infected object	EICAR_Test_File	Malware	fileScanning.none	WithSecure	10	"spyware" was detected on accessing "A" and no action was taken	none	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.986 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Integrity Checker event	details_path=/root/test_env/modified.txt;details_alertType=integrity_protection.process_modifying_file;details_processId=80263;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	none					integrityChecker.none	WithSecure	10	Integrity checker event. Action taken: None	none	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.986 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Manual Scanning event	details_path=/root/eicar.com.malware.file;details_alertType=on_demand_scanner.file_infection.nothing;details_infectionName=EICAR_Test_File_file-infection;details_fileScanningType=fileInfection;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	none	/root/eicar.com.malware.file	Infected object	EICAR_Test_File_file-infection	Malware	manualScanning.none	WithSecure	10	"EICAR_Test_File_file-infection" was detected on accessing "eicar.com.malware.file" and no action was taken	none	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.986 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Application Control event	details_profileName=asdasdasd;details_alertType=application_control.settings.error;details_profileId=5091928;details_profileVersion=1607343798;details_errorMessage=There is an error in a condition description for the Application Control rule. The rule is ignored.;details_hostIpAddress=10.133.2.220/22;details_ruleName=Block malicious files in Downloads folder;details_ruleId=4764db2cebb242168f27d35008755103;details_userName=DESKTOP-2CBU00Q\gtn-user;details_clientTimestamp=1708003169000;details_ruleEvent=settings;details_accountName=antkma-sep-company	none					applicationControl.none	WithSecure	10	Application Control ignored rule "Block malicious files in Downloads folder"	none	NTBt3ZRBQ2i7F4d	DESKTOP-2CBU00Q\gtn-user	2/15/2024, 1:19:35.987 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_availableActions=block,delete,disinfect,nothing,rename;details_recommendedAction=block;details_sha1=aa8c41330509455ee5679d04ed41535d280d9a01;details_systemWide=true;details_alertType=on_access_scanner.system_infection.nothing;details_infectionName=EICAR_Test_File;details_fileScanningType=systemInfection;details_readOnly=false;details_rebootRequiredToDelete=false;details_clientTimestamp=1708003169000;details_object=eicar.com;details_accountName=antkma-sep-company	none	eicar.com	Infected object	EICAR_Test_File	Malware	fileScanning.none	WithSecure	10	"EICAR_Test_File" was detected on accessing "eicar.com" and no action was taken	none	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.987 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL
