Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
SensitivityLabelAdministrator-Security Administrator,SensitivityLabelAdministrator,Security Administrator,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
TeamMailboxLifecycleApplication-Organization Management-Delegati,TeamMailboxLifecycleApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Tenant AllowBlockList Manager-Organization Management-Delegating,Tenant AllowBlockList Manager,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Tenant AllowBlockList Manager-Security Operator,Tenant AllowBlockList Manager,Security Operator,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
TenantPlacesManagement-Organization Management,TenantPlacesManagement,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
TenantPlacesManagement-Organization Management-Delegating,TenantPlacesManagement,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Hygiene Management,Transport Hygiene,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Organization Management,Transport Hygiene,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Organization Management-Delegating,Transport Hygiene,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Compliance Management,Transport Rules,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Organization Management,Transport Rules,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Organization Management-Delegating,Transport Rules,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Records Management,Transport Rules,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Help Desk,User Options,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Organization Management,User Options,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Organization Management-Delegating,User Options,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UserApplication-Organization Management-Delegating,UserApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Audit Logs-Compliance Management,View-Only Audit Logs,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Audit Logs-Organization Management,View-Only Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Audit Logs-Organization Management-Delegating,View-Only Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Compliance Management,View-Only Configuration,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Hygiene Management,View-Only Configuration,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Organization Management,View-Only Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Organization Management-Delegating,View-Only Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-View-Only Organization Management,View-Only Configuration,View-Only Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Compliance Management,View-Only Recipients,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Help Desk,View-Only Recipients,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Hygiene Management,View-Only Recipients,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Organization Management,View-Only Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Organization Management-Delegating,View-Only Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-View-Only Organization Management,View-Only Recipients,View-Only Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
